"abbr";"layer";"taxon";186;191;487;975;968;970;976;488;12;845;79;14;183;85;90;489;89;974;507;583;54;756;548;28;684;484;748;597;612;82;47;759;60;57;53;37;36;55;48;95;783;735;731;732;734;105;"AN";108;"AP";111;112;106;109;838;667;490;614;659;660;722;695;828;611;683;654;670;630;492;898;"C15";"C14";"C19";994;482;483;900;104;625;626;717;579;594;448;899;568;569;570;866;592;601;578;534;565;577;533;978;125;903;702;449;656;114;602;644;527;651;526;122;703;1029;"C21";"C18";"C24";"C13";"C20";652;653;101;127;97;478;926;1031;121;120
"acer pseu";"hl";"Acer pseudoplatanus K";2;;"+";"+";"+";"+";;"+";;"+";1;"r";"+";"+";;"+";1;"+";2;;1;"+";;"+";;;;"+";;;1;"+";;"+";;2;;"+";"+";"+";;;;;;1;"+";"+";;"+";;1;;;;"r";;"+";;;"+";"+";"+";;"+";;;"+";"+";"+";;1;"+";;"+";"+";"+";;"r";"+";"+";"+";1;"+";;"+";;1;1;;;1;1;;1;2;;"+";"+";"+";"+";"+";;"+";"+";"+";"+";"+";"+";"+";"+";"+";1;;"+";;;;;"+";"+";"+";"+";"+";
"acer pseu";"sl";"Acer pseudoplatanus S";;;"+";;2;;;;"+";;"+";;"+";"+";"+";;;1;1;;"r";"+";;"+";;;"+";"r";;;;;;;;;;;;"r";;;;;;1;"r";;;"r";;"+";;;3;;2;"+";"+";1;1;"+";;;1;;;;;"+";;1;;"+";"+";"+";;;;;;;;;;;;1;;;;1;"+";;1;"+";"+";;;"+";;"+";"+";;;;"+";"+";"+";;"r";"r";"+";"+";;;;;;"+";;;"+";;
"clin alpi alpi";"hl";"Acinos alpinus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"acon lyco vulp";"hl";"Aconitum lycoctonum vulparia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";"r";"+";"+";"+";;"+";;"r";;;"+";;"+";"+";;;;"+";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;"r";;
"acon nape slat";"hl";"Aconitum napellus s.l.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"r";;;;"r";;;;"+";;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"acon vari slat";"hl";"Aconitum variegatum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;
"acta spic";"hl";"Actaea spicata";;"+";"r";;;;;;;;"r";;"+";;;1;;;;;;;;"r";;;;;;"r";"+";;;;;;;;;;;;;;;;;;;;;"r";"r";;;;;;;;;;;"+";;;;;;;;;;"+";"+";;;;;;;"+";"+";;;;;;"r";"+";;"+";"+";;"+";"+";;"+";;"+";;;;"+";;1;;;;;;;;;;;;;;"+";"+";;;"+";
"aden alpi";"hl";"Adenostyles glabra";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";"+";1;;;;;;"+";;"+";;"+";;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"adox mosc";"hl";"Adoxa moschatellina";1;;;1;;;"+";"+";1;;;1;1;;;;;1;;;"r";;;;;;;;;"+";"+";;;"+";"r";1;1;1;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;"+";;;;;;"r";;;;;;;;;;;;;"+";;;;"+";;;;;;;;;;;;;;;;;;;;;;1;;;"+";"+";
"aego poda";"hl";"Aegopodium podagraria";2;2;"r";;"+";;1;;2;;1;2;2;;;1;"+";"+";;;2;;"+";2;;;;"+";;1;3;1;2;1;3;1;1;3;3;1;;;;;;;;;;;;"+";"+";;;;;;"r";;;;"+";;;;;;;;;;;"+";"+";;;;;;1;;1;;"+";2;;"+";"+";;2;"+";;2;1;1;;"+";;"+";;;;"+";;;1;;;;;;"r";;;;;;;2;;"+";1;"+";
"agri eupa eupa";"hl";"Agrimonia eupatoria";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ajug rept";"hl";"Ajuga reptans";;;;;;;;"+";;;"+";;;"+";;;;;;;;;;;;;;;;;;"+";"+";"r";;;;;;;"+";;"+";;"+";;"+";;"r";;;;;;;"+";;;"+";"+";;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"+";;;;;;;;;;;;;;"+";;;;
"alli peti";"hl";"Alliaria petiolata";;;"r";"+";;;"+";;"+";;;"+";"r";;;;;"+";;"+";;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";;;;;;;;;;;"r";"r";;;;;;;;;;;"+";;"r";;;;"+";"+";;;;;;;"+";;;;;;;;;;"+";;;
"alli oler";"hl";"Allium oleraceum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alli ursi ursi";"hl";"Allium ursinum";;;5;"+";4;3;"+";5;;"+";;;1;2;5;;5;1;;;4;4;1;2;5;1;4;3;5;;;"+";"+";"+";2;"+";"+";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alnu glut";"tl";"Alnus glutinosa B";"r";;;;"r";;;;;;;"+";;;;;;;2;;;;;1;;;;;;;1;;;;"+";1;"+";"+";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
"alnu inca";"tl";"Alnus incana B";"r";;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;"r";;;;;"r";;;;;;"r";;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alnu inca";"hl";"Alnus incana K";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alnu inca";"sl";"Alnus incana S";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;
"amel oval";"hl";"Amelanchier ovalis";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"anem nemo";"hl";"Anemone nemorosa";2;2;;;;;;;;"+";"+";;"+";;"+";;"+";"+";2;;;;;1;;;;"+";;"+";2;;"+";1;1;1;2;2;"+";;"+";;"+";;;;;;;;;;;"+";;;;;;;;;"+";"+";;;;"+";;;;;;"+";"+";;;;;"+";"+";"+";;;1;;;;1;"+";"+";;"+";"+";;"+";;"+";"+";;;"+";;;;;;"+";;;;;;;;;;;;;"+";;;1;
"anem ranu";"hl";"Anemone ranunculoides";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ange sylv sylv";"hl";"Angelica sylvestris";;;;;;;;;"r";;;;"+";;;;;;;;;;;;;;;;;;"r";;;"r";"r";"+";"r";;;;;;;"r";;"+";;;;;;;;;;"r";;"r";"r";"+";;;;;;;;"r";;"r";;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"anth ramo";"hl";"Anthericum ramosum";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"anth niti";"hl";"Anthriscus nitidus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"r";
"anth sylv";"hl";"Anthriscus sylvestris";;;;;;;;;"+";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"apos foet";"hl";"Aposeris foetida";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;"+";;;;;;;;;;;;;;;;
"aqui atra";"hl";"Aquilegia atrata";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"aqui vulg";"hl";"Aquilegia vulgaris";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"arab aren";"hl";"Arabidopsis arenosa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;"r";;;;;;;;;;;;;;;;;
"arum macu";"hl";"Arum maculatum";;;;;;;;;;;;;;;;;;;1;;"+";;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"arun dioi";"hl";"Aruncus dioicus";;;;;;;;;;;;;;"+";;;;;;;;;;"+";;;;;;;;;;;;;;;;"+";;;;;;;;"+";;;;"r";;"+";;;;;"+";;;;"+";;;;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;"+";"r";"+";"+";;
"asar euro slat";"hl";"Asarum europaeum";;;;;;;;;1;;1;1;"+";"+";;;;;"+";;"+";;;;1;;"+";"+";1;"+";;"+";;;;;;;"r";1;"+";;"+";;;;;;;;;;;;;;;;;"+";;;"+";"+";"+";;"+";"+";;;"+";;;;;;"+";"+";;;;;;;;;;"+";"+";"+";;1;;;1;"+";"+";;;;;"+";"+";;"+";1;;"+";;;;;;;;1;1;"+";;"+";1;;1;1;1
"aspl ruta";"hl";"Asplenium ruta-muraria";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"aspl scol scol";"hl";"Asplenium scolopendrium";;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;;;;;;;;;;;;;;;;;;;;;
"aspl tric slat";"hl";"Asplenium trichomanes";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"+";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;;"r";;;;;"+";;"r";"+";;;;;;;;
"aspl viri";"hl";"Asplenium viride";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;"+";;;;;;;;;;;;
"astr majo majo";"hl";"Astrantia major";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"+";;;;;"+";;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"athy fili";"hl";"Athyrium filix-femina";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";"+";"+";"r";"r";;"+";"+";"+";"+";"+";;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;"+";"+";"+";"+";;"+"
"bell mich";"hl";"Bellidiastrum michelii";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"berb vulg";"hl";"Berberis vulgaris";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;;;"+";"+";;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"beto alop";"hl";"Betonica alopecuros";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;"r";"+";"+";;"+";;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"betu pend";"tl";"Betula pendula B";"+";;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;"r";;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"blec spic";"hl";"Blechnum spicant";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"brac sylv";"hl";"Brachypodium sylvaticum";"+";"+";"+";1;;;"+";"+";1;"+";1;"+";"r";"r";;"+";;;"+";;;;"+";1;;;;"+";"r";"+";1;1;"+";"+";"+";1;1;"+";1;;;;"+";"+";;1;;"+";;;1;"+";"+";;"+";;;;"+";"+";;;"+";;"+";"+";"+";;;"+";;;;"+";"+";"+";1;;"+";"+";;"+";"+";;;"+";1;;"+";;"+";"+";;;1;;;"+";;1;"+";"+";;"+";;;;"+";"+";;;"+";"+";;;;;;;;"r";"+";;;
"brom bene";"hl";"Bromus benekenii";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;
"bryo dioi";"hl";"Bryonia dioica";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"buph sali";"hl";"Buphthalmum salicifolium";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"cala vari";"hl";"Calamagrostis varia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;"+";;;;;2;2;2;1;;;;1;"+";;;;;;;1;;;;;;;"+";;;;;;;;;;;;;;;;;;;"+";;"r";;;;;;;;"+";;;;"+";;;;;;;;;;;;
"cala vill";"hl";"Calamagrostis villosa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"calt palu";"hl";"Caltha palustris";;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"camp coch";"hl";"Campanula cochleariifolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"camp lati";"hl";"Campanula latifolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;
"camp pers";"hl";"Campanula persicifolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;"r";;;;;;;;;;;;;;;"+";;;;;;;"+";;"r";;;;;;;;;;;;;;;
"camp rapu rapu";"hl";"Campanula rapunculoides";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;;;;;;;;;;
"camp rotu";"hl";"Campanula rotundifolia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;
"camp trac";"hl";"Campanula trachelium";;"r";;;;;;;"+";"+";;"r";;;;;;"r";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";;;;;;;;;;;;"+";;;;"r";;;;;"+";"+";;;;1;"+";"+";;;;;;;;"+";"+";"+";"+";;"+";;;"+";;;"+";;;"+";;1;"+";;;;;;;;;;;;;"r";;;"+";;;;"r";;;;
"card bulb";"hl";"Cardamine bulbifera";;1;;;;;;;;"+";;;;;;;;;;;;"r";;"+";;"+";;;"r";;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;
"card enne";"hl";"Cardamine enneaphyllos";;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";;;"+";;;"+";;;;;;;;;;;;;;;;"r";"+";"+";"+";;"+";;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;1;;;;;;;;1;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"r";
"card flex";"hl";"Cardamine flexuosa";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"card impa";"hl";"Cardamine impatiens";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;"+";;;;;;"+";;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;"+";;;;;;;;;;"r";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;
"card trif";"hl";"Cardamine trifolia";;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;;;;"+";;;;;;;;;;;;;;;;;;1;"+";;;"+";;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;
"arab hall";"hl";"Cardaminopsis halleri";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;
"card defl viri";"hl";"Carduus defloratus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;"r";"+";;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"card pers pers";"hl";"Carduus personata";;;;;;;;;;;;;;;;;;;;;"+";;"r";;;;;;;;"r";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"care alba";"hl";"Carex alba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";1;;1;"+";"+";;;;;;"+";"+";"r";"+";2;1;"+";"r";;1;2;"+";;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";"+";;"+";;;;;1;1;"r";;"+";2;;;;;;;;;;;;
"care briz";"hl";"Carex brizoides";"+";;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;"+";"+";;1;3;1;3;2;1;1;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;"+";"+";"+";;
"care digi";"hl";"Carex digitata";;"+";"r";;"+";"+";"+";;;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;;;;;"+";;;;;"+";;;1;"+";;"+";;"+";;"+";;;;"+";;;;"+";"+";"+";;"+";;;;;;"r";"+";"+";"+";"+";;"+";;"+";"+";;1;;"+";;;"+";;"+";"+";;"r";"+";"r";;;1;"+";;;;;;;;
"care flac";"hl";"Carex flacca";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
