"plot";"table.order";"alliance";"association";"variant";"observer";"pls";"elevation";"expo";"slope";"cov";"scov";"hcov";"mcov";"latitude";"longitude";"accuracy";"location";"date"
"228";16;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"200";"1240";"315";"10";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"233";17;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"200";"1250";"360";"10";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"234";18;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"200";"1250";"315";"15";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"229";19;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"100";"1320";"270";"30";"70";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"230";20;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"40";"1450";"225";"30";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"231";21;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"40";"1450";"225";"30";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"235";22;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"200";"1370";"23";"20";"90";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"236";23;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"150";"1380";"45";"15";"90";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"232";24;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"200";"1400";"45";"20";"95";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"238";25;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"200";"1320";"45";"20";"50";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"244";26;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Erica carnea";"Lippert 1966";"200";"1400";"360";"20";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"253";27;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"50";"1500";"360";"15";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"254";28;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"50";"1490";"360";"15";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"239";29;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"200";"1420";"360";"40";"90";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"240";30;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"200";"1390";"45";"40";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"245";31;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"150";"1390";"45";"40";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"252";32;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"100";"1390";"45";"40";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"237";33;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"200";"1400";"360";"10";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"249";34;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"250";"1400";"45";"20";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"250";35;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"100";"1390";"360";"20";"90";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"251";36;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"100";"1390";"45";"15";"90";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"255";37;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"100";"1360";"45";"30";"90";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"256";38;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"100";"1300";"45";"20";"90";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"246";39;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"100";"1260";"45";"20";"90";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"247";40;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"200";"1260";"315";"15";"90";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
"248";41;"Erico-Pinion Br.-Bl. 1939";"Erico Rhodondretum hirsuti (Br.-Bl. 1939) Oberd. 1967";"Ausb. mit Rhododendron hirsutum";"Lippert 1966";"250";"1400";"315";"15";"80";;;;"47.585094";"12.875290";8000;"Nationalpark Berchtesgaden";
