"plot";"abbr";"layer";"cov";"voucher.flag";"voucher";"sheets";"determined";"comment";"history"
"el05";"berb vulg";"sl";"2b";;;;;;
"el05";"clem vita";"sl";"2a";;;;;;
"el05";"corn sang slat";"sl";"2a";;;;;;
"el05";"cory avel";"sl";1;;;;;;
"el05";"crat mono";"sl";1;;;;;;
"el05";"frax exce";"sl";1;;;;;;
"el05";"hede heli";"sl";1;;;;;;
"el05";"ligu vulg";"sl";"2a";;;;;;
"el05";"loni xylo";"sl";"2b";;;;;;
"el05";"samb nigr";"sl";"+";;;;;;
"el05";"tili cord";"sl";1;;;;;;
"el05";"vibu lant";"sl";1;;;;;;
"el05";"clem vita";"tl1";"+";;;;;;
"el05";"frax exce";"tl1";3;;;;;;
"el05";"sali elea elea";"tl1";1;;;;;;
"el05";"tili cord";"tl1";3;;;;;;
"el06";"acer pseu";"hl";"+";;;;;;
"el06";"aego poda";"hl";1;;;;;;
"el06";"alli scor";"hl";"+";;;;;;
"el06";"arct spec ies";"hl";"+";;;;;;
"el06";"brac sylv";"hl";3;;;;;;
"el06";"card impa";"hl";"+";;;;;;
"el06";"card pers pers";"hl";"+";;;;;;
"el06";"circ lute lute";"hl";"+";;;;;;
"el06";"cirs oler";"hl";1;;;;;;
"el06";"dact glom glom";"hl";1;;;;;;
"el06";"dryo fili";"hl";"+";;;;;;
"el06";"fest giga";"hl";"2a";;;;;;
"el06";"fili ulma ulma";"hl";"+";;;;;;
"el06";"frax exce";"hl";3;;;;;;
"el06";"gale mont";"hl";"+";;;;;;
"el06";"gali apar";"hl";"+";;;;;;
"el06";"gera phae slat";"hl";"2a";;;;;;
"el06";"geum urba";"hl";"+";;;;;;
"el06";"glec hede";"hl";"2a";;;;;;
"el06";"humu lupu";"hl";"+";;;;;;
"el06";"lami macu";"hl";1;;;;;;
"el06";"merc pere";"hl";"+";;;;;;
"el06";"phal arun";"hl";3;;;;;;
"el06";"prun padu padu";"hl";"+";;;;;;
"el06";"pulm offi";"hl";1;;;;;;
"el06";"rubu caes";"hl";"2a";;;;;;
"el06";"rubu frut aggr";"hl";"+";;;;;;
"el06";"samb nigr";"hl";"+";;;;;;
"el06";"soli virg virg";"hl";1;;;;;;
"el06";"stac sylv";"hl";1;;;;;;
"el06";"urti dioi dioi";"hl";1;;;;;;
"el06";"acer pseu";"sl";1;;;;;;
"el06";"corn sang slat";"sl";1;;;;;;
"el06";"frax exce";"sl";1;;;;;;
"el06";"humu lupu";"sl";"+";;;;;;
"el06";"prun padu padu";"sl";"2b";;;;;;
"el06";"samb nigr";"sl";"+";;;;;;
"el06";"vibu lant";"sl";"+";;;;;;
"el06";"frax exce";"tl1";3;;;;;;
"el06";"popu nigr";"tl1";"2b";;;;;;
"el06";"alnu inca";"tl2";"2b";;;;;;
"el06";"frax exce";"tl2";1;;;;;;
"el06";"humu lupu";"tl2";"+";;;;;;
"el07";"aego poda";"hl";1;;;;;;
"el07";"alli peti";"hl";"+";;;;;;
"el07";"asar euro euro";"hl";1;;;;;;
"el07";"brac sylv";"hl";3;;;;;;
"el07";"brom bene";"hl";"+";;;;;;
"el07";"card pers pers";"hl";"+";;;;;;
"el07";"care alba";"hl";1;;;;;;
"el07";"care pilo";"hl";"+";;;;;;
"el07";"circ lute lute";"hl";"+";;;;;;
"el07";"clem vita";"hl";"+";;;;;;
"el07";"conv maja maja";"hl";"+";;;;;;
"el07";"crat mono";"hl";"+";;;;;;
"el07";"cycl purp";"hl";"+";;;;;;
"el07";"euon euro";"hl";"+";;;;;;
"el07";"fest giga";"hl";"+";;;;;;
"el07";"fili ulma ulma";"hl";"+";;;;;;
"el07";"gera phae slat";"hl";"+";;;;;;
"el07";"gera robe";"hl";"+";;;;;;
"el07";"geum urba";"hl";1;;;;;;
"el07";"hepa nobi";"hl";"+";;;;;;
"el07";"lami macu";"hl";1;;;;;;
"el07";"merc pere";"hl";"+";;;;;;
"el07";"moeh trin";"hl";"+";;;;;;
"el07";"poa angu";"hl";"+";;;;"cf.";;
"el07";"prim elat";"hl";"+";;;;;;
"el07";"pulm offi";"hl";"+";;;;;;
"el07";"ranu lanu";"hl";"+";;;;;;
"el07";"rham cath";"hl";"+";;;;;;
"el07";"rubu frut aggr";"hl";"+";;;;;;
"el07";"soli virg virg";"hl";"+";;;;;;
"el07";"stac sylv";"hl";1;;;;;;
"el07";"stel nemo";"hl";"+";;;;;;
"el07";"urti dioi dioi";"hl";"+";;;;;;
"el07";"vale offi samb";"hl";"+";;;;;;
"el07";"vibu lant";"hl";"+";;;;;;
"el07";"viol hirt";"hl";"+";;;;;;
"el07";"viol mira";"hl";"+";;;;;;
"el07";"carp betu";"sl";"+";;;;;;
"el07";"corn sang slat";"sl";"2b";;;;;;
"el07";"cory avel";"sl";1;;;;;;
"el07";"crat mono";"sl";1;;;;;;
"el07";"ligu vulg";"sl";1;;;;;;
"el07";"loni xylo";"sl";"2a";;;;;;
"el07";"tili cord";"sl";"+";;;;;;
"el07";"vibu lant";"sl";"+";;;;;;
"el07";"frax exce";"tl1";"2b";;;;;;
"el07";"popu nigr";"tl1";"2a";;;;;;
"el07";"robi pseu";"tl1";1;;;;;;
"el07";"sali elea elea";"tl1";3;;;;;;
"el07";"carp betu";"tl2";1;;;;;;
"el07";"corn sang slat";"tl2";1;;;;;;
"el07";"crat mono";"tl2";1;;;;;;
"el07";"robi pseu";"tl2";"+";;;;;;
"el07";"tili cord";"tl2";1;;;;;;
"el08";"acer camp";"hl";"+";;;;;;
"el08";"acer pseu";"hl";1;;;;;;
"el08";"aego poda";"hl";"2b";;;;;;
"el08";"alli cari cari";"hl";"+";;;;;;
"el08";"alli ursi ursi";"hl";1;;;;;;
"el08";"anem nemo";"hl";1;;;;;;
"el08";"apos foet";"hl";"+";;;;;;
"el08";"asar euro euro";"hl";"2a";;;;;;
"el08";"astr majo majo";"hl";"+";;;;;;
"el08";"brac sylv";"hl";"+";;;;;;
"el08";"brom bene";"hl";"+";;;;;;
"el08";"camp trac";"hl";"+";;;;;;
"el08";"care alba";"hl";"2a";;;;;;
"el08";"care digi";"hl";"+";;;;;;
"el08";"carp betu";"hl";"+";;;;;;
"el08";"conv maja maja";"hl";3;;;;;;
"el08";"crat mono";"hl";"+";;;;;;
"el08";"cycl purp";"hl";"+";;;;;;
"el08";"daph meze";"hl";1;;;;;;
"el08";"euon euro";"hl";"+";;;;;;
"el08";"euph amyg amyg";"hl";"+";;;;;;
"el08";"euph dulc";"hl";"2a";;;;;;
"el08";"frax exce";"hl";1;;;;;;
"el08";"gale mont";"hl";1;;;;;;
"el08";"hell nige";"hl";"+";;;;;;
"el08";"hepa nobi";"hl";"2a";;;;;;
"el08";"hera spho spho";"hl";"+";;;;;;
"el08";"knau maxi";"hl";"+";;;;;;
"el08";"ligu vulg";"hl";1;;;;;;
"el08";"loni xylo";"hl";"+";;;;;;
"el08";"merc pere";"hl";"+";;;;;;
"el08";"pari quad";"hl";"+";;;;;;
"el08";"poly mult";"hl";1;;;;;;
"el08";"pulm offi";"hl";"+";;;;;;
"el08";"quer robu";"hl";"+";;;;;;
"el08";"rubu caes";"hl";"+";;;;;;
"el08";"sorb aria";"hl";"+";;;;;;
"el08";"tili cord";"hl";1;;;;;;
"el08";"ulmu glab";"hl";1;;;;;;
"el08";"vibu lant";"hl";"+";;;;;;
"el08";"viol mira";"hl";"+";;;;;;
"el08";"acer pseu";"sl";1;;;;;;
"el08";"berb vulg";"sl";"+";;;;;;
"el08";"crat mono";"sl";"+";;;;;;
"el08";"jugl regi";"sl";"+";;;;;;
"el08";"ligu vulg";"sl";"+";;;;;;
"el08";"loni xylo";"sl";"+";;;;;;
"el08";"tili cord";"sl";1;;;;;;
"el08";"ulmu glab";"sl";"+";;;;;;
"el08";"quer robu";"tl1";"2b";;;;;;
"el08";"tili cord";"tl1";5;;;;;;
"el08";"acer pseu";"tl2";1;;;;;;
"el08";"carp betu";"tl2";"2a";;;;;;
"el08";"sorb aria";"tl2";1;;;;;;
"el08";"tili cord";"tl2";"2a";;;;;;
"el08";"ulmu glab";"tl2";"2b";;;;;;
