taxon;matched.taxon;abbr
Saussurea pygmaea;Saussurea pygmaea;saus pygm
Chamorchis alpina;Chamorchis alpina;cham alpi
NA;NA;NA
Ranunculus breyninus;Ranunculus breyninus;ranu brey
Galium anisophyllon;Galium anisophyllon;gali anis
Trisetum alpestre;Trisetum alpestre;tris alpe
Bupleurum ranunculoides;Bupleurum ranunculoides;bupl ranu
Euphrasia salisburgensis;Euphrasia salisburgensis s.str.;euph sali
Astragalus australis;Astragalus australis;astr aust alis
Gentianella tatrae;Gentianella lutescens ssp. tatrae;gent lute tatr
Carex tatrorum;Carex sempervirens subsp. tatrorum;care semp tato
Phyteuma orbiculare;Phyteuma orbiculare s.str.;phyt orbi
Tephroseris capitata;Tephroseris integrifolia subsp. capitata;teph inte capi
Astragalus frigidus;Astragalus frigidus;astr frig frig
Sesleria tatrae;Sesleria sadlerana ssp. tatrae;sesl sadl tatr
Selaginella selaginoides;Selaginella selaginoides;sela sela
Thymus sudeticus;Thymus pulcherrimus subsp. sudeticus;thmy pulc sude
NA;NA;NA
Festuca versicolor;Festuca versicolor ssp. pallidula;fest vers pall
Hedysarum hedysaroides;Hedysarum hedysaroides ssp. hedysaroides;hedy hedy hedy
Saxifraga moschata;Saxifraga moschata;saxi mosc
Bartsia alpina;Bartsia alpina;bart alpi
Leontodon pseudotaraxaci;Scorzoneroides pseudotaraxaci;scor pseu
NA;NA;NA
Festuca supina;Festuca supina;fest supi
Oreochloa disticha;Oreochloa disticha;oreo dist
Cetraria cucullata;Flavocetraria cucullata;flav cucu
Cetraria islandica;Cetraria islandica ssp. islandica;cetr isla isla
Cladonia gracilis;Cladonia gracilis;clad grac
Juncus trifidus;Juncus trifidus s.str.;junc trif
Cetraria nivalis;Flavocetraria nivalis;flav niva
Avenula versicolor;Avenula versicolor;aven vers
Campanula alpina;Campanula alpina;camp alpi
NA;NA;NA
Primula hungarica;Primula auricula ssp. hungarica;prim auri hung
Artemisia eriantha;Artemisia eriantha;arte eri
Campanula cochlearifolia;Campanula cochleariifolia;camp coch
Leontopodium alpinum;Leontopodium alpinum;leon alpi
Androsace lactea;Androsace lactea;andr lact
Draba tomentosa;Draba tomentosa;drab tome
NA;NA;NA
Tortella tortuosa;Tortella tortuosa;tort tort
Ditrichum flexicaule;Ditrichum flexicaule;ditr flex
NA;NA;NA
Viola biflora;Viola biflora;viol bifl
Draba siliquosa;Draba siliquosa;drab sili
Draba dubia;Draba dubia;drab dubi
Saxifraga wahlenbergii;Saxifraga wahlenbergii;saxi wahl
Anthoxanthum alpinum;Anthoxanthum alpinum;anth alpi
Delphinium oxysepalum;Delphinium oxysepalum;delp oxys
Draba × sturii Strobel;Draba × sturii;drab ×stu
Poa laxa;Poa laxa;poa laxa
Poa carpatica;Poa carpatica s.lat.;poa carp
Salix retusa;Salix retusa s.str.;sali retu
Saxifraga bryoides;Saxifraga bryoides;saxi bryo
Salix sp.;Salix sp.;sali spec ies
NA;NA;NA
Cladonia pyxidata s.l.;Cladonia pyxidata;clad pyxi
Physconia muscigena;Physconia muscigena var. muscigena;phys musc musci
Myurella julacea;Myurella julacea;myur jula
Mycobilimbia lobulata;Bilimbia lobulata;bili lobu
Encalypta alpina;Encalypta alpina;enca alpi
Psora decipiens;Psora decipiens;psor deci
Ochrolechia upsaliensis;Ochrolechia upsaliensis;ochr upsa
Ctenidium procerrimum;Hypnum procerrimum;hypn proc
Fulgensia bracteata;Fulgensia bracteata var. bracteata;fulg brac brac
Hypnum vaucheri;Brachythecium tommasinii;brac tomm
Caloplaca ammiospila;Caloplaca ammiospila;calo ammi
Rhytidium rugosum;Rhytidium rugosum;rhyt rugo
Entodon concinnus;Entodon concinnus;ento conc
Hypnum revolutum;Hypnum revolutum;hypn revo
Mnium thomsonii;Mnium thomsonii;mniu thom
Distichium inclinatum;Distichium inclinatum;dist incl
Phaeorrhiza nimbosa;Phaeorrhiza nimbosa;phae nimb
NA;NA;NA
Grimmia sp.;Grimmia sp.;grim spec ies
Squamarina gypsacea;Squamarina gypsacea;squa gyps
Encalypta ciliata;Encalypta ciliata;enca cili
Plagiochila porelloides;Plagiochila porelloides;plag pore
Cetraria aculeata et muricata;Cetraria muricata;cetr muri
Campylium stelatum;Campylium stellatum;camp stel
Lecanora epibryon;Lecanora epibryon var. epibryon;leca epib epib
Solorina sp.;Solorina sp.;solo spec ies
Toninia sp.;Toninia sp.;toni spec ies
Cladonia coccifera;Cladonia coccifera;clad cocc
Caloplaca sp.;Caloplaca sp.;calo spec ies
Cladonia furcata;Cladonia furcata ssp. furcata;clad furc furc
Anaptychia bryorum;Anaptychia bryorum;anap bryo
Hypogymnia physodes;Hypogymnia physodes;hypo phys
Polytrichum alpinum;Polytrichum alpinum;poly alpi
Pseudevernia furfuracea;Pseudevernia furfuracea s.lat.;pseu furf slat
Grimmia funalis;Grimmia funalis;grim funa
Hypnum cupressiforme;Hypnum cupressiforme;hypn cupr
Anaptychia sp.;Anaptychia sp.;anap spec ies
Leptogium sp.;Leptogium sp.;lept spec ies
Megaspora verrucosa;Megaspora verrucosa;mega verr
Schistidium apocarpum;Schistidium apocarpum;schi apoc
Stegonia latifolia;Stegonia latifolia s.lat.;steg lati slat
Ctenidium molluscum;Ctenidium molluscum s.lat.;cten moll slat
Didymodon giganteus;Didymodon giganteus;didy giga
Hypogymnia sp.;Hypogymnia sp.;hypo spec ies
Lecidea lurida;Romuljaria lurida;romu luri
Encalypta streptocarpa;Encalypta streptocarpa;enca stre
Racomitrium canescens;Racomitrium canescens s.lat.;raco cane slat
Thelopsis melathelia;Thelopsis melathelia;thel mela
Hypnum sp.;Hypnum sp.;hypn spec ies
Lecidoma demissum;Lecidoma demissum;leci demi
Caloplaca chloroleuca;Caloplaca stillicidiorum;calo stil
Peltigera rufescens;Peltigera rufescens;pelt rufe
Protoblastenia terricola;Protoblastenia terricola;prot terr
Pertusaria glomerata;Pertusaria glomerata;pert glom
Bryoria bicolor;Bryoria bicolor;bryo bico
Polytrichum piliferum;Polytrichum piliferum;poly pili
Bryoria sp.;Bryoria sp.;bryo spec ies
Cladonia bellidiflora;Cladonia bellidiflora;clad bell
Parmelia omphalodes;Parmelia omphalodes s.lat.;parm omph slat
Sphaerophorus fragilis;Sphaerophorus fragilis;spha frag
Toninia opuntioides;Toninia opuntioides;toni opun
Caloplaca epiphyta;Caloplaca xanthostigmoidea;calo xant
Dermatocarpon miniatum;Dermatocarpon miniatum s.lat.;derm mini slat
Diploschistes gypsaceus;Diploschistes gypsaceus;dipl gyps
Encalypta rhaptocarpa;Encalypta rhaptocarpa;enca rhat
Marsupella sp.;Marsupella sp.;mars spec ies
Schistidium atrofuscum;Schistidium atrofuscum;schi atro
Umbilicaria cylindrica;Umbilicaria cylindrica s.lat.;umbi cyli slat
Xanthoria sorediata;Xanthoria sorediata;xant sore
NA;NA;NA
Anoectangium sp.;Anoectangium sp.;anoe spec ies
Physcia caesia;Physcia caesia s.lat.;phys caes slat
Plagiobryum demissum;Plagiobryum demissum;plag demi
Pseudoleskeella catenulata;Pseudoleskeella catenulata;pseu cate
Myurella tenerrima;Myurella tenerrima;myur tene
Collema sp.;Collema sp.;coll spec ies
Dermatocarpon sp.;Dermatocarpon sp.;derm spec ies
Cladonia pocillum;Cladonia pocillum;clad poci
Toninia sedifolia;Toninia sedifolia;toni sedi
Xanthoria elegans;Xanthoria elegans var. elegans;xant eleg eleg
