plot,region,L,T,K,F,R,N,expo,slope,pls,cov,AZ,hhl1,hcov,mcov,geology,landuse,grazing.intensity,elevation,latitude,longitude,accuracy,location,observer,date,remarks
11,geo1,7,8,6,7,3,3,0,3,2,55,8,20,55,0,fluviatil sediments,pasture,medium,2100,46.68387,10.40457,1000,"Praviert, unteres Ende der Mäander, Hungerklon, Bach E, Alluvionen und Sand, Weiderand",P. Gruber,2006-01-01,date is year of publication
12,geo1,6,2,4,8,7,2,44,3,10,15,19,35,15,1,Alluvium,pasture,medium,2100,46.68324,10.40674,500,"Mitteralm, Praviert, steinige Rasen zum Anstaube­reich mit Sand",P. Gruber,2006-01-01,date is year of publication
13,geo1,7,5,4,7,5,3,0,10,10,90,9,45,90,0,half-bog,pasture,low,2210,46.68632,10.39807,500,"Praviert, Richtung Scarljoch, Grob- und Fein­ schuttsediment, Caricetum fuscae, angrenzend an Weide",P. Gruber,2006-01-01,date is year of publication
14,geo1,1,4,3,3,8,6,44,0,4,90,19,40,90,0,half-bog,pasture,low,2210,46.68632,10.39807,500,"Praviert, Richtung Scarljoch, kleinflächige Vermoorung mit Carex pauciflora, Alluvionen, wiesenartig",P. Gruber,2006-01-01,date is year of publication
15,geo1,7,7,6,8,5,3,0,5,20,90,17,25,90,1,Terra fusca,pasture,low,2220,46.68480,10.39983,500,"Mitteralm, Richtung Scarljoch, Quellanmoor, wechsel­ feucht und nährstoffarm, leicht wellig, teilweise trockene Bereiche, eisenausscheidender Quellhorizont",P. Gruber,2006-01-01,date is year of publication
16,geo1,7,0,3,7,8,4,44,3,10,85,28,30,85,1,half-bog,pasture,high,2220,46.68480,10.39983,500,"Mitteralm, Scarljoch S, Weide, feuchter, lehmiger Boden, Alluvionen, Weide",P. Gruber,2006-01-01,date is year of publication
17,geo1,7,0,3,3,3,5,0,8,50,75,15,70,75,15,sand and mud,pasture,high,2100,46.67470,10.41382,200,"Mitteralm, unterhalb der Güterwegbrücke E Bach, uneben, Weidetritt, Alluvionen, gut wasserzügig",P. Gruber,2006-01-01,date is year of publication
18,geo1,3,0,5,8,5,3,131,5,16,75,18,60,75,15,sand and mud,pasture,medium,2100,46.67470,10.41382,200,"Mitteralm, unterhalb Güterwegbrücke E Bach, leicht welliger Bereich mit Wasseraustritt, Eisenausscheidung, Grundmoräne mit viel Feinmaterial",P. Gruber,2006-01-01,date is year of publication
19,geo1,7,4,3,3,4,3,0,12,8,70,20,50,70,12,Terra fusca,pasture,medium,2100,46.67470,10.41382,200,"Mitteralm, Güterwegbrücke Bach W, quellige Grundmoräne, Bachalluvionen mit viel Feinmaterial, Rand fließenden Wassers, sumpfig",P. Gruber,2006-01-01,date is year of publication
20,geo3,3,5,4,7,5,4,44,3,16,18,8,30,18,2,Terra fusca,pasture,high,2425,46.50730,11.57274,100,"Schlernhäuser W 150 m, Seilbahntrasse S, Kalk, tiefer Braunlehmboden, extrem zertrampelter Weiderasen",P. Gruber,2006-01-01,date is year of publication
21,geo3,7,5,3,6,7,2,0,4,12,35,17,35,35,1,Terra fusca,pasture,high,2425,46.50733,11.57129,100,"Schlernhäuser W 250 m, ca. 15 m S der Seilbahn­ trasse, schneetälchenartig aber ohne moorige Komponenten, Übergänge in den Weiderasen, tiefer Kalkbraunlehm",P. Gruber,2006-01-01,date is year of publication
22,geo3,3,2,5,9,5,3,131,5,10,40,13,40,40,3,sand and mud,pasture,high,2420,46.50730,11.57274,100,"Schlernhäuser W 150 m, tiefer Braunlehmbo­ den, stark zertrampelte Weide",P. Gruber,2006-01-01,date is year of publication
23,geo3,8,8,3,6,6,1,0,2,6,80,11,25,80,3,half-bog,pasture,high,2420,46.50730,11.57274,100,"Schlernhäuser W 150 m, Seilbahn S, schneetälchenartiger Sumpf, Ubergangsituation zur Weide, Caricetum fuscae, Schollenbildung durch Weidetritt",P. Gruber,2006-01-01,date is year of publication
24,geo3,7,2,8,9,2,4,44,3,16,100,30,30,100,25,Alluvium,pasture,absent,2450,46.50736,11.57459,100,"Schlernhäuser, innerhalb der Einzäunung, Schneeboden mit Quellhorizont, erinnert an subarktische Heide",P. Gruber,2006-01-01,date is year of publication
25,geo3,6,4,4,6,5,6,0,2,12,95,25,30,95,5,half-bog,pasture,absent,2450,46.50736,11.57459,100,"Schlernhäuser NE, innerhalb des Quellschutz­zaunes, ehemaliger Quellhorizont, heideartig mit Schneebodencharakter, etwas steinig und anmoorig, krautreich",P. Gruber,2006-01-01,date is year of publication
26,geo3,7,3,1,5,7,3,65,2,20,100,18,20,100,0,half-bog,pasture,high,2340,46.51215,11.58502,500,"Schlernalm, Plateaurand am Aufstieg Touris­tensteig, quellige Senke, randlich mit Juncus arcticus, anmoorig über Kalkbraun­ erde, Schneetälchencharakter, Caricetum fuscae-artig",P. Gruber,2006-01-01,date is year of publication
27,geo3,6,5,3,7,6,3,0,6,20,85,14,20,85,3,half-bog,pasture,high,2340,46.51215,11.58502,500,"Schlernalm, Plateaurand am Aufstieg Touris­tensteig, Quellhorizont mit Schneetälchencharakter, vermoorte Braunerde über Kalk, sehr zertrampelte Weide",P. Gruber,2006-01-01,date is year of publication
28,geo3,7,4,8,6,1,2,44,2,8,95,29,35,95,18,half-bog,pasture,low,2010,46.61118,12.00697,500,"la Varella, Bachlauf, Uferbereich, flache Bo­denschwarte auf Kalkplatte, kaltwasserquellenbeeinflusst, Weide",P. Gruber,2006-01-01,date is year of publication
29,geo3,6,3,4,6,6,6,0,3,6,100,26,45,100,20,calc sinter,unmanged,absent,2010,46.61118,12.00697,500,"la Varella, Kalkplatten als Quellhorizont im Bachuferbereich, anmoorige Bodenschwarte, Weideeinfluss",P. Gruber,2006-01-01,date is year of publication
30,geo3,7,3,1,3,3,4,87,3,3,65,22,50,65,14,half-bog,unmanged,absent,2010,46.61118,12.00697,500,"la Varella, Insel im Bach, anmoorige Boden­ schwarte auf ausgekarter Kalkplatte, Weidebeeinflussung",P. Gruber,2006-01-01,date is year of publication
31,geo1,5,8,4,7,6,1,0,15,6,85,23,40,85,65,calc sinter,unmanged,absent,1860,46.96565,10.28524,500,"Fimbatal, Bodenalm, Quellflachmoor mit leicht zügigen Kaltwasser, sumpfig, Schlick, randlich leicht versauert, mit Carexflacca",P. Gruber,2006-01-01,date is year of publication
32,geo1,7,3,1,2,6,4,44,4,3,65,13,30,65,40,calc sinter,unmanged,absent,1860,46.96565,10.28524,500,"Fimbatal, Bodenalm, wellig sumpfige Quellflur, Moose zum Teil sehr kalkinkrustiert",P. Gruber,2006-01-01,date is year of publication
33,geo1,6,2,4,6,5,3,0,5,8,100,20,50,100,40,Alluvium,unmanged,absent,1860,46.96565,10.28524,500,"Fimbatal, Bodenalm, wellige Quellaustritte, Quellanmoor, wasserzügig und nicht verkalkend, Weidengebüsch, Carex paniculata und Agrostis stolonifera",P. Gruber,2006-01-01,date is year of publication
34,geo1,7,7,1,9,6,9,109,3,6,25,13,25,25,1,Alluvium,pasture,medium,1920,46.95557,10.27960,200,"Fimabatal, unterhalb der Gampenalpe, Wasser­ abkehr vom Weg mit fließenden Wasser, eingespülter Sand und Schotter in Weide, vermutlich bei Bautätigkeit eingebracht",P. Gruber,2006-01-01,date is year of publication
35,geo1,5,2,4,7,7,3,0,2,4,23,14,20,23,1,Alluvium,pasture,low,1990,46.95557,10.27960,200,"Fimbatal, Abzweigung Gampenalpe NW, Bach­ ufer, Sand und Kiesel, Alluvionen",P. Gruber,2006-01-01,date is year of publication
36,geo1,7,4,3,9,3,4,98,3,4,90,13,55,90,0,Alluvium,pasture,medium,1990,46.95112,10.27590,2500,"Fimbatal, Bachlauf zum Fimbabach, flacher Allu­vialkegel, sandiger Lehm, Weide am Bachrand, stark weidezertrampelt",P. Gruber,2006-01-01,date is year of publication
37,geo1,8,2,4,7,6,3,0,4,4,45,16,25,45,1,Alluvium,pasture,medium,2010,46.95112,10.27590,2500,"Fimbatal, Fimbabach-Ufer, sandig lehmig, relativ tiefgründig, teilweise durch Weidevieh abgetreten und abgeschwemmt",P. Gruber,2006-01-01,date is year of publication
38,geo1,7,9,2,6,4,1,65,3,4,25,12,10,25,1,Alluvium,pasture,low,2080,46.93455,10.26575,100,"Fimbatal, linkes Fimbabach-Ufer unterhalb der Fimbaalpe, Hochwasser-Uberlaufbereich, periodisch übersandeter Rasen, teilwei­ se oberflächlich trockenfallend, Bachufer-Alluvionen, eutrophiert durch Weidegang",P. Gruber,2006-01-01,date is year of publication
39,geo1,1,2,4,6,7,2,0,2,4,65,18,10,65,3,Alluvium,pasture,medium,2080,46.93376,10.26451,100,"Fimbatal, Fimba-Alpe, Brücke N 50 m, beweidetes Alluvial, etwas verlehmt, mit Schlamm, sandig",P. Gruber,2006-01-01,date is year of publication
40,geo1,7,5,1,6,7,9,87,4,5,35,19,20,35,2,Alluvium,pasture,low,2140,46.92256,10.25985,1000,"Schweiz, Aua da Fenga, überspülter Ufersaum an der Hochwasserlinie, teilweise lückig durch Weidetritt",P. Gruber,2006-01-01,date is year of publication
41,geo1,7,2,4,7,3,3,0,3,3,55,19,20,55,2,half-bog,unmanged,absent,2130,46.92256,10.25985,1000,"Schweiz, Aua da Fenga, alluviale Bachinsel, ver­grast, Sand und Schlick, anmoorige Humusinitiale",P. Gruber,2006-01-01,date is year of publication
42,geo2,7,4,9,5,6,3,131,15,4,75,17,35,75,45,calc sinter,pasture,low,2350,46.93920,10.29697,500,"Vesiltal, Abzweigung des Steiges zum Zeblasjoch, Quellaustrittsenken, anmoorig, viele mineralische Komponenten, Gneise/Schiefer",P. Gruber,2006-01-01,date is year of publication
43,geo2,9,2,4,6,3,4,0,20,12,30,10,35,30,5,calc sinter,pasture,low,2350,46.93920,10.29697,500,"Vesiltal, Abzweigung des Steiges zum Zeblasjoch, steinige Quellflur mit etwas Kalksinterbildung, welliges Profil, Gnei­se/Schiefer, fließendes Wasser",P. Gruber,2006-01-01,date is year of publication
44,geo2,7,4,1,7,6,3,44,22,6,30,15,35,30,2,half-bog,pasture,low,2350,46.93920,10.29697,500,"Vesiltal, Vesilbach, Abzweigung des Steiges zum Zeblasjoch, schräge Hangquell-Lasse, welliges Profil, Gneise/Schiefer, flie­ßendes Wasser",P. Gruber,2006-01-01,date is year of publication
45,geo2,8,2,3,6,1,1,0,6,4,85,12,30,85,50,Alluvium,pasture,low,2350,46.93920,10.29697,500,"Vesiltal, Vesilbach, Abzweigung zum Zeblas­joch, übel-wiegend anmoorige Quell-Linse, Gneise/Schiefer, stark weidezertrameplt",P. Gruber,2006-01-01,date is year of publication
46,geo1,7,6,5,5,6,3,87,5,3,85,10,30,85,40,calc sinter,pasture,medium,2250,46.94481,10.29269,500,"Vesilbachtal, Vesilbach, Beginn der Verfla­chung, Bachufer, Alluvionen, Rohboden mit Weidetritt",P. Gruber,2006-01-01,date is year of publication
47,geo1,7,2,3,8,6,5,0,5,3,85,19,30,85,40,Alluvium,pasture,low,2250,46.94481,10.29269,500,"Vesilbachtal, Vesilbach, Beginn der Gelände-Verflachung, Alluvionen, einst Bachlauf, ca. 1 cm Auflagehumus, welliges Gelände und Weidetritt, vorwiegend Rohboden",P. Gruber,2006-01-01,date is year of publication
48,geo1,7,7,5,6,6,3,87,3,2,85,7,35,85,0,Alluvium,unmanged,absent,2260,46.94481,10.29269,500,"Vesilbachtal, Vesilbach-Bachufer, typischer m2-weise bachbegleitender Klon, viele mineralische Komponenten, am Bachrand durch Weidevieh abgetreten",P. Gruber,2006-01-01,date is year of publication
49,geo1,8,2,4,2,1,3,0,10,3,65,13,40,65,20,Alluvium,unmanged,absent,2250,46.94481,10.29269,500,"Vesilbachtal, Vesilbach, NW-Ecke des ehemali­gen Sees, Alluvionen und Schutt, wellig, mineralischer Schlick, teilweise an­ moorig, wechselt mit Caricetum fuscae",P. Gruber,2006-01-01,date is year of publication
50,geo1,7,7,2,7,6,3,98,0,2,75,11,40,75,3,half-bog,unmanged,absent,2250,46.94481,10.29269,500,"Vesilbachtal, Vesilbach, verschlämmte Alluvionen im Bereich des Baches",P. Gruber,2006-01-01,date is year of publication
51,geo1,6,2,4,3,6,4,0,0,4,100,11,35,100,80,half-bog,pasture,medium,2250,46.94481,10.29269,500,"Vesilbachtal, Vesilbach, Zwickel zwischen den Bächen, mineralischer Feinschlick, oberster Bodenhorizont anmoorig",P. Gruber,2006-01-01,date is year of publication
52,geo2,7,4,1,7,5,3,22,3,3,100,13,40,100,70,schist,pasture,low,2330,46.94481,10.29269,500,"Vesilbachtal, Vesilbach, Wasserspeicher W, Hanganriss ca. 50 Höhenmeter über Bachniveau, Quellaustritt, Schiefer, minerali­ scher Boden",P. Gruber,2006-01-01,date is year of publication
53,geo2,8,2,4,4,8,4,0,20,9,85,7,25,85,0,schist,skislope,absent,2340,47.03207,10.53011,200,"Komperdell, Scheidbergseilbahn, Bergstation, Böschungsbegrünung über Serizitschiefer",P. Gruber,2006-01-01,date is year of publication
54,geo2,7,6,3,7,5,2,153,25,6,75,17,35,75,20,schist,skislope,absent,2320,47.03312,10.53144,200,"Komperdell Scheidberglift, Bergstation, unter­ halb Zubringerweg, Weide über Solifluktionsboden, Bündnerschiefer",P. Gruber,2006-01-01,date is year of publication
55,geo2,7,3,4,3,9,6,0,20,9,,31,25,95,35,schist,skislope,absent,2300,47.04347,10.55740,2500,"Komperdell, Weide über Bündnerschiefer, feucht mit Solifluktionserscheinungen, viele mineralische Komponenten, wellig und gu­ter Bodenwasserzug",P. Gruber,2006-01-01,date is year of publication
56,geo2,7,2,3,7,6,2,1,3,3,15,16,25,15,1,schist,pasture,low,2290,47.03766,10.53984,100,"Komperdell Scheidberglift unterhalb 4. Stütze, Bündnerschiefer, mineralischer Rohboden, Solifluktionen",P. Gruber,2006-01-01,date is year of publication
57,geo2,6,3,3,5,2,3,0,5,20,50,20,35,50,2,schist,skislope,absent,2380,47.03247,10.53551,500,"Komperdell, Böderköpfe, Scheid, wechsel-feuchte Fläche, anthropogen beeinflusst",P. Gruber,2006-01-01,date is year of publication
58,geo2,7,2,4,8,7,3,1,10,20,35,21,35,35,2,schist,skislope,absent,2400,47.03247,10.53551,500,"Komperdell, Böderköpfe Scheid, baustellenbeeinflusster Rohboden",P. Gruber,2006-01-01,date is year of publication
59,geo2,3,8,3,1,3,8,0,15,20,80,45,35,80,2,schist,skislope,absent,2320,47.03247,10.53551,500,"Komperdell, Böderköpfe Nordhang, Bündnerschieferkolluvium, mineralischer Rohboden, mit Rasenelementen",P. Gruber,2006-01-01,date is year of publication
60,geo2,7,4,8,8,7,4,1,25,30,100,41,30,100,1,schist,pasture,low,2260,47.03247,10.53551,1000,"Komperdell, Böderköpfe Nordhang, Höhe der 4. Liftstütze von unten gezählt, quelliger Unterhang, Caricetum fusca-Initiale",P. Gruber,2006-01-01,date is year of publication
61,geo2,9,3,3,3,1,8,0,20,30,95,32,35,95,20,half-bog,pasture,low,2150,47.03207,10.53011,1000,"Komperdell, Scheid, unterhalb des Erzköpfls, Braunseggen-Quellmoorinitiale mit Rohbodenanteilen",P. Gruber,2006-01-01,date is year of publication
62,geo2,7,8,6,8,6,4,44,3,15,100,17,35,100,10,half-bog,pasture,low,2230,47.04347,10.55740,2500,"Komperdell, Kardratsch, unterhalb der Weißen Schröfeln, Quellterrasse, Kalkflachmoor, Entwicklungstendenz zu Trichophoretum",P. Gruber,2006-01-01,date is year of publication
63,geo2,8,2,4,2,8,9,0,5,5,100,16,40,100,10,half-bog,pasture,low,2230,47.04347,10.55740,2500,"Komperdell, Kardratsch, unterhalb der Weißen Schröfeln, Carex nigra und C. rostrata Bestand",P. Gruber,2006-01-01,date is year of publication
64,geo2,7,7,1,6,6,5,0,4,3,100,10,35,100,1,Terra fusca,pasture,low,2230,47.04347,10.55740,2500,"Komperdell, Kardratsch, unterhalb der Weißen Schröfeln, Quellflachmoor, Trichophorum-Carex nigra-Gürtel",P. Gruber,2006-01-01,date is year of publication
65,geo3,5,2,3,9,8,2,0,15,2,65,18,35,65,0,Terra fusca,pasture,medium,1810,46.31884,11.79932,1000,"Italien, Trentino, Val Travignolo, Torrente Travignolo 500 m über Broita, sumpfiger Quellbach-Mäander, rotbrauner Lehm, randlich Moorbildung, viel mineralisches Feinmaterial",P. Gruber,2006-01-01,date is year of publication
66,geo3,7,6,7,6,7,3,153,15,9,20,7,30,20,0,Terra fusca,pasture,medium,1860,46.31297,11.81180,1000,"Italien, Trentino, Val Travignolo, Aufstieg zum Mulaz, Uberschwemmungsbereich, Dolomit, teilweise Phyllitschollen, welliges Gelände",P. Gruber,2006-01-01,date is year of publication
67,geo3,5,2,4,4,6,3,0,20,12,25,9,30,25,0,fluviatil sediments,pasture,medium,1800,46.31297,11.81180,1000,"Italien, Trentino, Val Travignolo, Boden am Aufstieg zum Mulaz, Gletscherbach-Lehmufer mit Erosionserscheinungen",P. Gruber,2006-01-01,date is year of publication
68,geo1,7,6,3,6,7,8,76,5,3,65,9,35,65,1,sand and mud,pasture,medium,1995,46.95112,10.27590,2500,"Fimbatal, Bachufer, starker Weidegang, sandig­ lehmige Weide, etwas anmoorig",P. Gruber,2006-01-01,date is year of publication
