taxon,matched.taxon
Ranu mont,Ranunculus montanus s.str.
Junc trig,Juncus triglumis ssp. triglumis
Poaa alpi,Poa alpina
Sano unc,Sanionia uncinata
Alch glab,Alchemilla glabra
Arab soye,Arabis soyeri s.lat.
Rhin glac,Rhinanthus glacialis
Blys comp,Blysmus compressus
Ping vulg,Pinguicula vulgaris
Prim fari,Primula farinosa
Tofi calr,Tofieldia calyculata
Care dava,Carex davalliana
Polg vivi,Persicaria vivipara
Trol euro,Trollius europaeus
Capy ste,Campylium stellatum
Care frig,Carex frigida
Aste bell,Bellidiastrum michelii
Baul ung,Barbula unguiculata
Equi vari,Equisetum variegatum
Ligu mute,Mutellina adonidifolia
Pote erec,Potentilla erecta
Sold alpi,Soldanella alpina
Care nigr,Carex nigra
Epil aden,Epilobium ciliatum ssp. ciliatum
Pohl spe,Pohlia sp.
Saxi aizo,Saxifraga aizoides
Care pauc,Carex pauciflora
Equi palu,Equisetum palustre
Sali foet,Salix foetida
Care flav,Carex flava var. flava
Drep adu,Drepanocladus aduncus
Leon autu,Scorzoneroides autumnalis
Alli scho,Allium schoenoprasum var. alpinum
Bryu sch,Bryum schleicheri var. schleicheri
Drep rev,Scorpidium revolvens
Luzu alpi,Luzula alpina
Ping alpi,Pinguicula alpina
Epil anag,Epilobium anagallidifolium
Phno cal,Philonotis calcarea
Sali wald,Salix waldsteiniana
Saxi stel,Saxifraga stellaris ssp. robusta
Agro schr,Agrostis schleicheri
Cago gig,Calliergon giganteum
Caly stip,Willemetia stipitata ssp. stipitata
Care dioi,Carex dioica
Care flac,Carex flacca ssp. flacca
Care panu,Carex paniculata ssp. paniculata
Care rost,Carex rostrata
Crto com,Palustriella commutata var. commutata
Crep palu,Crepis paludosa
Dact macu,Dactylorhiza maculata s.lat.
Eleo quin,Eleocharis quinqueflora
Fiss adi,Fissidens adianthoides
Junc alpi,Juncus alpinoarticulatus ssp. alpinoarticulatus
Pedi recu,Pedicularis recutita
Poaa ceni,Poa cenisia
Poaa triv,Poa trivialis
Polg bist,Persicaria bistorta
Sali glbr,Salix glabra
Sali hast,Salix hastata ssp. hastata
Tric cesp,Trichophorum cespitosum ssp. cespitosum
Aven flex,Avenella flexuosa
Cato nig,Catoscopium nigritum
Eleo acic,Eleocharis acicularis
Erio angu,Eriophorum angustifolium
Funa hyg,Funaria hygrometrica
Junc mont,Juncus arcticus × filiformis = J. × montelii
Mees uli,Meesia uliginosa
Trig palu,Triglochin palustre
