Laufende Nr.;Seehöhe in m x 10;Exposition;Neigung in °;Fläche in m²;Gesamtdeckung in %;longitude;latitude;accuracy;location;decription;decription2
14;203;F;0;16;100;14.646170;46.886500;500;Kärnten, Saualpe, Kienberg gegen Gertrusk;;9153/2, 27. 7. 1993, gemeinsam mit H. Gutschi
15;204;F;0;16;100;14.642620;46.88380;100;Kärnten, Saualpe, Kienberg, Drei Öfen, beim Grenzstein Nr. 366, E des Steiges;ca. 20 m E des drehbaren FLAK-Geschützturmes aus dem 2. Weltkrieg, 9153/2;10. 8. 1996
16;194;SE;1;100;100;14.666740;46.895130;500;Kärnten, Saualpe, Forstwiesen, 50 m E des letzten Ofens auf der Forstwiese;mächtige, schwarze Rohhumusdecke >20 cm, z.T. in kleine Bulte gegliedert, Carex curvula: 30x30 cm großer Fleck, Campanula alpina viele sterile Rosetten, 9154/1, 28. 7. 1996;gemeinsam mit H. Gutschi und A. Schriebl
17;189;F;0;16;100;14.661340;46.896590;1000;Kärnten, Saualpe, zwischen Forstalpe und Kienberg;ebene Aufnahmefläche bis leichte Muldenlage, Aufnahme liegt insgesamt in einer flachen Mulde;9153/2, 21.8.1993
18;197;S;2;9;100;14.661340;46.896590;1000;Kärnten, Saualpe, zwischen Forstalpe und Kienberg;3x3m;9153/2, 21.8.1993, gemeinsam mit H. Gutschi
19;190;SW;5;10;95;14.646170;46.886500;500;Kärnten, Saualpe, Kienberg, gestreckter Hang, (aus STÜTZER 1992, Tab. 30);;
20;205;N;2;25;98;14.646170;46.886500;500;Kärnten, Saualpe, Kienberg, direkt im Bereich des Triangulierungszeichens, Grenzstein Nr. 369, Kienberggipfel: 2050 m, anstehender Schiefer mit Feldspat, auch Schiefer;9153/2, 10. 8. 1996.;
21;205;F;0;10;100;14.646170;46.886500;1000;Kärnten, Saualpe, Kienberg, eben, (Aufnahme 3 aus STÜTZER 1992, Tab. 30);;
22;203;SW;8;5;90;14.646170;46.886500;1000;Kärnten, Saualpe, Kienberg, konvexer Hang, (Aufnahme 4 aus STÜTZER 1992, Tab. 30);;
23;203;W;3;10;100;14.646170;46.886500;1000;Kärnten, Saualpe, Kienberg, konvexer Hang, (Aufnahme 9 aus STÜTZER 1992, Tab. 30);;
24;205;NW;2;3;90;14.646170;46.886500;1000;Kärnten, Saualpe, Kienberg, gestreckter Hang, (aus STÜTZER 1992, Tab. 30);;
25;203;F;0;5;95;14.662880;46.897590;500;Kärnten, Saualpe, Forstalpe, ebene Fläche (aus STÜTZER 1992, Tab. 30);;
26;203;F;0;;95;14.662880;46.897590;500;Kärnten, Saualpe, Forstalpe, Hochebene (aus STÜTZER 1994: 432).;;
27;205;F;0;5;95;14.646170;46.886500;1000;Kärnten, Saualpe, Kienberg, ebene Fläche (aus STÜTZER 1992, Tab. 30);;
28;204;E;2;;90;14.646170;46.886500;1000;Kärnten, Saualpe, Kienberg, Hang, E, 2° (aus STÜTZER 1994: 432);;
29;205;F;0;;95;14.646170;46.886500;1000;Kärnten, Saualpe, Kienberg, Hochebene, (aus STÜTZER 1994: 432);;
30;215;F;0;1;100;14.583517;47.064150;1000;Steiermark, Seetaler Alpen, Zirbitzkogel, ENE streichender Rücken;1x1 m, 2158 m, 1 Bult 30 cm hoch, an dessen Spitze weniger Pflanzen, Carex bigelowii kommt auch auf der N-exponierten Kante und Böschung der Buhe vor (benötigt Schneebedeckung!). Carex bigelowii kann auch in feinerdereicher Mulde (ohne Loiseleuria gedeihen) ebenso wie im Curvuletum und in Mulden mit colluvialer Feinerde (überall längere Schneebedeckung);8953/1, 8. 8. 1998
31;216;NNE;5;49;100;14.581733;47.066600;50;Steiermark, Seetaler Alpen, Zirbitzkogel, Rücken E d. Gipfels, nördlich/unterhalb des Steiges zum Gipfelhaus, 2085 m;7x7 m, 2161 m, sehr kleine Erd-Bülte, Aufn. liegt insgesamt in einer Nivationsnische, 5°, z.T. Differenzierung: Carex bigelowii häufiger an feuchteren Stellen am Fuß der Buhen als Loiseleuria. Festuca pseudodura eher auf kleinen Erhebunge [in 2200 m E des Zirbitzkogel Gipfels, extrem kleinblättrige riyas octopetala (ca 10x5 mm)];8. 8. 1998
32;210;SE;2;64;100;14.583517;47.064150;1000;Steiermark, Seetaler Alpen, Zirbitzkogel, ENE streichender Rücken;8x8 m, N des Steiges am SE-Rücken, unterhalb der zahlreichen Erdbühen, in der Aufnahme selbst kleine Buhe (20x20x30 cm) Vertiefungen nicht aufgenommen;8953/1, 8. 8. 1998, einige Bulten außerhalb der Aufnahme reicher an Carex cuvula
33;216;NE;4;6;95;14.583517;47.064150;50;Steiermark, Seetaler Alpen, Zirbitzkogel, ENE streichender Rücken, N des Geierkogels;2,5x2,5 m;8953/2, 8. 8. 1998, am Rand der Aufnahme lediglich ein Erosionsanriß in der Aufnahme mit „Pflastersteinen“ (durch Kammeis aufgefroren) bedeckt
34;212;NE;5;64;80;14.582850;47.064733;50;Steiermark, Seetaler Alpen, Zirbitzkogel, ENE streichender Rücken;8x8 m, 5°, NE, z.T. leicht getreppt, insgesamt eine große, flache, NE-exponierte Mulde. Vegetationsbedeckung: 90% bedingt durch einen großen Stein (10%);8953/1, 8. 8. 1998
35;236;F;0;4;100;14.580583;47.065000;50;Steiermark, Seetaler Alpen, Zirbitzkogel, ENE streichender Rücken;1,5x1,5 m, ca. 20 cm über dem übrigen Niveau ein größerer Bult;8953/1, 8. 8. 1998, Polytrichum perigonale stets im Loiseleuria-Bestand
36;207;;6;48;70;14.584550;47.067833;50;Steiermark, Seetaler Alpen, Zirbitzkogel, ENE streichender Rücken, 2077 m;8x6 m, Erosions-Loiseleurietum mit gepflasterten Kammeis- und Deflationsbereichen, anstehender Muskovitschiefer;8953/2, 8. 8. 1998, Carex spec. 5 cm groß (Beleg 6619) (Beleg: 6622, beide auf offenen, vegetationsarmen Stellen), Carex bigelowiii nur + und nur an der unteren Kante der gegen NE geöffneten Erosions-Kliffs
37;196;W;4;9;100;14.231010;47.324560;500;Steiermark, Seetaler Alpen, Wildsee, Karboden im SW Teil, E-Ufer;3x3 m, pH-Messungen: 4,2;8953/4, 20. 7. 1998, Exkursion des NWV für Kärnten, gemeinsam mit Roland Reif, mögliche Austrocknung durch anstehenden Fels
38;196;F;0;4;100;14.231010;47.324560;500;Steiermark, Seetaler Alpen, Wildsee, Karboden im SW Teil, E-Ufer;2x2 m ± eben, pH-Messungen: 5,8 5,2 5,8;8953/4, 20. 7. 1998, Exkursion des NWV für Kärnten, gemeinsam mit Roland Rei , „feucht“ Calluna vulgaris ist abgestorben!
39;196;;5;16;100;14.229840;47.325450;100;Steiermark, Seetaler Alpen, Wildsee, Karboden zwischen See-Ufer und See-Abfluß;4x4 m, 0,5 m hoher, flachabfallender Hügel (Bult-ähnlich), pH-Messungen: 6,3 6,4 6,4;8953/4, 20. 7. 1998, Exkursion des NWV für Kärnten, gemeinsam mit Roland Rei„, feucht“
40;210;F;0;;100;14.579770;47.045660;1000;Steiermark, Seetaler Alpen, Fuchskogel, Hochebene (aus STÜTZER 1994:432, Aufnahme 5);;sehr artenarm, gehört vermutlich nicht zur Subass. von Valeriana celtica ssp. norica ist aber durch Trichophorum cespitosum mit den Aufnahmen am Karboden gut verbunden.
