plot,plot.alternate,epsg,x,y,accuracy,date,observer,location,municipality,elevation,expo,slope,relief,bedrock,pls,t1cov,t2cov,scov,hcov,mcov,whh,soiltype,humustype,pH A,pH B,forest type,type,comment1,comment2,comment3,pls,cover.saplings,cover.dwarf shrubs,cover.grasses,cover.herbs,cover.ferns,cover.tall.herbs
KIR03,KIR03,EPSG:31258,355766,262612,50,2003-05-18,3,Naturdenkmal Grattenbergl West,Kirchbichl,545,290,75,MH,Ka,400,40,0,35,60,1,fr,BrBr,tyMu,,,ZE2Qmi,MILIQUER,"MILIQUER, Anklänge an frische Tilio-Acerion-Ges.?","strauchreich, auch aktuell noch beweidet (Jungvieh, Schafe)",,400,0,0,0,0,0,0
KRA01,KRA01,EPSG:31258,341559,259034,50,2003-09-04,119,"Reinthaler See, Halbinsel Süd",Kramsach,580,200,55,HVS,MoIn,250,60,0,70,30,8,mfr,,,6.09,4.87,wE6Ecw,CARITILI,,,,250,5,1,17,0,0,0
LAN01,LAN01,EPSG:31257,165564,222830,50,2003-08-16,119,"Landeck, Eichenbühel, oberer westlicher Teil",Stanz,930,170,80,HVS,SiK+,300,50,15,25,55,10,mfr,PaRb,tyMu,7.85?,,wE3Qbr,LATHQUER,warum hier Stieleiche und bei 02 Traubeneiche? V.a. Q. x rosacea!!,"kein Verbiß gesehen, aber sicher Wild vorhanden",,300,10,0,35,0,0,0
LAN02,LAN02,EPSG:31257,165541,222812,50,2003-08-16,119,"Landeck, Eichenbühel",Stanz,940,190,100,HVE,SiK+,150,35,0,10,30,25,mtr,,tyMu,7.42?,,wE3Qbr,LATHQUER,,"Moose über Schutt, Felsen, aber auch über Blaiken",Seichtgründig!!!,150,1,0,22,0,2,0
MANFR.04,84060604,EPSG:31257,343030,188500,50,1991-06-19,3,Eichhölzer,Dölsach,800,200,110,MH,SiIn,0,60,0,15,25,5,mtr,SePo,tyMo,,,wE3Qbr,LATHQUER,,Lathyro nigri-Quercetum,,,0,0,0,0,0,0
MANFR.05,84060602,EPSG:31257,342850,188675,50,1991-06-19,3,Eichhölzer,Dölsach,780,250,90,MH,SiIn,0,75,0,10,95,3,mtr,BrBr,tyMu,,,wE3Qbr,LATHQUER,,Lathyro nigri-Quercetum,,,0,0,0,0,0,0
MANFR.06,84100403,EPSG:31257,345965,187260,50,1992-07-30,3,"Lengberg, Lindsberg",Nikolsdorf,800,200,110,HVS,SiIn,0,40,0,25,25,10,mtr,BrBr,tyMu,,,wE3Qbr,LATHQUER,,Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraeae Ellenberg et Klötzli 1972),,,0,0,0,0,0,0
MANFR.07,84100402,EPSG:31257,345675,187350,50,1992-07-29,3,"Lengberg, Lindsberg",Nikolsdorf,800,200,100,OH,.,0,80,0,20,50,1,mfr,BrBa,moMu,,,wE3Qbr,LATHQUER,,Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraeae Ellenberg et Klötzli 1972),,,0,0,0,0,0,0
MANFR.08,84100401,EPSG:31257,344275,187450,50,1992-07-29,3,"Lengberg, Lindsberg",Nikolsdorf,680,250,100,MH,.,0,85,0,35,60,5,mfr,BrBa,moMu,,,wE3Qbr,LATHQUER,,Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraeae Ellenberg et Klötzli 1972),,,10,0,0,0,0,0
MANFR.09,84120101,EPSG:31257,333860,187450,50,1993-08-20,5,Kerschbaumer,Leisach,750,200,80,HVS,.,0,85,0,80,50,7,mtr,BrLp,muMo,,,wE3Qbr,LATHQUER,,"Stiel-/Traubeneichenwald (Quercetum roboris s.l.), Lathyro- od. Milio-Querc.???",,,10,0,0,0,0,0
MANFR.10,84120102,EPSG:31257,334690,189335,50,1993-08-18,5,Kerschbaumer,Leisach,710,200,60,UH,.,0,90,0,70,40,2,mtr,BrLl,muMo,,,wE3Qbr,LATHQUER,,"Stiel-/Traubeneichenwald (Quercetum roboris s.l.), Lathyro- od. Milio-Querc.bzw. neue Ass.",,,0,0,0,0,0,0
MANFR.11,154130101,EPSG:31257,190755,230800,50,1994-05-30,26,Ebene,Ötz,810,250,80,MH,SiIn,0,70,0,10,50,20,mfr,BrBa,tyMu,,,wE3Qbr,LATHQUER,,Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraea Ellenberg et Klötzli 1972),,,5,0,0,0,0,0
MANFR.12,154130102,EPSG:31257,191910,229950,50,1994-06-01,26,Ebene,Ötz,810,250,85,MH,SiIn,0,85,0,50,50,2,mfr,BrBr,tyMu,,,wE3Qbr,LATHQUER,,Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraea Ellenberg et Klötzli 1972),,,0,0,0,0,0,0
MANFR.13,154130103,EPSG:31257,191410,230035,50,1994-06-17,26,Ebene,Ötz,830,200,75,MH,SiIn,0,65,0,35,85,5,mfr,BrBr,tyMu,,,wE3Qbr,LATHQUER,,Leimkraut-Eichenmischwald (Sileno nutantis-Quercetum petraea Ellenberg et Klötzli 1972),,,0,0,0,0,0,0
MANFR.14,115010401,EPSG:31257,222685,236860,50,1994-06-08,1,Steinbruch Finstertalegg (Alpenpark Karwendel),Zirl,720,200,75,MH,HaKa,0,25,0,60,55,0,mtr,PaRe,KaMu,,,wE6Osv,FRAXOSTR,,Hopfenbuchen-Mannaeschenwald,,,3,0,0,0,0,0
MANFR.15,224120501,EPSG:31257,218350,238020,50,1993-06-22,3,Zirler Freibad,Zirl,720,150,70,UH,Ka,0,50,0,50,85,2,wt,BLRe,muMo,,,wE6Osv,FRAXOSTR,,"Mannaeschen-Mischwald mit Kiefern, Linden und Eschen",,,30,0,0,0,0,0
MANFR.16,115010201,EPSG:31257,221780,237060,50,1994-06-07,1,"Martinswand, unterhalb Bahntrasse (Alpenpark Karwendel)",Zirl,750,200,80,MH,HaKa,0,70,0,40,15,3,mfr,PaRe,tyMu,,,wE6Ecw,CARITILI,,Ki-Li-Ei,,,0,0,0,0,0,0
MANFR.17,234010503,EPSG:31257,224515,237500,50,1995-06-20,12,Hechenberg,Innsbruck,860,200,100,HVS,Ka,0,60,0,5,80,2,mtr,Re,tyMu,,,WE6Qte,TEUCQUER,,Eichen-Kiefernwald (Teucrio-Quercetum/Coronillo coronatae-Quercetum),,,0,0,0,0,0,0
MANFR.18,234010502,EPSG:31257,223300,237115,50,1995-06-21,12,Hechenberg,Zirl,930,200,100,MH,Ka,0,40,0,30,60,0,tr,Re,tyMu,,,WE6Qte,TEUCQUER,,Eichen-Kiefernwald (Teucrio-Quercetum/Coronillo coronatae-Quercetum),,,0,0,0,0,0,0
MANFR.19,115010301,EPSG:31257,221855,237040,50,1994-06-07,1,"Martinswand, unterhalb Bahntrasse (Alpenpark Karwendel)",Zirl,770,200,110,MH,HaKa,0,60,0,33,50,3,mtr,Re,KaMu,,,WE6Qte,TEUCQUER,"Überg. wE6Ecw, umklass.",Ki-Li-Ei,,,5,0,0,0,0,0
MANFR.20,224120401,EPSG:31257,218440,238110,50,1993-06-23,3,Zirl-Fragenstein,Zirl,750,250,70,MH,Ka,0,60,0,80,50,2,tr,BLRe,muMo,,,wE6Osv,FRAXOSTR,,Mannaeschen-Kiefernwald,,,10,0,0,0,0,0
MANFR.21,194011701,EPSG:31257,235865,240770,50,1992-06-22,4,Romedius-Kirchl,Thaur,780,200,11,MH,Ka,0,95,0,45,70,1,mtr,BrLl,muMo,,,wE6Ecw,CARITILI,,Eichenwald (Quercetum roboris s.l.) (Carici albae-Tilietum?),,,3,0,0,0,0,0
MANFR.22,234010501,EPSG:31257,223235,237030,50,1995-06-20,12,Hechenberg,Zirl,840,200,90,MH,Ka,0,70,0,40,70,3,mtr,BLRe,tyMu,,,WE6Qte,TEUCQUER,,Eichen-Kiefernwald (Teucrio-Quercetum/Coronillo coronatae-Quercetum),,,5,0,0,0,0,0
MANFR.23,194011702,EPSG:31257,235790,240775,50,1992-06-22,4,Romedius-Kirchl,Thaur,760,150,75,MH,Ka,0,95,0,35,60,1,mfr,BrLl,muMo,,,ZE6Eca,CARITILI,,Eichenwald (Quercetum roboris s.l.) (Carici albae-Tilietum?),,,0,0,0,0,0,0
MANFR.24,84140201,EPSG:31257,338680,191790,50,1993-07-15,3,Nußdorf,Nußdorf,750,200,60,UH,,0,40,0,60,55,1,mfr,BrLl,tyMo,,,ZE2Qmi,MILIQUER,,"Stieleichenwald (Quercetum roboris s.l.), Lathyro- od. Milio-Querc.???",,,20,0,0,0,0,0
MOE01,MOE01,EPSG:31257,196423,237704,50,2003-08-21,119,"Mötz, Birgele",Mötz,680,140,60,OH,Ka+,200,40,0,35,45,2,mtr,Re,tyMo,7.33,,wE6Ecw,CARITILI,Stieleiche! Am steileren Oberhang wie WE6Qte m. Trockenrasenarten,"PF aktuell etwas begangen, wohl auch vom Wild!!",,200,3,0,18,0,0,0
MOE02,MOE02,EPSG:31257,196477,237689,50,2003-08-21,119,"Birgele-Mötz, schräg gegenüber der Aufn MOE01",Mötz,680,320,55,MH,Ka+,250,80,5,10,45,15,mtr,,,6.85,,wE6Ecw,CARITILI,Stieleiche!,"stark verbissen, pfad führt durch Probefläche",,250,5,0,25,0,3,0
MÜN01,MÜN01,EPSG:31258,335827,254906,50,2003-07-24,119,Bürglberg Südhang,Münster,690,160,125,MH,Ka-,250,25,0,60,65,5,mtr,Re,,7.26,,wE6Ecw,CARITILI,Lage wie TEUCQUER,"verbuschender Hang mit mehreren älteren Eichen, viele Sträucher, früher sicher beweidet (Ziegen??)",,250,10,0,35,0,0,0
MÜN02,MÜN02,EPSG:31258,335890,254914,50,2003-07-24,119,Bürglberg Südhang,Münster,690,180,100,HVS,Ka-,150,20,0,60,55,8,mfr,,,5.23?,,wE6Ecw,CARITILI,Lage wie TEUCQUER,am Rand der Fläche angrenzend eine Molinia-Wiese,,150,0,0,40,0,0,0
NIKOLS01,NIKOLS01,EPSG:31258,417916,182896,50,2003-09-19,119,Oberhalb Nikolsdorf,Nikolsdorf,760,220,150,HVS,SiIn,175,20,0,25,25,60,tr,,,,4.48,wE3Qbr,LATHQUER,,,,175,0,0,0,0,0,0
NIKOLS02,NIKOLS02,EPSG:31258,418383,182614,50,2003-09-19,119,"Nikolsdorf, unterm Dietl-Hof",Nikolsdorf,800,210,80,HVS,SiIn,400,65,10,25,50,5,mtr,,,5.95,4.82,wE3Qbr,LATHQUER,,,,400,5,5,25,0,0,5
NÖRSACH01,NÖRSACH01,EPSG:31258,418951,181407,50,2003-09-17,119,"Nörsach, östlich Steinbruch",Nikolsdorf,680,210,60,MH,Ka+,300,35,30,20,70,5,mtr,,tyMu,7.63,7.41,wE6Osv,FRAXOSTR,,viel Verbiß,,300,4,0,30,0,0,3
NÖRSACH02,NÖRSACH02,EPSG:31258,418908,181415,50,2003-09-17,119,Nörsach östlich des Steinbruchs,Nikolsdorf,660,220,60,MH,HaBa,400,45,25,30,20,1,mfr,,,7.41,7.48,wE6Osv,FRAXOSTR,,,,400,3,0,7,0,0,5
SON01,SON01,EPSG:31257,230274,234754,50,2003-06-16,119,Sonnenburger Hof,Innsbruck,690,150,80,OH,MoIn,200,45,35,25,45,0,mfr,BrLl,tyMu,7.25?,8.48?,wE6Ecw,CARITILI,,,,200,20,10,0,0,0,1
SON02,SON02,EPSG:31257,229932,235367,50,2003-06-03,119,"Bergisel Straße, genau über Kurve",Innsbruck,680,90,70,OH,KiMi,225,55,40,35,75,2,mfr,,,,,ZE6Eca,CARITILI,Carici-Tilietum,,,225,0,0,0,0,0,0
STAMS01,STAMS01,EPSG:31257,198755,237571,50,2003-08-23,119,Stamser Eichenwald,Stams,650,250,3,EB,KiIn,400,50,5,45,70,2,sfr,,,4.78,5.43,ZE2Qmi,QUERULME,stellarietosum nemori?,,,400,1,0,2,0,1,2
STAMS02,STAMS02,EPSG:31257,198882,237384,50,2003-08-23,119,Stamser Eichenwald,Stams,690,300,8,TA,KiIn,400,70,15,15,75,1,fr,,tyMu,4.73,4.89,ZE2Qmi,QUERULME,stellarietosum nemori?,,,400,3,0,7,0,2,2
STAMS03,STAMS03,EPSG:31257,198644,237602,50,2003-08-23,119,Stamser Eichenwald,Stams,700,310,6,TA,KiIn,400,30,15,50,65,1,fr,,tyMu,5.09,4.96,ZE2Qmi,QUERULME,stellarietosum nemori?,,,400,2,0,3,0,3,0
STU01,STU01,EPSG:31258,341439,239723,50,2003-09-22,119,"Stummerberg, oberhalb Jugendherberge",Stummerberg,730,230,75,OH,SiIn,350,40,15,40,30,15,mfr,,,,3.22,wE1Qlu,GENIQUER,,,,350,2,5,10,0,0,0
TER02,TER02,EPSG:31257,247925,242636,50,2003-07-17,119,Terfens Eiringer Ost,Terfens,600,140,105,MH,MoIn,350,40,30,45,7,1,mfr,BrLl,tyMu,4.63?,5.20?,ZE2Qmi,MILIQUER,,relativ viel Wild,,350,3,0,2,0,1,0
TER03,TER03,EPSG:31257,248290,242917,50,2003-07-29,119,NeuTerfens im alten Park,Terfens,650,200,65,OH,MoIn,250,70,0,30,55,10,mfr,,tyMu,4.07?,4.64?,ZE2Qmi,MILIQUER,In Umgebung auch Bergahorn  in BS,"Moosschicht in einem Eck mehr, hier ist es mehr verhagert, weniger KS-Deckung, Vaccmyrt + Moose + Luz.",Mesorelief: Oberhang bis Mittelhang,250,15,0,3,0,0,0
UNT01,UNT01,EPSG:31257,219693,235683,50,2003-08-15,119,"Unterperfuß, Schloß Ferklehen",Unterperfuß,640,100,70,UH,MoIn,300,70,10,25,60,25,mfr,,tyMu,,4.36,wE1Qlu,GENIQUER,Tend. wE3Qbr,"viele Wegelen, viel Wild, ruderalisiert",,300,0,0,25,0,0,2
UPEISCH01,UPEISCH01,EPSG:31258,393725,199100,50,2003-09-18,119,"Unterpeischlach, SO",Kals am Großglockner,850,220,140,HVS,SiIn,150,15,0,30,50,65,tr,,,4.79,,wE3Qbr,LATHQUER,,,,150,0,1,20,0,3,0
VOL01,VOL01,EPSG:31257,242599,239043,50,2003-05-23,119,"Karlskirche Ost, Volders",Volders ,600,0,75,UH,MoIn,400,75,0,30,60,2,fr,BrLl,tyMu,4.67,4.27,ZE2Qmi,MILIQUER,,,,400,0,0,1,0,0,0
VOL02,VOL02,EPSG:31257,241023,238374,50,2003-07-29,119,Volders über Autobahn,Volders ,620,10,70,OH,MoIn,350,40,10,65,40,10,fr,BrLl,tyMu,5.65?,5.00?,ZE2Qmi,MILIQUER,,"viel Wild, etwas ruderal (Begangen?)",,350,5,0,3,0,3,0
VOM01,VOM01,EPSG:31257,250120,243648,50,2003-07-17,119,Vomperbach/Weisslahn,Terfens,605,140,80,MH,MoK-,300,45,30,30,15,1,mfr,,,7.20?,,ZE2Qmi,CARITILI,"Carici albae-Tilietum, frisch??",relativ viel Wild,,300,5,0,4,0,0,0
ZAJACH01,ZAJACH01,EPSG:31258,398934,193647,50,2003-09-18,119,"Zajach, am oberen Rand der Felswand zum Fluß hin",,810,50,140,HVS,SiIn,150,20,0,65,25,20,mfr,,,4.39,3.47,wE3Qbr,LATHQUER,,,,150,0,0,2,0,20,0
ZIRL01,ZIRL01,EPSG:31257,218364,238030,50,2003-09-01,119,Zirl oberhalb Schwimmbad,Zirl,650,150,80,MH,Ka+,200,7,20,70,60,0,mtr,,,7.91,7.85,wE6Osv,FRAXOSTR,,,,200,10,0,45,0,0,0
ZIRL02,ZIRL02,EPSG:31257,218452,238006,50,2003-09-01,119,Zirl oberhalb Schwimmbad,Zirl,700,190,90,MH,Ka+,250,35,25,35,35,3,mfr,,tyMu,8.04,,wE6Osv,FRAXOSTR,,"Nahe Häuser, früher sicher beweidet","Fläche etwas heterogen, unterer Teil leicht muldig mit zT weniger Abfluß als Zufluß, oben trocken",250,7,0,20,0,0,0
