plot;plot.alternate;epsg;x;y;date;observer;location;Gemeinde;elevation;expo;slope;relief;bedrock;pls;t1cov;t2cov;scov;hcov;mcov;WHH;soiltype;humustype;pH A;pH B;type;comment1;comment2;comment3;pls;t1cov;t2cov;scov;hcov;mcov;cover.saplings;cover.dwarf shrubs;cover.grasses;Deckung Kräucover.herbster;cover.ferns;cover.tall.herbs
JEN02;JEN02;28;260565;251977;2003-07-25;119;Jenbach Tiergarten Süd;Wiesing;585;150;140;MH;Ka+;200;15;12;20;65;0;mtr;.;.;5.16?;5.25?;CARITILI;"""Molinio-Quercetum""";Krautschicht stark deckend, Deckung wegen Felsen geringer;;200;15;12;20;65;0;0;0;0;0;0;0
KRA01;KRA01;31;341559;259034;2003-09-04;119;Reinthaler See, Halbinsel Süd;Kramsach;580;200;55;HVS;MoIn;250;60;0;70;30;8;mfr;.;.;6.09;4.87;CARITILI;;;;250;60;0;70;30;8;5;1;17;0;0;0
MOE01;MOE01;28;196423;237704;2003-08-21;119;Mötz, Birgele;Mötz;680;140;60;OH;Ka+;200;40;0;35;45;2;mtr;Re;tyMo;7.33;;CARITILI;Stieleiche! Am steileren Oberhang wie WE6Qte m. Trockenrasenarten;PF aktuell etwas begangen, wohl auch vom Wild!!;;200;40;0;35;45;2;3;0;18;0;0;0
MOE02;MOE02;28;196477;237689;2003-08-21;119;Birgele-Mötz, schräg gegenüber der Aufn MOE01;Mötz;680;320;55;MH;Ka+;250;80;5;10;45;15;mtr;.;.;6.85;;CARITILI;Stieleiche!;stark verbissen, pfad führt durch Probefläche;;250;80;5;10;45;15;5;0;25;0;3;0
MÜN01;MÜN01;31;335827;254906;2003-07-24;119;Bürglberg Südhang;Münster;690;160;125;MH;Ka-;250;25;0;60;65;5;mtr;Re;.;7.26;;CARITILI;Lage wie TEUCQUER;verbuschender Hang mit mehreren älteren Eichen, viele Sträucher, früher sicher beweidet (Ziegen??);;250;25;0;60;65;5;10;0;35;0;0;0
MÜN02;MÜN02;31;335890;254914;2003-07-24;119;Bürglberg Südhang;Münster;690;180;100;HVS;Ka-;150;20;0;60;55;8;mfr;.;.;5.23?;;CARITILI;Lage wie TEUCQUER;am Rand der Fläche angrenzend eine Molinia-Wiese;;150;20;0;60;55;8;0;0;40;0;0;0
SON01;SON01;28;230274;234754;2003-06-16;119;Sonnenburger Hof;Innsbruck;690;150;80;OH;MoIn;200;45;35;25;45;0;mfr;BrLl;tyMu;7.25?;8.48?;CARITILI;;;;200;45;35;25;45;0;20;10;0;0;0;1
MANFR.16;115010201;28;221780;237060;1994-06-07;1;Martinswand, unterhalb Bahntrasse (Alpenpark Karwendel);Zirl;750;200;80;MH;HaKa;0;70;0;40;15;3;mfr;PaRe;tyMu;;;CARITILI;;Ki-Li-Ei;;0;70;0;40;15;3;0;0;0;0;0;0
MANFR.21;194011701;28;235865;240770;1992-06-22;4;Romedius-Kirchl;Thaur;780;200;11;MH;Ka;0;95;0;45;70;1;mtr;BrLl;muMo;;;CARITILI;;Eichenwald (Quercetum roboris s.l.) (Carici albae-Tilietum?);;0;95;0;45;70;1;3;0;0;0;0;0
3033;3033;;;;1998-09-01;3;Vill-Goarmbichl;Innsbruck;830;200;90;MH;MoKa;0;80;10;40;35;0;mfr;PaRe;tyMu;;;CARITILI;;"Carici albae-Tilietum; Ica* - Stieleichenausbildung (typisch?); seit 2002 Naturdenkmal";;0;80;10;40;35;0;10;0;25;15;0;0
NÖRSACH01;NÖRSACH01;31;418951;181407;2003-09-17;119;Nörsach, östlich Steinbruch;Nikolsdorf;680;210;60;MH;Ka+;300;35;30;20;70;5;mtr;.;tyMu;7.63;7.41;FRAXOSTR;;viel Verbiß;;300;35;30;20;70;5;4;0;30;0;0;3
NÖRSACH02;NÖRSACH02;31;418908;181415;2003-09-17;119;Nörsach östlich des Steinbruchs;Nikolsdorf;660;220;60;MH;HaBa;400;45;25;30;20;1;mfr;.;.;7.41;7.48;FRAXOSTR;;;;400;45;25;30;20;1;3;0;7;0;0;5
ZIRL01;ZIRL01;28;218364;238030;2003-09-01;119;Zirl oberhalb Schwimmbad;Zirl;650;150;80;MH;Ka+;200;7;20;70;60;0;mtr;.;.;7.91;7.85;FRAXOSTR;;;;200;7;20;70;60;0;10;0;45;0;0;0
ZIRL02;ZIRL02;28;218452;238006;2003-09-01;119;Zirl oberhalb Schwimmbad;Zirl;700;190;90;MH;Ka+;250;35;25;35;35;3;mfr;.;tyMu;8.04;;FRAXOSTR;;Nahe Häuser, früher sicher beweidet;Fläche etwas heterogen, unterer Teil leicht muldig mit zT weniger Abfluß als Zufluß, oben trocken;250;35;25;35;35;3;7;0;20;0;0;0
MANFR.14;115010401;28;222685;236860;1994-06-08;1;Steinbruch Finstertalegg (Alpenpark Karwendel);Zirl;720;200;75;MH;HaKa;0;25;0;60;55;0;mtr;PaRe;KaMu;;;FRAXOSTR;;Hopfenbuchen-Mannaeschenwald;;0;25;0;60;55;0;3;0;0;0;0;0
MANFR.15;224120501;28;218350;238020;1993-06-22;3;Zirler Freibad;Zirl;720;150;70;UH;Ka;0;50;0;50;85;2;wt;BLRe;muMo;;;FRAXOSTR;;Mannaeschen-Mischwald mit Kiefern, Linden und Eschen;;0;50;0;50;85;2;30;0;0;0;0;0
MANFR.20;224120401;28;218440;238110;1993-06-23;3;Zirl-Fragenstein;Zirl;750;250;70;MH;Ka;0;60;0;80;50;2;tr;BLRe;muMo;;;FRAXOSTR;;Mannaeschen-Kiefernwald;;0;60;0;80;50;2;10;0;0;0;0;0
MANFR.19;115010301;28;221855;237040;1994-06-07;1;Martinswand, unterhalb Bahntrasse (Alpenpark Karwendel);Zirl;770;200;110;MH;HaKa;0;60;0;33;50;3;mtr;Re;KaMu;;;TEUCQUER;Überg. wE6Ecw, umklass.;Ki-Li-Ei;;0;60;0;33;50;3;5;0;0;0;0;0
MANFR.17;234010503;28;224515;237500;1995-06-20;12;Hechenberg;Innsbruck;860;200;100;HVS;Ka;0;60;0;5;80;2;mtr;Re;tyMu;;;TEUCQUER;;Eichen-Kiefernwald (Teucrio-Quercetum/Coronillo coronatae-Quercetum);;0;60;0;5;80;2;0;0;0;0;0;0
MANFR.18;234010502;28;223300;237115;1995-06-21;12;Hechenberg;Zirl;930;200;100;MH;Ka;0;40;0;30;60;0;tr;Re;tyMu;;;TEUCQUER;;Eichen-Kiefernwald (Teucrio-Quercetum/Coronillo coronatae-Quercetum);;0;40;0;30;60;0;0;0;0;0;0;0
MANFR.22;234010501;28;223235;237030;1995-06-20;12;Hechenberg;Zirl;840;200;90;MH;Ka;0;70;0;40;70;3;mtr;BLRe;tyMu;;;TEUCQUER;;Eichen-Kiefernwald (Teucrio-Quercetum/Coronillo coronatae-Quercetum);;0;70;0;40;70;3;5;0;0;0;0;0
FRI01;FRI01;28;246265;241922;2003-05-23;119;Fritzens, Aichberg Süd;Fritzens;580;195;75;OH;MoIn;300;60;0;60;25;1;fr;BrLl;tyMu;6.08;4.89;MILIQUER;;;zT vom Wild beeinflußt;300;60;0;60;25;1;1;0;1;0;2;3
HO01;HO01;31;361251;257787;2003-09-27;3;Tongrube Hopfgarten;Hopfgarten i.B.;640;300;70;HVS;KiI+;400;85;5;40;35;1;fr;BrLl;tyMu;4.94;4.63;MILIQUER;"Milio-Quercetum roboris;  Westendorf: bis ca. 800 m Stieleichen mit Bergahorn, Esche und Bergulme, Geum urbanum, Lami mont, Asar europ, Paris quad, Anem nemo...(""Aceri-Quercetum roboris""); Kirchbichl-Kastengstatt/Aichat: Fragmente von Stieleichen-Auwald";"zu dunkel für Gräser, ""reich"" und frisch - Kräuter dom., viel Laubstreu, Cupulae, Dürräste";"15 m über ""Badlsteig"" west. neben Förderband der stillgelegten Tongrube Ziegelwerk Hopfgarten";400;85;5;40;35;1;2;0;1;0;3;3
KIR02;KIR02;31;355821;262547;2003-05-18;3;Naturdenkmal Grattenbergl Süd;Kirchbichl;530;210;90;MH;Ka;225;40;0;40;35;0;mfr;BrBr;tyMu;;;MILIQUER;Variante von MILIQUER? Submontane Ausbildung der Randalpen??;strauchreich, Mischung aus Frische- und Wärmezeigern;;225;40;0;40;35;0;0;0;0;0;0;0
KIR03;KIR03;31;355766;262612;2003-05-18;3;Naturdenkmal Grattenbergl West;Kirchbichl;545;290;75;MH;Ka;400;40;0;35;60;1;fr;BrBr;tyMu;;;MILIQUER;MILIQUER, Anklänge an frische Tilio-Acerion-Ges.?;strauchreich, auch aktuell noch beweidet (Jungvieh, Schafe);;400;40;0;35;60;1;0;0;0;0;0;0
TER02;TER02;28;247925;242636;2003-07-17;119;Terfens Eiringer Ost;Terfens;600;140;105;MH;MoIn;350;40;30;45;7;1;mfr;BrLl;tyMu;4.63?;5.20?;MILIQUER;;relativ viel Wild;;350;40;30;45;7;1;3;0;2;0;1;0
TER03;TER03;28;248290;242917;2003-07-29;119;NeuTerfens im alten Park;Terfens;650;200;65;OH;MoIn;250;70;0;30;55;10;mfr;.;tyMu;4.07?;4.64?;MILIQUER;In Umgebung auch Bergahorn  in BS;Moosschicht in einem Eck mehr, hier ist es mehr verhagert, weniger KS-Deckung, Vaccmyrt + Moose + Luz.;Mesorelief: Oberhang bis Mittelhang;250;70;0;30;55;10;15;0;3;0;0;0
VOL01;VOL01;28;242599;239043;2003-05-23;119;Karlskirche Ost, Volders;Volders ;600;0;75;UH;MoIn;400;75;0;30;60;2;fr;BrLl;tyMu;4.67;4.27;MILIQUER;;;;400;75;0;30;60;2;0;0;1;0;0;0
VOL02;VOL02;28;241023;238374;2003-07-29;119;Volders über Autobahn;Volders ;620;10;70;OH;MoIn;350;40;10;65;40;10;fr;BrLl;tyMu;5.65?;5.00?;MILIQUER;;viel Wild, etwas ruderal (Begangen?);;350;40;10;65;40;10;5;0;3;0;3;0
MANFR.24;84140201;28;338680;191790;1993-07-15;3;Nußdorf;Nußdorf;750;200;60;UH;;0;40;0;60;55;1;mfr;BrLl;tyMo;;;MILIQUER;;Stieleichenwald (Quercetum roboris s.l.), Lathyro- od. Milio-Querc.???;;0;40;0;60;55;1;20;0;0;0;0;0
3034;3034;;;;1998-09-09;3;Untere Figge (westl. Huter);Innsbruck;600;0;75;MH;MoMi;0;90;10;35;75;3;fr;BrLl;tyMu;;;MILIQUER;;"Qro-Winterlindenausbildung; Überg. zu erosivem  Arunco-Tilietum cordatae, Grabeneinhang-Kessel? eingelagert Quellbach mit Grauerle; Biotopfläche in Völs ""Untere Figge""";;0;90;10;35;75;3;10;0;10;65;3;0
STAMS01;STAMS01;28;198755;237571;2003-08-23;119;Stamser Eichenwald;Stams;650;250;3;EB;KiIn;400;50;5;45;70;2;sfr;.;.;4.78;5.43;QUERULME;stellarietosum nemori?;;;400;50;5;45;70;2;1;0;2;0;1;2
STAMS02;STAMS02;28;198882;237384;2003-08-23;119;Stamser Eichenwald;Stams;690;300;8;TA;KiIn;400;70;15;15;75;1;fr;.;tyMu;4.73;4.89;QUERULME;stellarietosum nemori?;;;400;70;15;15;75;1;3;0;7;0;2;2
STAMS03;STAMS03;28;198644;237602;2003-08-23;119;Stamser Eichenwald;Stams;700;310;6;TA;KiIn;400;30;15;50;65;1;fr;.;tyMu;5.09;4.96;QUERULME;stellarietosum nemori?;;;400;30;15;50;65;1;2;0;3;0;3;0
BAU02;BAU02;28;242132;240322;2003-05-23;119;Haselfeld;Baumkirchen;575;175;75;MH;MoIn;400;55;0;65;35;1;fr;BrLl;tyMu;6.38;6.50;.;Carici albae-Tilietum, frisch??;;;400;55;0;65;35;1;0;0;20;0;0;0
ABS01;ABS01;28;239209;240812;2003-09-10;119;Absam-Melans bei Autospenglerei;Absam;640;210;20;TA;MoIn;250;70;15;40;55;1;fr;.;tyMu;7.94;8.16;;Carici albae-Tilietum, frisch??;;;250;70;15;40;55;1;25;0;2;0;0;4
VOM01;VOM01;28;250120;243648;2003-07-17;119;Vomperbach/Weisslahn;Terfens;605;140;80;MH;MoK-;300;45;30;30;15;1;mfr;.;.;7.20?;;;Carici albae-Tilietum, frisch??;relativ viel Wild;;300;45;30;30;15;1;5;0;4;0;0;0
AMP02;AMP02;28;234952;236123;2003-08-25;119;Naturwaldreservat Ampaß;Ampass;730;80;60;MH;MoK-;400;85;7;20;60;3;mtr;.;tyMu;;7.68;CARITILI;;;;400;85;7;20;60;3;3;0;25;0;0;0
SON02;SON02;28;229932;235367;2003-06-03;119;Bergisel Straße, genau über Kurve;Innsbruck;680;90;70;OH;KiMi;225;55;40;35;75;2;mfr;.;.;;;CARITILI;Carici-Tilietum;;;225;55;40;35;75;2;0;0;0;0;0;0
MANFR.23;194011702;28;235790;240775;1992-06-22;4;Romedius-Kirchl;Thaur;760;150;75;MH;Ka;0;95;0;35;60;1;mfr;BrLl;muMo;;;CARITILI;;Eichenwald (Quercetum roboris s.l.) (Carici albae-Tilietum?);;0;95;0;35;60;1;0;0;0;0;0;0
3003;aa3003;28;;;1998-08-04;3;Sillschlucht westlich Gluirsch;Innsbruck;620;150;90;HVS;SiKa;0;70;20;20;70;3;fr;BrBr;moMu;;;CARITILI;;;;0;70;20;20;70;3;0;0;50;30;0;0
3004;3004;28;;;1998-08-04;3;Sillschlucht südwestl. Gluirsch;Innsbruck;640;125;75;MH;SiKa;0;85;20;30;80;25;fr;PaRe;tyMu;;;CARITILI;;Übergang zu Arunco-Tilietum!;;0;85;20;30;80;25;15;0;20;65;10;0
6001;6001;28;;;1998-07-30;6;über Steinbruchstraße;Innsbruck;710;200;40;MH;HaIn;0;50;20;30;40;5;mfr;BrBr;Mu;;;CARITILI;;auf Moräne;;0;50;20;30;40;5;20;0;5;15;0;0
6004;6004;28;;;1998-07-31;6;unter Ölberg;Innsbruck;670;175;85;MH;HaKa;0;0;0;0;0;0;mfr;Re;Mu;;;CARITILI;;auf Kalk;;0;0;0;0;0;0;0;0;0;0;0;0
6005;6005;28;;;1998-07-31;6;bei Sprengerkreuz;Innsbruck;730;175;70;OH;MoMi;0;0;0;0;0;0;mfr;BrLl;Mu;;;CARITILI;;auf Moräne;;0;0;0;0;0;0;0;0;0;0;0;0
6009;6009;28;;;1998-08-06;6;Finkenberg bei Mühlau;Innsbruck;690;125;60;MH;MoMi;0;80;3;25;70;1;mfr;BrBr;Mu;;;CARITILI;;auf Moräne;;0;80;3;25;70;1;40;15;3;15;0;0
9005;9005;28;223625;237220;1995-06-21;12;Hofwald, über Steig zum Hechenberg;Innsbruck;820;200;85;OH;Ka;0;40;0;50;55;10;mfr;Re;Mu;.;;CARITILI;;Eichen-Linden-Mischwald auf Kalk;;0;40;0;50;55;10;0;0;0;0;0;0
