taxon;matched.taxon;abbr
Helleborus niger;Helleborus niger;hell nige
Hypericum maculatum;Hypericum maculatum s.str.;hype macu
Laserpitium latifolium;Laserpitium latifolium ssp. latifolium;lase lati lati
Lilium martagon;Lilium martagon;lili mart
Luzula sylvatica;Luzula sylvatica s.lat.;luzu sylv slat
Melica nutans;Melica nutans s.str.;meli nuta
BLANK;NA;NA
Mercuriais perennis;Mercurialis perennis s.str.;merc pere
Meum athamanticum;Meum athamanticum;meum atha
Myosotis sylvatica;Myosotis sylvatica s.str.;myos sylv
Phyteuma spicatum;Phyteuma spicatum;phyt spic spic
Pinus mugo;Pinus mugo s.str.;pinu mugo
Pulsatilla alpina;Pulsatilla alpina ssp. alpina;puls alpi alpi
Ranunculus lanuginosus;Ranunculus lanuginosus;ranu lanu
Rosa pendulina;Rosa pendulina;rosa pend
Rubus saxatilis;Rubus saxatilis;rubu saxa
Salix alpina;Salix alpina;sali alpi
Pimpinella major;Pimpinella major s.lat.;pimp majo slat
Salix appendiculata;Salix appendiculata s.str.;sali appe
Salix glabra;Salix glabra;sali glab
Solidago virgaurea minuta;Solidago virgaurea ssp. minuta;soli virg minu
Sorbus chamaemespilus;Sorbus chamaemespilus;sorb cham
Thalictrum aquilegiifolium;Thalictrum aquilegiifolium;thal aqui
Traunsteinera globosa;Traunsteinera globosa;trau glob
Trollius europaeus;Trollius europaeus;trol euro
Vaccinium myrtillus;Vaccinium myrtillus;vacc myrt
Valeriana officinalis;Valeriana officinalis s.lat.;vale offi slat
Valeriana tripteris;Valeriana tripteris;vale trip
Veratrum album;Veratrum album ssp. album;vera albu albu
Verbascum alpinum;Verbascum alpinum;verb alpi
Viola biflora;Viola biflora;viol bifl
BLANK;NA;NA
Briza media;Briza media;briz medi
Carex flacca;Carex flacca ssp. flacca;care flac
Crepis aurea;Crepis aurea ssp. aurea;crep aure aure
Deschampsia cespitosa;Deschampsia cespitosa;desc cesp
Festuca rubra;Festuca rubra s.lat.;fest rubr slat
BLANK;NA;NA
Carex sempervirens;Carex sempervirens ssp. sempervirens;care semp semp
Helictotrichon parlatorei;Helictotrichon parlatorei;heli parl
Sesleria varia;Sesleria caerulea s.str.;sesl caer
BLANK;NA;NA
Anthyllis vulneraria alpestris;Anthyllis vulneraria ssp. alpicola;anth vuln alpi
Pedicularis rostrato-capitata;Pedicularis rostratocapitata ssp. rostratocapitata;pedi rost tata
BLANK;NA;NA
Carex firma;Carex firma;care firm
Dryas octopetala;Dryas octopetala;drya octo
Festuca pumila;Festuca pumila;fest pumi
Silene acaulis;Silene acaulis ssp. longiscapa;sile acau long
Carex atrata s.str.;Carex atrata;care atra
Agrostis alpina;Agrostis alpina s.str.;agro alpi
Androsace chamaejasme;Androsace chamaejasme;andr cham
Arenaria ciliata;Arenaria ciliata;aren cili
Armeria alpina;Armeria alpina;arme alpi
Carex capillaris;Carex capillaris;care capi
Carex parviflora;Carex parviflora;care parv
Cerastium alpinum;Cerastium alpinum s.str.;cera alpi sstr
Chamorchis alpina;Chamorchis alpina;cham alpi
Doronicum glaciale s. str.;Doronicum glaciale ssp. glaciale;doro glac glac
Cetraria islandica;Cetraria islandica ssp. islandica;cetr isla isla
Thamnolia vermicularis;Thamnolia vermicularis var. vermicularis;tham verm verm
Gentiana clusii;Gentiana clusii ssp. clusii;gent clus clus
Gentiana pumila;Gentiana pumila;gent pumi
Hedysarum hedysaroides;Hedysarum hedysaroides ssp. hedysaroides;hedy hedy hedy
Helianthemum alpestre;Helianthemum alpestre;heli alpe
Homogyne discolor;Homogyne discolor;homo disc
Kobresia simpliciuscula;Kobresia simpliciuscula;kobr simp
Ligusticum mutellinoides;Pachypleurum mutellinoides;pach mute
Oxytropis jacquinii;Oxytropis montana s.str.;oxyt mont
Pinguicula alpina;Pinguicula alpina;ping alpi
Polygonum viviparum;Persicaria vivipara;pers vivi
Primula clusiana;Primula clusiana;prim clus
Salix serpyliifolia;Salix serpyllifolia;sali serp
Saxifraga paniculata;Saxifraga paniculata;saxi pani
Saussurea pygmaea;Saussurea pygmaea;saus pygm
Selaginella selaginoides;Selaginella selaginoides;sela sela
BLANK;NA;NA
Antennaria carpatica;Antennaria carpatica;ante carp
Campanuta barbata;Campanula barbata ssp. barbata;camp barb barb
Empetrum hermaphroditum;Empetrum hermaphroditum;empe herm
BLANK;NA;NA
Carex fuliginosa;Carex fuliginosa;care fuli
Euphrasia minima;Euphrasia minima s.str.;euph mini
Huperzia selago;Huperzia selago ssp. selago;hupe sela
Loiseleuria procumbens;Loiseleuria procumbens;lois proc
Dicranum scoparium;Dicranum scoparium;dicr scop
Polytrichum alpinum;Polytrichum alpinum;poly alpi
Primula minima;Primula minima;prim mini
Senecio carniolicus;Senecio carniolicus;sene carn
Vaccinium gaultherioides;Vaccinium gaultherioides;vacc gaul
Vaccinium vitis-idaea;Vaccinium vitis-idaea;vacc viti
Paraleucobryum enerve;Paraleucobryum enerve;para ener
Valeriana celtica;Valeriana celtica ssp. norica;vale celt nori
BLANK;NA;NA
Achillea atrata;Achillea atrata;achi atra
Arabis caerulea;Arabis caerulea;arab caer
Epilobium anagallidifolium;Epilobium anagallidifolium;epil anag
Galium noricum;Galium noricum;gali nori
Gentiana bavarica;Gentiana bavarica s.str.;gent bava
Gnaphalium supinum;Gnaphalium supinum;gnap supi
Hutchinsia alpina;Hornungia alpina ssp. alpina;horn alpi alpi
Potentilla brauneana;Potentilla brauneana;pote brau
Ranunculus alpestris;Ranunculus alpestris s.str.;ranu alpe
Sagina saginoides;Sagina saginoides;sagi sagi ides
Salix herbacea;Salix herbacea;sali herb
Salix retusa;Salix retusa s.str.;sali retu
Saxifraga androsacea;Saxifraga androsacea;saxi andr
Sibbaldia procumbens;Sibbaldia procumbens;sibb proc
BLANK;NA;NA
Alchemilla crinita;Alchemilla crinita;alch crin
Alchemilla fissa;Alchemilla fissa s.str.;alch fiss
Cirsium spinosissimum;Cirsium spinosissimum;cirs spin
Phleum rhaeticum;Phleum rhaeticum;phle rhae
Taraxacum alpinum agg.;Taraxacum sect. Alpina;tara sect alpi
Veronica alpina;Veronica alpina;vero alpi
BLANK;NA;NA
Minuartia gerardii;Minuartia gerardii;minu gera
Poa alpina;Poa alpina;poa alpi
Rhododendron hirsutum;Rhododendron hirsutum;rhod hirs
