Aufnahmenummer;191;188;192;182;23;135;184;1;24;28;136;179;141;185;183;19;178;180;51;143;130;177;202;150;138;140;151;132;131;153;149;152;148;139;121;133;180;134;126;186;181;128;108;129;142
Senecio abrotanifolius;;;;;;;;;;;;;;;;;;;1;1;+;1;;;2;;;;;+;;;;+;1;;+;;;;;;;;
Thesium alpinum;;;+;;;;;+;;;;;;+;;;;;+;1;+;+;+;;;;+;+;;+;;;;;;+;+;;;;;;;;
Hieracium pilosella;+;;;;;;;;;;;;;;;;;;+;+;1;;;+;;;;;;;;;;;;;;;;;;;;;
Linum carthaticum;;;;;+;;;;;;;;;;;;;;1;+;+;;+;;;;;;;;;;;;;;;;;;;;;;
Aster bellidiastrum;+;+;+;;;;+;;;;;;;;;;;;+;;;+;;+;;;+;;;;;;;+;;;+;;;;;;;;
Achillea clavenae;+;+;+;1;1;1;;;+;+;;;;;;;;;+;1;;2;+;1;1;1;1;;;;+;+;;+;;;;;;;;;;;
Sesleria varia;+;1;2;+;1;;+;2;1;;+;;;+;1;;;2;3;3;;1;2;+;2;+;1;;+;;3;+;2;3;1;2;2;;;;;;;+;
Carex ferruginea;;;;;;;;;;;;;;;;;;2;1;;;1;;2;3;3;+;3;+;3;+;1;3;2;;1;2;;;;;;;;
Thymus praecox agg;;1;;;;1;;;;;;;;;;;;;1;+;+;1;+;1;;;+;+;;;1;;;;1;+;2;+;;;;;;+;
Scabiosa lucida;;;;;;;;;;;;;;;;;;;2;3;1;;+;;1;+;+;;+;1;1;+;;+;+;+;3;;;;;;;;
Heliantheiua nuaaulariua agg;;;;+;;;;;;;;;;;;;+;;1;2;1;;1;1;1;2;1;+;;1;+;1;;;+;+;3;+;;;;;;;
Lotus corniculatus;;;;;;;;;;;;;;;;;;1;+;1;+;1;+;+;+;1;1;;+;+;+;+;;;;+;2;!;;;;;+;;
Heracleum austriacum;;;;;;;;;;;;;;;;;;+;+;3;;;;;+;1;+;+;1;;;+;+;;;;+;;;;;;;;
Acinos alpinus;;;;;;;;;;;;;;;;;;+;+;+;+;+;1;+;+;+;+;;;;1;+;;;+;;+;+;;;;;;;
Silene vulgaris;;;;;;;;;;;;;;;;;;;;;;+;;+;;+;+;;1;+;;+;+;;;;+;;;;;;;;
Helleborus niger;;;;;;;;;;;;;;;;;;2;+;;2;;;+;;;;+;1;2;;+;;;1;1;1;;;;;;;;+
Selagineila selaginoides;;;;;;;;;;;;;+;;;;;+;1;;;;;;;+;+;+;1;;+;;+;1;;;;+;;;+;;;;
Caipanula scheuchzeri;;;;;;;;;;+;;;;;;;;+;+;+;1;;+;+;;+;+;+;+;1;+;+;1;+;+;+;+;1;1;1;+;+;1;1;1
Carduus defloratus;+;+;;;+;+;;+;;;;;;;;;;+;+;3;+;2;+;1;1;2;+;+;+;+;+;+;1;1;3;;+;+;;;;;+;;+
Ranunculus montanus;;;;;;;;;;;;;;;;;;+;;1;+;2;;+;+;+;+;;1;1;+;+;1;+;;;+;+;;;+;;+;+;+
Galium anisophyllun;;;;;;+;;;;+;;;+;;;;;+;1;1;1;;1;+;+;;+;2;;+;+;+;1;+;+;1;+;2;;+;;+;;+;1
Poa alpina;;;;;;;;;;;;;+;;;;;;;;1;+;;+;+;1;+;1;+;+;;+;;+;1;1;;1;;;;;+;+;
Alchemilla conjuncta agg;;;+;;;;;;;;+;;;;;;;;+;;3;;;3;;1;1;1;1;;1;1;;;;2;+;1;;;;;1;;
Leontodon hispidus;+;+;;;+;+;;;;;;;;;;;;;+;+;;;;;;1;+;1;;;+;;+;+;;+;+;1;2;;;;;+;
Hieracium villosum;;;;;;;;+;;;;;;;;+;;;;;;+;+;+;+;;+;;;;+;;;;;;;;;+;;;;;
Phyteuna orbiculare;+;;;;;;;;;;;;;;;;;;+;;;;;;;1;+;;;;+;+;;+;+;;;;;;;;;;
Homogyne discolor;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;2;;;;;;;;;;;
Euphrasia picta;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;2;;+;;;;;;;;
Soldanella alpina;;;;;;;;;;;;;;;;;;;;;;;+;;;+;+;;;;;;2;+;;;;;;;;;;;
Polygonum viviparun;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;+;+;+;;;;;;;;;;;
Juncus nonanthos;;;;;;;;;;;;;;;;;;;1;;;1;;;1;;1;;;;+;;1;1;;;;;;;;;;;
Hieracium sylvaticun;;;;;;+;;;;;+;;;;;;;;;;+;;;;;;1;+;+;+;;+;+;;;+;;;;;;+;+;;
Luzula sylvatica;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;1;;;;+;;1;;;;;1;
Luzula multiflora;;;;;;;;;;;;;;;;;;;+;;1;;;;;;;+;;;+;+;;;;+;;2;;3;;;1;+;+
Deschampsia cespitosa;;;;;;;;;;;;;;;;;;;;;+;;;;;;1;2;1;+;;3;;;;;;3;;;2;1;3;2;1
Festuca rubra;;;;;;;;;;;;;;;;;;;;;+;+;;+;;;+;;+;;+;+;+;;;;;;;+;;;+;2;3
Veratrun album;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;+;+;2;1;+;;;;;+;+;1;;+;1;+
Trollius europaeus;;;;;;;;;;;;;;;;;;;1;;;;;;+;;;+;1;;;1;;;+;;;;;+;+;+;;;
Aconitum napellus;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;+;+;+;1;+;;;;;;;;;;+;+
Anthoxanthum odoratun agg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;;;1;;;;;;;;
Adenostyles alliariae;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;+;1;;;;;;;;+;;;;
Calamagrostis varia;;;;;2;;;+;;;;;;;;;;;;;;;;;;;;;;;1;;+;;;;;;;;;;;;
Daphne mezereum;;;;;;;;;;;;;;;;;;;+;;;;;+;;;;;;+;;+;+;;;;;;;;+;;;;
Hypericum maculatum;;;;;;;;;;;;;;;;;;;+;;;;;;;;;+;;1;;2;+;;;;;;;+;+;+;;1;+
Alchemilla vulgaris;;;;;;;;;;;;;;;;;;;1;;+;;;;;;;+;+;1;+;1;1;1;1;;+;;;+;;;+;1;+
Potentilla erecta;;;;;;;;;;;;;;;;;;2;+;1;2;;;;;+;;2;;+;1;;;;+;3;1;2;2;2;+;3;1;1;1
Nardus stricta;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;2;1;+;+;+;+;5;+;1;
Homogyne alpina;;;;;;;;;;;;;;;;;;;;+;+;;;;;;;;+;;;+;;;;;;+;1;2;+;+;;1;
Gentiana pannonica;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;1;+;+;+;+;;;
Vaccinium nyrtillus;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;+;;;+;;+;;1;+;1;+;1;;;
Calluna vulgaris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;
Avenella flexuosa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;3;+;;1;;;
Euphrasia rostkoviana agg;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;+;;;+;;;;;+
Carex pallescens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;+;;;;+;;;
Agrostis tenuis;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;+;+;;;;+;1;;;;;;2;2;;2
Trifolium pratense;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;1;;;;;1;+;1;;;;;;1;+;1
Achillea millefolium agg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;+;2
Trifolium repens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;+;1
Stellaria graminea;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;1
Veronica chamaedrys;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;1
Plantago lanceolata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3
Erigeron polymorphus;;;;;;+;;;;;;;;;;;;;;+;+;;;;;;;;;;+;;;;2;;;;;;;;;;
Erica media;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;+;1;;;;;;;+;;
Hipoocrepis comosa;;;;;;;;;;;;;;;;;;;2;;;;;*;;;;;;+;+;;;;3;;;;;;;;;;
Oitrichum spec.;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Syntrichia spec.;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
