taxon;matched.taxon;abbr
Hypogymnia physodes;Hypogymnia physodes;hypo phys
Parmelia saxatilis;Parmelia saxatilis;parm saxa
Asplenium ruta-muraria;Asplenium ruta-muraria;aspl ruta
Cladonia foliacea;Cladonia convoluta;clad conv
Cladonia rangiformis;Cladonia rangiformis;clad rang rmis
Sedum album;Sedum album;sedu albu
Seseli osseum;Seseli osseum;sese osse
Alyssum montanum;Alyssum montanum s.lat.;alys mont slat
Asplenium adulterinum;Asplenium adulterinum;aspl adul
Seseli hippomarathrum;Seseli hippomarathrum;sese hipp
Asplenium trichomanes;Asplenium trichomanes s.lat.;aspl tric slat
Ceratodon purpureus;Ceratodon purpureus;cera purp
Cladonia macilenta;Cladonia macilenta s.lat.;clad maci slat
Cladonia pyxidata;Cladonia pyxidata;clad pyxi
Cladonia rangiferina;Cladonia rangiferina;clad rang
Dryopteris filix-mas;Dryopteris filix-mas s.str.;dryo fili
Geranium robertianum;Geranium robertianum s.str.;gera robe
Polytrichum formosum;Polytrichum formosum;poly form
Cladonia coniocraea;Cladonia coniocraea;clad coni
Cladonia squamosa;Cladonia squamosa var. squamosa;clad squa squa
Pohlia nutans;Pohlia nutans s.lat.;pohl nuta slat
Racomitrium canescens;Racomitrium canescens s.lat.;raco cane slat
Dryopteris carthusiana;Dryopteris carthusiana s.str.;dryo cart
Elymus caninus;Elymus caninus;elym cani
Epilobium angustifolium;Epilobium angustifolium;epil angu
Impatiens noli-tangere;Impatiens noli-tangere;impa noli
Oxalis acetosella;Oxalis acetosella;oxal acet
Paraleucobryum longifolium;Paraleucobryum longifolium;para long
Ptilidium ciliare;Ptilidium ciliare;ptil cili
Sambucus racemosa;Sambucus racemosa;samb race
Sambucus racemosa;Sambucus racemosa;samb race
Plagiothecium curvifolium;Plagiothecium laetum var. secundum;plag laet secu
Calluna vulgaris;Calluna vulgaris;call vulg
Solidago virgaurea;Solidago virgaurea ssp. virgaurea;soli virg virg
Alnus glutinosa;Alnus glutinosa;alnu glut
Calystegia sepium;Calystegia sepium s.str.;caly sepi
Festuca gigantea;Festuca gigantea;fest giga
Impatiens glandulifera;Impatiens glandulifera;impa glan
Lycopus europaeus;Lycopus europaeus s.lat.;lyco euro slat
Mentha longifolia;Mentha longifolia;ment long
Phalaris arundinacea;Phalaris arundinacea;phal arun
Rumex obtusifolius;Rumex obtusifolius s.lat.;rume obtu slat
Rumex sanguineus;Rumex sanguineus;rume sang
Symphytum officinale;Symphytum officinale s.str.;symp offi
Tussilago farfara;Tussilago farfara;tuss farf
Urtica dioica;Urtica dioica s.lat.;urti dioc slat
Bidens species;Bidens sp.;bide spec ies
Filipendula ulmaria;Filipendula ulmaria;fili ulma
Ranunculus repens;Ranunculus repens;ranu repe
Salix fragilis;Salix fragilis (s.str.);sali frag
Stellaria nemorum s.str.;Stellaria nemorum s.str.;stel nemo
Carduus crispus;Carduus crispus ssp. crispus;card cris cris
Lysimachia vulgaris;Lysimachia vulgaris;lysi vulg
Poa trivialis;Poa trivialis;poa triv
Solanum dulcamara;Solanum dulcamara;sola dulc
Aegopodium podagraria;Aegopodium podagraria;aego poda
Angelica sylvestris;Angelica sylvestris s.lat.;ange sylv slat
Carex buekii;Carex buekii;care buek
Lythrum salicaria;Lythrum salicaria;lyth sali
Rumex aquaticus;Rumex aquaticus;rume aqua
Scrophularia umbrosa;Scrophularia umbrosa s.lat.;scro umbr slat
Symphytum tuberosum auct. medioeur.;Symphytum tuberosum s.lat.;symp tube slat
Alliaria petiolata;Alliaria petiolata;alli peti
Alopecurus pratensis;Alopecurus pratensis;alop prat
Cirsium arvense;Cirsium arvense;cirs arve
Lamium album;Lamium album;lami albu
Lamium maculatum;Lamium maculatum;lami macu
Myosoton aquaticum;Stellaria aquatica;stel aqua
Omphalodes scorpioides;Omphalodes scorpioides;omph scor
Scrophularia nodosa;Scrophularia nodosa;scro nodo
Acorus calamus;Acorus calamus;acor cala
Cirsium palustre;Cirsium palustre;cirs palu
Cruciata laevipes;Cruciata laevipes;cruc laev
Epilobium hirsutum;Epilobium hirsutum;epil hirs
Glyceria maxima;Glyceria maxima;glyc maxi
Rorippa sylvestris;Rorippa sylvestris s.str.;rori sylv
Artemisia vulgaris;Artemisia vulgaris;arte vulg
Vicia cracca;Vicia cracca s.str.;vici crac
Caltha palustris;Caltha palustris;calt palu
Carex acuta;Carex acuta;care acut a
Carex cespitosa;Carex cespitosa;care cesp
Carex vesicaria;Carex vesicaria;care vesi
Deschampsia cespitosa;Deschampsia cespitosa;desc cesp
Galeopsis species;Galeopsis sp.;gale psis spec ies
Galium palustre;Galium palustre s.lat.;gali palu slat
Lathyrus pratensis;Lathyrus pratensis ssp. pratensis;lath prat prat
Poa palustris;Poa palustris;poa palu
Sanguisorba officinalis;Sanguisorba officinalis;sang offi
Scirpus sylvaticus;Scirpus sylvaticus;scir sylv
Avenula pubescens;Homalotrichon pubescens s.lat.;homa pube slat
Brachythecium rutabulum;Brachythecium rutabulum;brac ruta
Centaurea jacea;Centaurea jacea s.lat.;cent jace slat
Cerastium holosteoides;Cerastium holosteoides;cera holo
Cirsium canum;Cirsium canum;cirs canu
Equisetum palustre;Equisetum palustre;equi palu
Festuca pratensis agg.;Festuca pratensis agg.;fest prat aggr
Galium album s.lat.;Galium album s.lat.;gali albu slat
Galium uliginosum;Galium uliginosum;gali ulig
Holcus lanatus;Holcus lanatus;holc lana
Lychnis flos-cuculi;Lychnis flos-cuculi;lych flos cucu
Ranunculus acris;Ranunculus acris ssp. acris;ranu acri acri
Stellaria graminea;Stellaria graminea;stel gram
Carex acutiformis;Carex acutiformis;care acut rmis
Geranium pratense;Geranium pratense;gera prat
Phragmites australis;Phragmites australis ssp. australis;phra aust
Anthriscus sylvestris;Anthriscus sylvestris s.str.;anth sylv
Barbarea vulgaris;Barbarea vulgaris s.lat.;barb vulg slat
Campanula patula;Campanula patula;camp patu patu
Capsella bursa-pastoris;Capsella bursa-pastoris s.str.;caps burs
Climacium dendroides;Climacium dendroides;clim dend
Dactylis glomerata;Dactylis glomerata ssp. glomerata;dact glom glom
Elymus repens;Elytrigia repens;elyt repe
Eurhynchium hians;Oxyrrhynchium hians var. hians;oxyr hian hian
Festuca rubra;Festuca rubra;fest rubr
Glechoma hederacea;Glechoma hederacea;glec hede
Heracleum sphondylium;Heracleum sphondylium ssp. sphondylium;hera spho spho
Lysimachia nummularia;Lysimachia nummularia;lysi numm
Myosotis arvensis;Myosotis arvensis ssp. arvensis;myos arve arve
Pimpinella major;Pimpinella major s.lat.;pimp majo slat
Poa pratensis;Poa pratensis;poa prat
Rumex crispus;Rumex crispus;rume cris
Trisetum flavescens;Trisetum flavescens ssp. flavescens;tris flav flav
Veronica arvensis;Veronica arvensis;vero arve
Veronica chamaedrys;Veronica chamaedrys s.lat.;vero cham slat
Cardamine pratensis;Cardamine pratensis s.str.;card prat
Knautia arvensis;Knautia arvensis s.lat.;knau arve slat
Pastinaca sativa;Pastinaca sativa ssp. sativa;past sati sati
Plantago major;Plantago major s.lat.;plan majo slat
Tanacetum corymbosum;Tanacetum corymbosum s.lat.;tana cory slat
Thlaspi caerulescens;Noccaea caerulescens ssp. caerulescens;nocc caer caer
Trifolium pratense;Trifolium pratense ssp. pratense;trif prat prat
Arctium lappa;Arctium lappa;arct lapp
Plantago lanceolata;Plantago lanceolata;plan lanc
Potentilla anserina;Potentilla anserina;pote anse anse
Trifolium repens;Trifolium repens ssp. repens;trif repe repe
Vicia sepium;Vicia sepium;vici sepi
Anthoxanthum odoratum;Anthoxanthum odoratum s.str.;anth odor
Crepis biennis;Crepis biennis;crep bien
Equisetum arvense;Equisetum arvense;equi arve
Holcus mollis;Holcus mollis;holc moll
Leucanthemum vulgare agg.;Leucanthemum vulgare agg.;leuc vulg aggr
Ranunculus auricomus;Ranunculus auricomus agg.;ranu auri aggr
Carum carvi;Carum carvi;caru carv
Leontodon hispidus;Leontodon hispidus s.lat.;leon hisp slat
Lotus corniculatus;Lotus corniculatus s.str.;lotu corn
Cirsium vulgare;Cirsium vulgare;cirs vulg
Potentilla reptans;Potentilla reptans;pote rept
Ranunculus ficaria ssp. bulbilifer;Ficaria verna ssp. verna;fica vern vern
Carex hirta;Carex hirta;care hirt
Daucus carota;Daucus carota ssp. carota;dauc caro caro
Tanacetum vulgare;Tanacetum vulgare;tana vulg
Medicago falcata;Medicago falcata;medi falc
Salvia pratensis;Salvia pratensis ssp. pratensis;salv prat prat
Securigera varia;Securigera varia;secu vari
Ornithogalum kochii;Ornithogalum kochii;orni koch
Ajuga reptans;Ajuga reptans;ajug rept
Bromus hordeaceus;Bromus hordeaceus s.lat.;brom hord slat
Cerastium arvense;Cerastium arvense s.lat.;cera arve slat
Falcaria vulgaris;Falcaria vulgaris;falc vulg
Plantago media;Plantago media;plan medi
Rhinanthus minor;Rhinanthus minor;rhin mino
Rumex thyrsiflorus;Rumex thyrsiflorus;rume thyr
Saponaria officinalis;Saponaria officinalis;sapo offi
Hieracium pilosella;Hieracium pilosella;hier pilo ella
Parmelia conspersa;Xanthoparmelia conspersa;xant cons
Polytrichum piliferum;Polytrichum piliferum;poly pili
Scleranthus perennis;Scleranthus perennis;scle pere
Cladonia arbuscula;Cladonia arbuscula s.lat.;clad arbu slat
Veronica verna;Veronica verna s.str.;vero vern
Linaria genistifolia;Linaria genistifolia;lina geni
Parmelia somloensis;Xanthoparmelia stenophylla;xant sten
Veronica dillenii;Veronica dillenii;vero dill
Arabidopsis thaliana;Arabidopsis thaliana;arab thal
Myosotis stricta;Myosotis stricta;myos stri
Sedum sexangulare;Sedum sexangulare;sedu sexa
Verbascum chaixii ssp. austriacum;Verbascum chaixii ssp. austriacum;verb chai aust
Erophila verna agg.;Draba verna agg.;drab vern aggr
Cladonia fimbriata;Cladonia fimbriata;clad fimb
Cladonia uncialis;Cladonia uncialis s.lat.;clad unci slat
Coelocaulon aculeatum;Cetraria aculeata;cetr acul
Gagea bohemica;Gagea bohemica s.lat.;gage bohe slat
Jasione montana;Jasione montana ssp. montana;jasi mont mont
Koeleria macrantha;Koeleria macrantha;koel macr
Abietinella abietina;Abietinella abietina s.lat.;abie abie slat
Androsace elongata;Androsace elongata;andr elon
Bothriochloa ischaemum;Bothriochloa ischaemum;both isch
Bryum argenteum;Bryum argenteum;bryu arge
Carex praecox;Carex praecox;care prae
Echium vulgare;Echium vulgare ssp. vulgare;echi vulg
Festuca valesiaca;Festuca valesiaca;fest vale
Holosteum umbellatum;Holosteum umbellatum ssp. umbellatum;holo umbe
Poa angustifolia;Poa angustifolia;poa angu
Rhytidium rugosum;Rhytidium rugosum;rhyt rugo
Sedum acre;Sedum acre;sedu acre
Setaria viridis;Setaria viridis s.lat.;seta viri slat
Thlaspi perfoliatum;Microthlaspi perfoliatum;micr perf
Tortula ruralis;Syntrichia calcicola;synt calc
Veronica hederifolia agg.;Veronica hederifolia agg.;vero hede aggr
Acinos arvensis;Clinopodium acinos;clin acin
Alyssum alyssoides;Alyssum alyssoides;alys alys
Arenaria serpyllifolia agg.;Arenaria serpyllifolia agg.;aren sep aggr
Centaurea stoebe ssp. stoebe;Centaurea stoebe ssp. stoebe;cent stoe stoe
Cerastium pumilum agg.;Cerastium pumilum agg.;cera pumi aggr
Cladonia symphycarpa;Cladonia symphycarpa;clad symp
Grimmia pulvinata;Grimmia pulvinata;grim pulv
Homalothecium sericeum;Homalothecium sericeum;homa seri
Jovibarba globifera;Jovibarba globifera s.lat.;jovi glob slat
Medicago minima;Medicago minima;medi mini
Physcia caesia;Physcia caesia s.lat.;phys caes slat
Poa bulbosa;Poa bulbosa s.str.;poa bulb
Polycnemum arvense;Polycnemum arvense;poly arve
Saxifraga tridactylites;Saxifraga tridactylites;saxi trid
Schistidium brunnescens;Schistidium brunnescens s.lat;schi brun slat
Trifolium arvense;Trifolium arvense;trif arve
Cladonia furcata;Cladonia furcata ssp. furcata;clad furc furc
Erodium cicutarium;Erodium cicutarium s.str.;erod cicu
Peltigera rufescens;Peltigera rufescens;pelt rufe
Physcia dubia;Physcia dubia s.lat.;phys dubi slat
Veronica triphyllos;Veronica triphyllos;vero trip
Melica ciliata;Melica ciliata s.str.;meli cili
Orobanche alba;Orobanche alba;orob alba
Tortella inclinata;Tortella inclinata;tort incl
Tortella tortuosa;Tortella tortuosa;tort tort
Tortula intermedia;Syntrichia montana;synt mont
Cladonia subulata;Cladonia subulata;clad subu
Cleistogenes serotina;Cleistogenes serotina;clei sero
Galium glaucum;Galium glaucum s.str.;gali glau
Thymus odoratissimus;Thymus odoratissimus;thym odor
Minuartia setacea;Minuartia setacea;minu seta
Physcia vainioi;Physcia vainioi;phys vain
Scabiosa canescens;Scabiosa canescens;scab cane
Schistidium apocarpum;Schistidium apocarpum;schi apoc
Verbascum lychnitis;Verbascum lychnitis;verb lych
Valerianella locusta;Valerianella locusta;vale locu
Vicia hirsuta;Vicia hirsuta;vici hirs
Sanguisorba minor;Sanguisorba minor s.lat.;sang mino slat
Didymodon fallax;Didymodon fallax;didy fall
Pleurochaete squarrosa;Pleurochaete squarrosa;pleu squa
Medicago monspeliaca;Medicago monspeliaca;medi mons
Medicago prostrata;Medicago prostrata;medi pros
Hedwigia ciliata;Hedwigia ciliata;hedw cili
Saxifraga paniculata;Saxifraga paniculata;saxi pani
Festuca rupicola;Festuca rupicola;fest rupi cola
Pseudolysimachion spicatum;Veronica spicata s.str.;vero spic
Ditrichum flexicaule;Ditrichum flexicaule;ditr flex
Chondrilla juncea;Chondrilla juncea;chon junc
Encalypta vulgaris;Encalypta vulgaris;enca vulg
Euphorbia seguieriana;Euphorbia seguieriana;euph segu
Festuca pseudovina;Festuca pseudovina;fest pseu vina
Hieracium echioides;Hieracium echioides;hier echi
Picris hieracioides;Picris hieracioides s.lat.;picr hier slat
Veronica prostrata;Veronica prostrata s.str.;vero pros
Armeria elongata;Armeria elongata;arme elon
Artemisia campestris;Artemisia campestris;arte camp
Centaurea scabiosa;Centaurea scabiosa s.lat.;cent scab slat
Cladonia verticillata;Cladonia cervicornis ssp. verticillata;clad cerv vert
Convolvulus arvensis;Convolvulus arvensis;conv arve
Eryngium campestre;Eryngium campestre;eryn camp
Scorzonera austriaca;Scorzonera austriaca;scor aust
Stipa capillata;Stipa capillata;stip capi
Campanula rotundifolia agg.;Campanula rotundifolia agg.;camp rotu aggr
Elymus hispidus;Elymus hispidus s.lat.;elym hisp slat
Notholaena marantae;Paraceterach marantae;noth mara
Phleum phleoides;Phleum phleoides;phle phle
Stipa dasyphylla;Stipa dasyphylla;stip dasi
Aster linosyris;Galatella linosyris;gala lino
Cetraria islandica;Cetraria islandica ssp. islandica;cetr isla isla
Trifolium campestre;Trifolium campestre;trif camp
Dorycnium pentaphyllum agg.;Dorycnium pentaphyllum agg.;dory pent aggr
Silene otites agg.;Silene otites s.lat.;sile otit slat
Taraxacum sect. Erythrosperma;Taraxacum sect. Erythrosperma;tara sect eryt
Weissia controversa;Weissia controversa;weis cont
Euphrasia stricta;Euphrasia stricta s.str.;euph stri orob
Carex supina;Carex supina;care supi
Dianthus moravicus;Dianthus moravicus;dian mora
Veronica praecox;Veronica praecox;vero prae
Cladonia mitis;Cladonia arbuscula ssp. mitis;clad arbu miti
Cardaminopsis petraea;Arabidopsis petraea;arab petr
Ajuga genevensis;Ajuga genevensis;ajug gene
Caloplaca species;Caloplaca sp.;calo spec ies
Pulsatilla pratensis;Pulsatilla pratensis s.lat.;puls prat slat
Viola arvensis;Viola arvensis s.lat.;viol arve slat
Stipa pennata;Stipa pennata s.str.;stip penn
Scabiosa ochroleuca;Scabiosa ochroleuca;scab ochr
Oxymitria incrassata;Oxymitria incrassata;oxym incr
Riccia ciliifera;Riccia ciliifera;ricc cili
Helianthemum ovatum;Helianthemum nummularium ssp. obscurum;heli numm obsc
Melica transsilvanica;Melica transsilvanica;meli tran
Trifolium alpestre;Trifolium alpestre;trif alpe
Veronica vindobonensis;Veronica vindobonensis;vero vind
Aurinia saxatilis;Aurinia saxatilis;auri saxa
Cystopteris fragilis;Cystopteris fragilis s.str.;cyst frag
Physcia species;Physcia sp.;phys spec ies
Peltigera canina;Peltigera canina;pelt cani
Viola tricolor;Viola tricolor s.lat.;viol tric slat
Agrimonia eupatoria;Agrimonia eupatoria;agri eupa eupa
Anthyllis vulneraria;Anthyllis vulneraria s.lat.;anth vuln slat
Campylium chrysophyllum;Campylium chrysophyllum;camp chry
Encalypta streptocarpa;Encalypta streptocarpa;enca stre
Hieracium umbellatum;Hieracium umbellatum;hier umbe
Homalothecium lutescens;Homalothecium lutescens;homa lute
Polygala comosa;Polygala comosa;poly como
Viola reichenbachiana;Viola reichenbachiana;viol reic
Barbilophozia barbata;Barbilophozia barbata;barb barb
Centaurea triumfettii;Cyanus triumfettii;cyan triu
Cotoneaster integerrimus;Cotoneaster integerrimus;coto inte
Rhytidiadelphus loreus;Rhytidiadelphus loreus;rhyt lore
Squamarina cartilaginea;Squamarina cartilaginea;squa cart
Bartramia ithyphylla;Bartramia ithyphylla;bart ithy
Veronica chamaedrys agg.;Veronica chamaedrys agg.;vero cham aggr
Arabis pauciflora;Fourraea alpina;four alpi
Euphorbia polychroma;Euphorbia polychroma;euph poly
Genista tinctoria;Genista tinctoria;geni tinc
Geranium sanguineum;Geranium sanguineum;gera sang
Myosotis stenophylla;Myosotis stenophylla;myos sten
Primula veris;Primula veris s.lat.;prim veri slat
Hieracium cymosum;Hieracium cymosum;hier cymo
Senecio jacobaea;Senecio jacobaea;sene jaco
Pulsatilla grandis;Pulsatilla grandis;puls gran
Bartramia pomiformis;Bartramia pomiformis;para pomi
Distichium capillaceum;Distichium capillaceum;dist capi
Cytisus nigricans;Cytisus nigricans ssp. nigricans;cyti nigr nigr
Aconitum anthora;Aconitum anthora;acon anth
Cytisus procumbens;Cytisus procumbens;cyti proc
Digitalis grandiflora;Digitalis grandiflora;digi gran
Fragaria viridis;Fragaria viridis ssp. viridis;frag viri viri
Preissia quadrata;Preissia quadrata;prei quad
Carex digitata;Carex digitata;care digi
Fissidens dubius;Fissidens dubius;fiss dubi
Origanum vulgare;Origanum vulgare ssp. vulgare;orig vulg
Plagiochila porelloides;Plagiochila porelloides;plag pore
Lilium martagon;Lilium martagon;lili mart
Potentilla heptaphylla;Potentilla heptaphylla;pote hept
Silene nutans s.lat.;Silene nutans s.lat.;sile nuta slat
Stipa pulcherrima;Stipa pulcherrima ssp. pulcherima;stip pulc pulc
Verbascum phoeniceum;Verbascum phoeniceum;verb phoe
Carex caryophyllea;Carex caryophyllea;care cary
Cladonia phyllophora;Cladonia phyllophora;clad phyl
Cerastium pumilum;Cerastium pumilum s.str.;cera pumi
Muscari tenuiflorum;Muscari tenuiflorum;musc tenu
Aster amellus;Aster amellus;aste amel
Camelina microcarpa;Camelina microcarpa s.lat.;came micr slat
Campanula glomerata;Campanula glomerata;camp glom
Festuca firmula;Festuca guestfalica;fest gues
Inula oculus-christi;Inula oculus-christi;inul ocul chri
Potentilla tabernaemontani;Potentilla neumanniana;pote neum
Orobanche minor;Orobanche minor;orob mino
Fallopia convolvulus;Fallopia convolvulus;fall conv
Caucalis platycarpos;Caucalis platycarpos s.lat.;cauc plat slat
Scorzonera purpurea;Scorzonera purpurea;scor purp
Tragopogon dubius;Tragopogon dubius;trag dubi
Prunus spinosa;Prunus spinosa;prun spin
Cerastium brachypetalum;Cerastium brachypetalum ssp. brachypetalum;cera brac brac
Papaver dubium ssp. confine;Papaver dubium ssp. confine;papa dubi conf
Bromus tectorum;Bromus tectorum;brom tect
Lactuca serriola;Lactuca serriola;lact serr
Lepidium campestre;Lepidium campestre;lepi camp
Polycnemum majus;Polycnemum majus;poly maju
Carlina acaulis;Carlina acaulis s.lat.;carl acau slat
Medicago lupulina;Medicago lupulina;medi lupu
Agrostis capillaris;Agrostis capillaris;agro capi
Allium oleraceum;Allium oleraceum;alli oler
Brachypodium pinnatum;Brachypodium pinnatum s.str.;brac pinn
Cerastium glutinosum;Cerastium glutinosum;cera glut
Clinopodium vulgare;Clinopodium vulgare ssp. vulgare;clin vulg vulg
Dactylis polygama;Dactylis polygama;dact poly
Parmelia loxodes;Parmelia loxodes;parm loxo
Potentilla recta;Potentilla recta s.str.;pote rect
Quercus petraea;Quercus petraea s.lat.;quer petr
Prunus fruticosa;Prunus fruticosa;prun frut
Dictamnus albus;Dictamnus albus;dict albu
Muscari comosum;Muscari comosum;musc como
Myosotis ramosissima;Myosotis ramosissima ssp. ramosissima;myos ramo ramo
Prunus x eminens (P. cerasus x fruticosa);Prunus × eminens;prun ×emi
Bromus sterilis;Bromus sterilis;brom ster
Chelidonium majus;Chelidonium majus;chel maju
Galeopsis tetrahit;Galeopsis tetrahit s.str.;gale tetr
Geum urbanum;Geum urbanum;geum urba
Ligustrum vulgare;Ligustrum vulgare;ligu vulg
Prunus spinosa;Prunus spinosa;prun spin
Rosa canina s.lat.;Rosa canina s.lat.;rosa cani slat
Sambucus nigra;Sambucus nigra;samb nigr
Acer campestre;Acer campestre;acer camp
Carex brizoides;Carex brizoides;care briz
Euonymus europaeus;Euonymus europaeus;euon euro
Fraxinus excelsior;Fraxinus excelsior;frax exce
Viola odorata;Viola odorata;viol odor
