plot;date;observer;location;longitude;latitude;accuracy;plsx;plsy;cov;mcov;hcov;scov;tl2cov;tl1cov;hhl1;hhl2;hsl;htl2;htl1;makro.relief;meso.relief;hydrology;expo;slope;ffhcode;ffhcode.additional;biotope.type;biotope.type.additional;association;mixed.community;syntaxon.additional;comment
1-W-Ma;2011-05-20;Yvonne Schneemann;Matzendorf;14.936551E;48.107624N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;;9;1;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
2-W-Ma;2011-05-20;Yvonne Schneemann;Matzendorf;14.936845E;48.106711N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;;9;1;;;Intensivwiese der Tieflagen;;Lolietum multiflorae Dietl et Lehmann 1975;;;
8-Wi-D;2011-05-22;Yvonne Schneemann;Doislau;14.937153E;48.103764N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;7;9;0;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
14-Wi-D;2011-05-22;Yvonne Schneemann;Doislau;14.937453E;48.103103N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;0;6510;;Intensivwiese der Tieflagen;;Lolietum multiflorae Dietl et Lehmann 1975;;;
48-D-W;2011-06-04;Yvonne Schneemann;Doislau;14.938005E;48.102048N;20;11;11;0;0;0;0;0;0;0;0;0;0;0;1;1;3-4?;9;1;;;Ahorn-Eschenauwald;;Carici pendulae-Aceretum pseudoplatani;;;
13-Wi-D;2011-05-22;Yvonne Schneemann;Doislau;14.938655E;48.102820N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;0;;;Intensivwiese der Tieflagen;;Lolietum multiflorae Dietl et Lehmann 1975;;;
50-M-W;2011-06-04;Yvonne Schneemann;Matzendorf;14.938789E;48.104819N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;;;Ahorn-Eschenauwald;Weidenpioniergebüsch;Carici pendulae-Aceretum pseudoplatani;2;Salicetea purpureae-Gesellschaft;
49-D-G;2011-06-04;Yvonne Schneemann;Doislau;14.938850E;48.102571N;20;12;12;0;0;0;0;0;0;0;0;0;0;0;1;1;3-4?;9;1;91;;Weidenauwald;;Salicion albae Soó 1951;;;
37-Wi-D;2011-05-30;Yvonne Schneemann;Doislau;14.938922E;48.102401N;20;20;20;0;0;0;0;0;0;0;0;0;0;0;1;3;3;9;1;6510;;Frische artenreiche Fettwiese der Tieflagen;Ruderalbestände;Pastinaco-Arrhenatheretum Passarge 1964;;;
79-G-D;2011-06-11;Yvonne Schneemann;Doislau;14.938989E;48.102914N;20;20;20;0;0;0;0;0;0;0;0;0;0;0;1;1;5;7;1;91;;Mandelweiden-Korbweidengebüsch;;Salicetum purpureae Wendelberger-Zelinka 1952;;;
88-W-F;2011-06-12;Yvonne Schneemann;Ferschnitz;14.967123E;48.106302N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;6;9;1;91;;Weidenauwald;Großröhricht an Fließgewässer über Feinsubstrat;Salicion albae Soó 1951;2;Rorippo-Phalaridetum Kopecky' 1961;
38-F-G;2011-06-03;Yvonne Schneemann;Ferschnitz;14.967744E;48.106192N;20;15;15;0;0;0;0;0;0;0;0;0;0;0;1;1;8;9;1;91;;Weidenauwald;Ruderalflur frischer Standorte mit geschlossener Vegetation, Neophytenflur;Salicion albae Soó 1951;3;Tanaceto-Arrhenatheretum Fischer ex Ellmauer hoc loco, Solidago giganthea-Gesellschaft;
39-F-W;2011-06-03;Yvonne Schneemann;Ferschnitz;14.967878E;48.106680N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;2;9;1;91;;Eichen-Ulmen-Eschen-Auwald;;Querco-Ulmetum Issler 1926;;;
61-V-F;2011-06-07;Yvonne Schneemann;Ferschnitz;14.968111E;48.105495N;20;14;14;0;0;0;0;0;0;0;0;0;0;0;1;1;4;9;1;;;Brennnesselflur;Neophytenfluren;Urtica dioica Gesellschaft;3;Impatiens glandulifera-Gesellschaft, Fallopia japonica Gesellschaft;
62-G-F;2011-06-07;Yvonne Schneemann;Ferschnitz;14.968263E;48.105344N;20;14;14;0;0;0;0;0;0;0;0;0;0;0;1;1;5;1;1;3240;;Weidenpioniergebüsch;Großröhricht an Fließgewässer über Feinsubstrat, Neophytenflur;Salicetum purpureae Wendelberger-Zelinka 1952;4;Rorippo-Phalaridetum Kopecky' 1961, Impatiens glandulifera-Gesellschaft, Fallopia japonica Gesellschaft;
70-W-F;2011-06-08;Yvonne Schneemann;Ferschnitz;14.968297E;48.106577N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;91F0;;Eichen-Ulmen-Eschen-Auwald;;Querco-Ulmetum Issler 1926;;;
63-G-F;2011-06-07;Yvonne Schneemann;Ferschnitz;14.968915E;48.105550N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;4;6;1;3;91F0;;Ahorn-Eschenauwald;Weidenpioniergebüsch, Neophytenflur;Carici pendulae-Aceretum pseudoplatani;4;Salicetum purpureae Wendelberger-Zelinka 1952, Cornus sanguinea-(Prunetalia)-Gesellschaft, Solidago gigantea-Gesellschaft;
74-G-F;2011-06-10;Yvonne Schneemann;Ferschnitz;14.969030E;48.107420N;20;12;12;0;0;0;0;0;0;0;0;0;0;0;1;2;4;2;2;91;3240;Weidenauwald;Großröhricht an Fließgewässer über Feinsubstrat, naturferner Teich und Tümpel;Salicion albae Soó 1951;4;Phalaridetum arundinaceae Libbert 1931, Aegopodium podagraria-(Aegopodion)-Gesellschaft, Reynoutria japonica- Gesellschaften;
40-F-W;2011-06-03;Yvonne Schneemann;Ferschnitz;14.969636E;48.106746N;20;21;21;0;0;0;0;0;0;0;0;0;0;0;1;1;2;9;1;;;Fichtenanpflanzung;Neophytenflur;unclassified;;;
72-W-F;2011-06-10;Yvonne Schneemann;Ferschnitz;14.969983E;48.107334N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;91F0;;Eichen-Ulmen-Eschen-Auwald;;Querco-Ulmetum Issler 1926;;;
71-W-F;2011-06-08;Yvonne Schneemann;Ferschnitz;14.971527E;48.107317N;20;17;17;0;0;0;0;0;0;0;0;0;0;0;1;4;8;9;3;;;Strauchmantel frischer Standorte;;Cornus sanguinea Gesellschaft;;;
75-W-F;2011-06-10;Yvonne Schneemann;Ferschnitz;14.972110E;48.109980N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;;;Eschenanpflanzung;;unclassified;;;
3-W-Fe;2011-05-20;Yvonne Schneemann;Ferschnitz;14.972345E;48.106355N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
22-W-F;2011-05-23;Yvonne Schneemann;Ferschnitz;14.972690E;48.107034N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;3;3;1;3;91F0;;Eichen-Ulmen-Eschen-Auwald;Ahorn-Eschenauwald, Strauchmantel trocken-warmer Standortefrischer Standorte;Querco-Ulmetum Issler 1926;4;Carici pendulae-Aceretum pseudoplatani, Pruno-Ligustretum, Solidago gigantea-Gesellschaft;
41-F-Wi;2011-06-03;Yvonne Schneemann;Ferschnitz;14.973130E;48.108050N;20;16;16;0;0;0;0;0;0;0;0;0;0;0;1;3;10;9;2;;;Altarm?;Brennesselflur;Urtica dioica Gesellschaft;2;Junco-Molinietum Preising in R. Tx. et Preising ex Klapp 1954;
67-G-F;2011-06-08;Yvonne Schneemann;Ferschnitz;14.973396E;48.108265N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;;7;9;1;;;Hollundergebüsch;Neophytenflur;Sambucus nigra- Gesellschaft;2;Impatiens glandulifera-Gesellschaft;meso.relief: Senke
76-Wi-F;2011-06-10;Yvonne Schneemann;Ferschnitz;14.973841E;48.113766N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
69-W-M;2011-06-08;Yvonne Schneemann;Ferschnitz;14.973980E;48.110660N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;91F0;;Eichen-Ulmen-Eschen-Auwald;Fichtenanpflanzung;Querco-Ulmetum Issler 1926;;;
42-F-W;2011-06-03;Yvonne Schneemann;Ferschnitz;14.974173E;48.108814N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;;;Laubbaumfeldgehölz aus standorttypischen Schlussbaumarten;;Carici pendulae-Aceretum pseudoplatani;;;
43-F-W;2011-06-03;Yvonne Schneemann;Ferschnitz;14.974999E;48.109094N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;;;Hybridpappelanpflanzung;;unclassified;;;
6-Wi-Fe;2011-05-20;Yvonne Schneemann;Ferschnitz;14.975116E;48.110264N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;0;6510;;Grünlandbrache frischer nährstoffeicher Standorte der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
5-Wi-Fe;2011-05-20;Yvonne Schneemann;Ferschnitz;14.975185E;48.111200N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;;9;0;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
64-W-F;2011-06-08;Yvonne Schneemann;Ferschnitz;14.975390E;48.109290N;20;21;21;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;;;Laubbaumfeldgehölz aus standorttypischen Schlussbaumarten;;Carici pendulae-Aceretum pseudoplatani;;;
90-G-F;2011-06-12;Yvonne Schneemann;Ferschnitz;14.975609E;48.107833N;20;20;20;0;0;0;0;0;0;0;0;0;0;0;1;1;2;9;1;6210;;Laubbaumfeldgehölz aus standortstypischen Schlußbaumarten;Kontinentaler basenreicher Mäh-Halbtrockenrasen;Carici pendulae-Aceretum pseudoplatani;2;Onobrychido viciifoliae-Brometum T. Müller 1966;
4-Wi-Fe;2011-05-20;Yvonne Schneemann;Ferschnitz;14.975707E;48.108194N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;7;9;1;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
22b-G-F;2011-05-23;Yvonne Schneemann;Ferschnitz;14.975728E;48.108428N;20;17;17;0;0;0;0;0;0;0;0;0;0;0;1;2;4;9;3;;;edellaubholzdominierter Ufergehölzstreifen;;Carici pendulae-Aceretum pseudoplatani;;;
68-W-M;2011-06-08;Yvonne Schneemann;Ferschnitz;14.975790E;48.110250N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;1;91F0;;Eichen-Ulmen-Eschen-Auwald;;Querco-Ulmetum Issler 1926;;;
87a-G-F;2011-06-12;Yvonne Schneemann;Ferschnitz;14.976640E;48.111532N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;8;9;1;91;6240;Weidenauwald;Kontinentaler basenreicher Mäh-Halbtrockenrasen;Salicion albae Soó 1951;2;Onobrychido viciifoliae-Brometum T. Müller 1966;
73-TR-F;2011-06-10;Yvonne Schneemann;Ferschnitz;14.976748E;48.109987N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;;;Nährstoffarmer trocken-warmer Waldsaum über Karbonat;Strauchmantel trocken-warmer Standorte;Trifolion medii T. Müller 1962;;;
77a-G-F;2011-06-10;Yvonne Schneemann;Ferschnitz;14.976777E;48.113450N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;6;9;1;3240;;Weidenpioniergebüsch;Großseggenröhricht, Kleinseggenröhricht;Salicetum purpureae Wendelberger-Zelinka 1952;;;
66-W-F;2011-06-08;Yvonne Schneemann;Ferschnitz;14.976958E;48.110169N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;;4;9;1;91F0;;Eichen-Ulmen-Eschen-Auwald;;Querco-Ulmetum Issler 1926;;;meso.relief: von Rücken durchzogen
77-G-F;2011-06-10;Yvonne Schneemann;Ferschnitz;14.977129E;48.113355N;20;14;14;0;0;0;0;0;0;0;0;0;0;0;1;1;4;9;1;91;6240;Weidenauwald;Kontinentaler basenreicher Mäh-Halbtrockenrasen, Großröhricht an Fließgewässern über Feinsubstrat ;Salicion albae Soó 1951;4;Onobrychido viciifoliae-Brometum T. Müller 1966, Phalaridetum arundinaceae Libbert 1931,Salicetum purpureae Wendelberger-Zelinka 1952;
21b-W-F;2011-05-23;Yvonne Schneemann;Ferschnitz;14.977293E;48.108680N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;2;91F0;;Ahorn-Eschenauwald;;Carici pendulae-Aceretum pseudoplatani;;;
65-W-F;2011-06-08;Yvonne Schneemann;Ferschnitz;14.977473E;48.109968N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;;3;9;1;91F0;;Ahorn-Eschenauwald;;Carici pendulae-Aceretum pseudoplatani;;;meso.relief: Graben (Altarm)
21-G-F;2011-05-23;Yvonne Schneemann;Ferschnitz;14.978498E;48.108793N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;4;0;;;Strauchmantel trocken-warmer Standorte;Brennnesselflur, Neophytenflur;Pruno-Ligustretum Tüxen 1952;;;
20-Wi-F;2011-05-23;Yvonne Schneemann;Ferschnitz;14.979000E;48.108601N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;3;9;0;6510;;Intensivgrünland;;Pastinaco-Arrhenatheretum Passarge 1964;;;
7-Wi-Fe;2011-05-20;Yvonne Schneemann;Ferschnitz;14.979580E;48.114103N;20;10;10;0;0;0;0;0;0;0;0;0;0;0;1;1;2;9;0;6510;;Frische artenreiche Fettwiese der Tieflagen;;Pastinaco-Arrhenatheretum Passarge 1964;;;
89-W-F;2011-06-12;Yvonne Schneemann;Ferschnitz;14.979703E;48.109437N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;1;5;9;1;;;Eschenforst (angenommen, da eineitliches alter);Weidenpioniergebüsch;unclassified;;;
87-G-F;2011-06-12;Yvonne Schneemann;Ferschnitz;14.979859E;48.110680N;20;25;25;0;0;0;0;0;0;0;0;0;0;0;1;8;6;5;3;3240;;Weidenpioniergebüsch;Großröhricht an Fließgewässer über Feinsubstrat;Salicetum purpureae Wendelberger-Zelinka 1952;2;Rorippo-Phalaridetum arundinaceae Kopecky' 1961;
29-W-M;2011-05-29;Yvonne Schneemann;Matzendorf;14.942320E;48.102340N;20;25;25;90;0;80;70;60;40;1;0,4;4;10;21;1;1;2;9;1;91F0;;Ahorn-Eschenauwald;Strauchmantel frischer Standorte;;;;
47-W-L;2011-06-04;Yvonne Schneemann;Leutzmannsdorf;14.939667E;48.101664N;20;25;25;80;0;50;60;60;70;0,4;0,25;3;15;22;1;1;;;;;;Eichen-Ulmen-Eschen-Auwald;;;;;
28-W-M;2011-05-29;Yvonne Schneemann;Matzendorf;14.940552E;48.102691N;20;25;25;100;0;95;10;15;40;0,9;0,7;3;7;23;1;1;2;9;1;;;Hybridpappelforst;Brennnesselflur, Neophytenflur;;;;
23-W-L;2011-05-29;Yvonne Schneemann;Leutzmannsdorf;14.941844E;48.101582N;20;25;25;60;0;60;60;30;60;0,8;0,4;7;15;25;1;1;2;9;1;91;;Ahorn-Eschenauwald;Strauchmantel frischer Standorte;;;;
25-W-L;2011-05-29;Yvonne Schneemann;Leutzmannsdorf;14.941776E;48.102633N;20;10;10;90;0;90;0;0;0;1,2;0,8;0;0;0;1;1;3;9;1;6510;;Frische artenreiche Fettwiese der Tieflagen;;;;;
55-W-M;2011-06-07;Yvonne Schneemann;Leutzmannsdorf;14.942608E;48.099658N;20;25;25;70;0;60;60;80;60;0,45;0,2;5;7;20;1;1;3;9;1;;;Ahorn-Eschenauwald;;;;;
30-W-L;2011-05-29;Yvonne Schneemann;Leutzmannsdorf;14.942321E;48.102343N;20;20;20;90;0;15;80;5;40;0,9;0,4;6;7;20;1;4;3;9;1;91F0;;Eichen-Ulmen-Eschen-Auwald;Strauchmantel frischer Standorte ;;;;
31-W-L;2011-05-29;Yvonne Schneemann;Leutzmannsdorf;14.942904E;48.101631N;20;25;25;90;0;70;30;25;80;0,5;0,3;6;7;17;1;1;2;9;1;9180;;Eichen-Ulmen-Eschen-Auwald;Strauchmantel frischer Standorte, Schlagflur ;;;;
27-W-L;2011-05-29;Yvonne Schneemann;Leutzmannsdorf;14.943883E;48.100680N;20;25;25;100;0;90;45;10;50;0,7;0,4;3;8;20;1;1;2;9;1;9180;;Eichen-Ulmen-Eschen-Auwald;Frische artenreiche Fettwiese der Tieflagen, Strauchmantel frischer Standorte ;;;;
24-W-L;2011-05-29;Yvonne Schneemann;Leutzmannsdorf;14.945227E;48.100634N;20;25;25;90;0;90;45;10;50;0,7;0,4;5;12;24;1;1;2;9;1;9180;;Eichen-Ulmen-Eschen-Auwald;Schlehengebüsch, Strauchmantel frischer Standorte ;;;;
26-Wi-L;2011-05-29;Yvonne Schneemann;Leutzmannsdorf;14.946027E;48.100338N;20;10;10;100;0;100;0;0;0;1,7;0,7;0;0;0;1;1;3;9;1;6510;;Frische artenreiche Fettwiese der Tieflagen;;;;;
56-W-M;2011-06-07;Yvonne Schneemann;Leutzmannsdorf;14.952105E;48.100492N;20;25;25;80;0;50;60;70;50;0,7;0,45;6;12;22;1;1;3;9;1;;;Eichen-Ulmen-Eschen-Auwald;Nadelgehölz;;;;
45-La-W;2011-06-04;Yvonne Schneemann;Leutzmannsdorf;14.961052E;48.105348N;20;25;25;100;0;100;10;0;60;1,7;1,2;3;0;22;1;1;3;9;1;;;Eschenforst ;Neophytenflur;;;;
46-La-W;2011-06-04;Yvonne Schneemann;Leutzmannsdorf;14.962600E;48.105187N;20;25;25;90;0;75;40;80;50;0,7;0,5;3;12;20;1;1;3;9;1;;;Pappelforst;;;;;
