"abbr";"layer";"comment";13;95;102;91;65;4;111;78;109;75;110;47;34;92;28;114;35;76;115;71;101;100;103;104;106;21;107;18;9;41;105;67;68;6;99;43;79;112;20;1;8;22;27;29;66;70;17;46;77;48;51;69;82;14;7;12;52;24;26;30;80;25;58;84;85;81;83;57;73;15;87;93;94;5;19;49;108;53;61;23;33;64;96;74;31;113;56;2;62;90;89;32;36;55;42;10;59;50;40;86;37;60;54;3;88;38;44;39;45;63;97;98;72;16
"sorb aucu aucu";"tl";"Sorbus aucuparia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2a";;;;;;;;;;;;1;1;"2b";"2a";;"+";1;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sorb aucu aucu";"hl";"Sorbus aucuparia";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"r";;;;;;"r";;;;;;"+";;"+";;;;"+";;;;;;;;;;;;"r";;;;;"r";;;"r";;"r";;;"+";"+";;;;;;;;;;;;;;;"r"
"acer pseu";"tl";"Acer pseudoplatanus";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2a";;1;1;;;;1;1;1;;;;"2a";;;;;;;;;;;;;"2a";;;;;;;;;"2a";"+";;"2a";"2a";;;;"2b";;"2a";;;;"2a";
"acer pseu";"hl";"Acer pseudoplatanus";;"r";;;;;;;;"r";;;;;;;;;;;"r";"r";;;"r";;;;;;;;;"r";"+";;;"r";;;"r";;;;;;;;;;"r";"+";;"r";"r";"r";"r";"+";;;;"+";"+";;;;;1;"+";"r";"+";"r";"r";"r";;;"+";"+";"+";"r";"r";;"r";"+";"+";"+";"+";"+";;;"+";"+";;"+";;"+";"+";;"+";"+";;"r";"+";"r";"+";;"+";;"+";"+";"+";"+";"+";
"pinu sylv";"tl";"Pinus sylvestris";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2b";;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;
"abie alba";"tl";"Abies alba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;"2a";;;"2a";;;;;1;;;;;;;;;;;;;;;;;;;;;;;;"2b";"2b";;;;;;;;;;;;;;;;
"cory avel";"sl";"Corylus avellana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2a";;;;;;;;;;;;;;;;;;;;;;;;
"cory avel";"hl";"Corylus avellana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;"r";;;;;;;
"quer robu";"hl";"Quercus robur";;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sesl caer";"hl";"Sesleria caerulea";3;;1;1;"+";"2a";"+";"2a";1;"2a";1;"+";1;"+";"+";1;3;1;1;"2b";"2a";1;1;1;"2a";"2a";"+";"2a";"+";"2a";1;1;"2a";1;"2a";3;4;1;1;"2a";"+";"2a";"2a";4;"2a";"2a";1;"2a";1;"2a";"+";"2b";3;"+";"+";1;"2a";;1;;1;"+";"2b";1;1;1;"2a";"+";3;"+";"2b";1;1;1;1;1;"+";1;"2a";"2b";"2a";"+";1;;;"2a";;"2a";1;"+";"+";"+";"2a";;"2a";;1;1;"2a";"2a";"2a";"+";"+";"+";"+";;;1;;"+";;;"+";
"cala vari";"hl";"Calamagrostis varia";;"+";;;;"+";1;;"+";1;1;;1;;"+";1;;"+";"+";1;"2b";1;1;"2b";"2b";"+";"2a";"2b";"+";"2a";"2a";1;3;"2a";"+";1;"2a";"2a";3;1;1;3;1;"+";1;"2a";"2a";;"+";"+";"+";"2a";"+";3;3;4;3;"2a";1;1;1;"2a";1;4;4;3;3;"2a";"+";"2b";"2a";"2b";3;"2a";"2a";"2b";1;"2b";3;3;1;"2a";"2b";"2b";3;"2b";"2b";"2a";3;1;"2a";"2a";1;"2b";1;"2a";3;"2a";"2b";"2a";1;"2a";3;1;1;;"2a";"+";1;;"+";"+";;"+"
"poly cham";"hl";"Polygala chamaebuxus";;;;;;"r";1;;"+";1;"+";"+";;"+";;"+";1;"+";;"+";"+";1;;;"+";"+";;;;"+";"+";"+";"+";"+";1;"+";"+";"2a";1;1;"+";;"+";;1;;"+";"2a";1;1;;"+";1;"+";;;"+";;;;"+";1;;"+";"+";"+";"+";1;"+";;"+";1;1;"r";1;1;"2a";"+";;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"eric carn";"hl";"Erica carnea";;"+";;;;"r";;"r";"+";;"+";"+";;"+";;"2b";"+";"2b";1;1;"+";1;;;;;;"+";;"+";"+";;;"+";;"+";"2a";1;1;1;"+";;"+";1;;;"+";"2a";"2b";"2a";"+";"+";1;"+";;;;1;"2b";1;1;1;"2a";"+";1;1;1;"+";"+";;"+";1;"+";;;"+";"+";"+";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"vinc hiru";"hl";"Vincetoxicum hirundinaria";;;;"r";;"r";;;"r";"+";"+";;;"r";"2a";"+";;"+";;"+";"+";"+";"+";"+";"+";1;"+";"+";"+";"+";"+";"2a";"+";"+";"2a";1;"+";1;"2a";"r";1;1;3;"2a";"2a";1;"+";;"+";;;"+";;;"+";;;;;;;;;;;;;"r";"r";;;;"r";1;"2a";;3;"2a";;"+";"2a";3;"2a";"2b";"2a";"+";;"+";"+";;"2a";"2a";;;;"2a";;;;1;;;"r";"2a";"r";"2a";;"r";;;;"+";;
"card defl viri";"hl";"Carduus defloratus s.lat.";;;;;;"r";"2a";;"+";"+";"+";"+";"r";"+";"+";"+";;;;1;"+";"+";;"+";1;;"+";"+";1;1;"+";"+";"+";"+";"+";"+";"+";"+";"+";"r";"+";1;1;;"+";1;1;"+";;"+";"+";1;"+";;;;;;;;;;"r";;;;;;;;;;"r";"+";;;"+";"+";1;;"r";;"+";"+";;1;"r";"r";"r";"r";"+";"r";;;"+";;;;;;;;;;"+";;;;;"r";;;;
"tort tort";"ml";"Tortella tortuosa";;1;1;"2a";1;1;1;1;"2a";;"+";"+";1;"2a";"+";;1;"+";"+";1;;1;1;;"+";;;;;;1;;;;1;;;;;;;;;;1;1;;;1;"+";;;;1;1;;;;;;"+";1;;;;1;;;1;;"+";;"+";;;;;1;;;;;;;;;1;"2a";;1;;;;;;;;;;;1;;;1;"+";;;;;"+";"+";;"+";
"euph cypa";"hl";"Euphorbia cyparissias";;;;;;1;"+";"+";"+";"+";1;;1;1;"2a";"+";;"+";"+";1;1;"+";"2b";1;"+";"2a";"2b";"+";1;1;1;"2a";1;"+";1;1;1;1;1;"2a";"+";"2a";1;1;1;1;1;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;"+";1;;1;"+";"+";;;;;;"+";"+";"+";;"+";;;;;;;;;;;;;;;;;;;
"buph sali";"hl";"Buphthalmum salicifolium";;;;"+";"2b";"+";"+";"+";"+";1;"+";1;;;1;"+";;;;"2a";"+";"+";;"+";1;1;;"2a";"+";;1;1;1;"+";"+";;"+";"+";1;"r";;"+";1;;1;1;"+";;"+";;;1;"+";;;;;;;;;;;;;;;;"+";;;;;;"2a";;"2a";;1;;;1;"+";1;;"+";;1;;;;;;;;;;;;;;;;;;;;;;;;;;
"gali anis";"hl";"Galium anisophyllon";;;;;"r";"r";"r";"+";"+";"+";1;;;"+";"+";;"+";;;"+";"+";"+";"+";"+";1;1;;"+";1;"+";;1;1;"+";1;"+";"+";"+";1;1;"+";;"+";"r";"+";"+";"+";;"+";"+";;;"+";;;;"+";;"r";;;;;;"+";;;;;;;"+";;"+";"+";;;"r";;;1;"+";"+";;"+";"+";;;;;;;;;;;;;;;"r";;;;;;;;;;;;;
"care humi";"hl";"Carex humilis";;;;;"+";"2b";"2b";"2b";"2b";"2b";3;"2a";"2a";"2b";;"2a";"+";3;"2a";"2a";3;"2b";"2a";3;3;;3;"2b";3;;3;"2b";"2a";"2a";3;"2b";;1;;3;"2a";3;;;3;3;3;"2a";1;1;"+";;;;;;;;;;;;;;;;;;;;;;;"2a";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"thym prae prae";"hl";"Thymus praecox ssp. praecox";;;"+";"+";1;"+";;;"2a";"2a";1;"2a";1;1;"+";1;1;1;"+";1;1;"2a";"+";;1;;;"2a";"+";"+";1;1;"2a";;"+";;;1;;1;;"r";1;"+";1;1;;;;"2a";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;
"epip atro";"hl";"Epipactis atrorubens";;;;;;"r";"r";;;;;;;;"+";;;;"+";;;"r";"+";"+";"+";;;;"r";;;;;"r";"+";;;"+";;"r";"r";;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"alli lusi";"hl";"Allium lusitanicum";;;"r";;"r";;;;"+";;"+";;"+";;;"+";;"+";"+";"+";1;"+";"+";"+";"+";1;"+";"+";"+";"+";;"+";"+";"+";"+";;;;;;;"+";;;"+";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"thes alpi";"hl";"Thesium alpinum";;"r";;;;;;;;"+";;;;;;"+";;"+";"+";"+";"+";"+";"+";"+";"+";;;;"+";;;;;"+";"+";"+";;;;;"+";;"+";"+";;;;"+";;"+";;"+";;;;;;;;;;"+";;;"+";;;;;;;"+";"+";;"+";;;;;;;;;;;"+";;"r";;;;;;;;;;;;;;;;;;;;;;;;;;
"heli numm obsc";"hl";"Helianthemum ovatum";;;;;;"+";;"+";;;;;1;"+";;"+";;;"+";;1;"+";"2a";"2a";1;"2a";"2a";"2a";"+";"+";"+";1;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"lotu corn slat";"hl";"Lotus corniculatus";;;;;;;;;;;"r";;"+";"+";;;;;"+";;"+";"+";1;"+";"+";;;"+";"+";"+";;"+";"+";"+";"+";;"+";"+";"+";"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"anth ramo";"hl";"Anthericum ramosum";;;;;;"r";"r";;"r";;"+";;;"+";;"r";;"+";"+";"+";1;"+";;;;"r";;;"r";"r";;"+";;1;"+";;"+";"+";;"+";;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;"r";;"+";"+";;"+";"+";"+";;;;;;;;;;;;;;;;"r";;;;;;;;;;;;;;;;;;;
"clin alpi alpi";"hl";"Clinopodium alpinum";;;;"+";;"2m";;1;"+";;;;;"+";;;;;;;;;;"+";"+";"+";;"+";"+";"+";;;;"r";"+";"+";1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"teuc cham";"hl";"Teucrium chamaedrys";;;;;;"+";;;;;1;;1;"+";"+";;;;;;;1;1;;"+";"+";"+";;"+";"2a";"2a";;;;1;"+";1;"2a";1;;;;;;;;"r";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;"+";;;"+";;;"+";;;;;;;;;;;;;;;;;;;;;;;
"care firm";"hl";"Carex firma";"2b";"2a";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;;;;;;;;
"gent clus clus";"hl";"Gentiana clusii";;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ping alpi";"hl";"Pinguicula alpina";"r";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"rhod cham";"hl";"Rhodothamnus chamaecistus";"r";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"aspl ruta";"hl";"Asplenium ruta-muraria ssp. ruta-muraria";;;"r";"r";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"pote caul";"hl";"Potentilla caulescens";1;"+";1;"+";"r";"r";;"+";"+";;;;;;;"+";"r";;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"care mucr";"hl";"Carex mucronata";;;"2a";"2a";"2b";;;;"+";;;"+";1;"+";1;"2m";"+";"+";;"2m";"2m";"2m";"2m";"+";"2m";;;1;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"glob cord";"hl";"Globularia cordifolia";;;"+";"+";"2a";;;;;;;1;"2a";;"2a";1;"+";"+";"2b";;;"+";"+";;;;;1;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"rhyt rugo";"ml";"Rhytidium rugosum";;;;;;;;;"+";;1;1;;;1;;"2a";;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"euph sali";"hl";"Euphrasia salisburgensis";;;;;;;;;;;;"+";"+";;"+";"+";"+";"+";1;1;;"+";;"+";;;;"+";;;;"+";"+";;;;;;;;;;;;1;"+";;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"drya octo";"hl";"Dryas octopetala";;;"+";;;;;;;;;"+";;;"+";;;;"2b";;"+";"2a";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"abie abie abie";"ml";"Abietinella abietina";;;;;;;;;;;;;;1;;;;1;1;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"orig vulg";"hl";"Origanum vulgare ssp. vulgare";;;;;;;;;;;;;;;;;;;;;;;;"+";"+";1;1;;"+";"+";1;"r";1;"+";1;"r";"+";"+";"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;
"lase lati lati";"hl";"Laserpitium latifolium ssp. latifolium";;;;;;;;;;"+";;;;;;;;;;;;"r";1;"+";;;"+";"r";;;"r";;"+";;1;1;;"+";"+";"r";;;;;"+";"+";;;;;;;;;;;"r";;;;;;;;;"r";"+";;;;;"r";"r";;;;"+";"+";;;;"r";"+";"+";;;;;;"r";;;;;;"r";;;;;;;;;;;"+";;;;;;"+";
"pimp saxi slat";"hl";"Pimpinella saxifraga s.lat.";;;;;;;;;;;;;;;;;;;;;;;"+";"+";"+";1;"+";;;;"+";"+";"+";;"+";;;"+";;;;1;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;"+";;;;;;"+";;;;;;;;;;;;;;;;;;;"+";;;;;;
"ranu mont";"hl";"Ranunculus montanus agg.";;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";"+";;;;;;;;;"+";;;"+";;"+";;;"+";"+";"+";"r";;;;;;;;;;"+";;;;;;"r";;;;;;;;;;;;"+";"+";;;;;;;"+";;;"r";;;"r";;;;"+";;;;;;;;;;;;"+";;;"+";;;;;;
"hype perf";"hl";"Hypericum perforatum";;;;;;;;;;;;;;"+";;"r";;;;;;;"+";"+";"+";"+";"+";"+";;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"sile nuta nuta";"hl";"Silene nutans s.lat.";;;;;;"+";;"+";;;;;;;;;;;;;;;"+";"+";;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"anth vuln slat";"hl";"Anthyllis vulneraria";;;;;;;;;;;;;;;;;;;;;"+";"+";"+";;;"+";"+";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"dact glom glom";"hl";"Dactylis glomerata ssp. glomerata";;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";"+";;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"thal minu saxa";"hl";"Thalictrum minus ssp. saxatile";;;;;;;;;;;;;;;;;;;;;;;;"+";"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"gali veru";"hl";"Galium verum";;;;;;;;;;;;;;;;;;;;;;;1;"2a";;;;;"+";;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"hipp como";"hl";"Hippocrepis comosa";;;;;;;;;;;;1;1;;;;;"+";;"+";;;;;;;;1;"+";"+";;"+";;;;1;"+";"+";;1;1;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"scab luci luci";"hl";"Scabiosa lucida ssp. lucida";;;;;;"+";;"+";;"+";;;;;;;;;"+";;;;;;;;;1;;;;1;;"+";"+";"+";"+";"+";;1;"r";;;;1;"+";"+";;"r";;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"camp rotu";"hl";"Campanula rotundifolia";;;;;;"r";;;;;"r";;;;;;;;;;;;;;;"+";;;;"r";"+";;"+";;;;"+";;;;"r";;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"carl acau acau";"hl";"Carlina acaulis ssp. acaulis";;;;;;;"+";;;;;;;;;;;;;;"+";"r";;;;;;"r";"r";"+";;;"+";;;;;;;;;"+";;;"+";"r";;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"clin vulg vulg";"hl";"Clinopodium vulgare";;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";"+";"r";1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"r";;"+";;;;;"+";;;;"+";;;;;;"r";;;;"+";;;;;"+";;;;;"r";;;;;;;;
"hepa nobi";"hl";"Hepatica nobilis";;;;;;;"+";;;;;;;;;;;;;;;;;;"+";;;;;;"+";;;;"+";"+";"+";;1;"r";"+";"+";"+";"+";"+";"+";"+";;;;"+";"+";"+";"+";"+";1;"+";1;"+";"+";"+";;1;"+";"+";"+";"+";"+";"+";1;"+";"+";"+";;1;1;"+";"+";"+";1;1;"+";"+";"+";;1;;1;"+";;"+";;"+";"+";"+";;"+";1;"+";"+";;"+";1;1;"+";"+";"+";1;"+";"+";"+";;1;
"merc pere";"hl";"Mercurialis perennis";;;;;;;;;;;;;;;;;;"r";;;;;;;;;;;"r";;"+";"+";;"r";"+";"+";"+";"+";;;"r";"2a";;;1;"+";"r";;;;;"r";;1;1;;"+";;"+";"+";"+";;1;"+";"+";"+";"+";1;"+";"+";"+";"+";"+";"+";;;"+";"+";"+";1;;"+";"+";"+";"+";1;"+";"r";"+";1;1;;1;1;"+";1;1;1;"+";"2a";1;"+";1;1;1;"2a";1;1;1;1;"2b";1;"+";"r"
"care alba";"hl";"Carex alba";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";1;;;;;;;"2b";"2a";"+";;;"2b";;;;;;"+";;1;;;;1;1;"2a";1;"+";"+";1;;"2b";1;"2a";"2a";1;1;"2a";"2a";3;"2a";"2a";1;"2b";"2b";"2b";1;"2a";;1;"2a";"2a";1;"2b";3;1;3;"2b";"2a";"2a";1;"2b";"2a";3;"2a";"2a";"2b";"2b";3;"2b";3;"2a";"2b";3;"2b";"2b";"2b";"2b";"2b";"2a";"2a";3;"r"
"care mont";"hl";"Carex montana";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;1;;;"+";"+";"2b";;;"2a";;;1;;;;;;;"2a";"2b";"2a";;;;;;;;;;;;;;1;;;;;;;;;1;"2a";3;"2a";;"2b";"2a";"2b";"2b";"+";;"2a";;1;"2a";"2b";"2b";"2b";1;;;;"+";;;;;;;;;;;;;;;;
"care flac";"hl";"Carex flacca";;;;;;;"+";;;;;;;;"+";;;;;;;;;;"+";;;;;;;;1;;;;;"+";"+";;"+";;;;"+";;;;;;"+";"+";;"+";"r";;;;;;;;;;"+";"+";"+";;;;1;"+";"+";;;;;"+";;;1;;;;1;;1;;;"+";1;"+";;;;"+";;"+";;"r";;;;;"+";;;;;;;;;
"meli nuta";"hl";"Melica nutans";;;;;;;"+";;;;;;;;;;;;;;;"+";;;"+";;;;"r";;;;;;"+";;;;;;"+";;"+";"+";"+";;;"+";;;1;;;;"+";;;"+";"+";;;;;"+";"+";;;"+";;"+";1;1;"+";;"+";;"+";;"+";"+";;;1;"+";;;;;;;;;;;"+";;"+";;;"r";"+";;"+";;;;;;;;;;"+";
"knau maxi";"hl";"Knautia maxima";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"+";;"+";"+";;;;;"+";;;;;;"+";;"+";"+";;1;"+";"+";"+";"+";"r";"+";;"+";1;1;;;1;"+";"+";1;;;;"+";1;;"+";1;;;;;;;"+";;;"+";;;;;;;;;;;;;;;;;
