Aufahmenummer	Lokalität	Höhe	Exp.	Neig..in.	Fläche.in.m.	dk	ds	db	GK.x.wert	GK.y.Wert	Längengrad	Breitengrad	Unschärfe
2125	Skipiste	1610	ESE	25	20	95	0	0	NA	NA	15.720030E	47.703821E	1000
2126	Skipiste	1560	E	5	10	100	0	0	NA	NA	15.720030E	47.703821E	1000
2127	Im Graben vom Seeweg zum Jakobskogel	1650	NW	5	40	100	0	0	706195	285786	15.748447E	47.709324E	20
2128	Ottohaus - Weidefläche, SO-Hang	1610	SE	35	0	90	0	0	707410	286548	15.764562E	47.716259E	20
2129	Almweidefläche nw Weißkogel am Seeweg	1685		0	35	100	0	0	706235	286207	15.748937E	47.713113E	20
2130	Hofhalt, 150m südöstl. der Hütten	1610	NW	15	15	100	0	0	706274	286772	15.749400E	47.718197E	20
2131	Graben von Trinksteinsattel zur Taupentalalm, orogr. re. Hang	1755	SE	30	50	95	0	0	702877	284899	15.704332E	47.701112E	20
2132	Ottohaus-Almfläche, SO-Hang	1615	SE	30	15	100	0	0	707302	286479	15.763129E	47.715631E	20
2133	wsw Klobentörl	1760	N	20	25	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2134	Hofnaltalm, sw der alten Ho.	1580	E	0	30	100	0	0	NA	NA	15.720030E	47.703821E	1000
2135	Gretchensteig-Plateaurand, 150m östl. der Kapelle	1835	N	5	15	100	0	0	702814	283270	15.703670E	47.686457E	20
2136	Plateau K.Ludwighaus, 250m sw der Htt.	1830	NE	5	6	100	0	0	702737	283305	15.702640E	47.686766E	20
2137	Weidefläche bei Ottohaus, flacher NW-Hang, 80m s Wegweiser	1605	NW	10	50	100	0	0	NA	NA	15.720030E	47.703821E	1000
2138	Skipiste Graben zum Liftanfang	1545	NW	10	50	100	0	0	708294	286671	15.776331E	47.717423E	20
2139	Heukuppe, 50m vor der Plateaukante	1880	NE	20	6	100	0	0	702502	283265	15.699515E	47.686389E	20
2140	kl. Poljc südl. Bißkogel, Hohe Lehne 20m vor Schuttfeld	1870		0	2	95	0	0	704058	285792	15.719971E	47.709229E	20
2141	Trinksteinsattel, 5m neben Weg, 200m westl der Htt.	1825		0	15	100	0	0	703681	285087	15.715023E	47.702861E	20
2142	Trinksteinsattel, 100m sw. der Htt.	1815		0	12	100	0	0	703718	285044	15.715521E	47.702477E	20
2143	gr. Karstwanne nördl. Bißkogel, TUmpelrand	1860		5	3	95	0	0	NA	NA	15.720030E	47.703821E	1000
2145	Trinksteinsattel, W-Hang zu Weg Habsb.-H. - K.Ludwighaus	1815	WNW	20	35	100	0	0	703777	285301	15.716279E	47.704793E	20
2146	Bärenlochgraben	1535		0	65	100	0	0	NA	NA	15.720030E	47.703821E	1000
2147	Scheibwaldhöhe Sstl. Waxriegel	1850		0	10	95	0	0	NA	NA	15.720030E	47.703821E	1000
2148	so Ebenwaldhtt.	1570	N	10	20	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2149	unbekannt	1590	NNW	15	8	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2150	Alpenvereinssteig	1120	W	30	50	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2201	Hofhalt, 5m unterhalb des Weges bei blauer Tafel	1585	NW	20	20	100	0	0	706427	287101	15.751406E	47.721167E	20
2202	Kante zur Preinerwand, 20m oberhalb des Weges	1745	E	25	6	70	0	0	705064	285008	15.733457E	47.702249E	20
2203	Kante zur Preinerwand 20m oberh. des Weges Seehtt.-Jakobskogel	1745	E	15	NA	80	0	0	705064	285008	15.733457E	47.702249E	20
2204	20m no von Preinerwandkreuz, direkt unter der Plateaukante	1780	ESE	35	35	90	0	0	NA	NA	15.720030E	47.703821E	1000
2205	30m nw Preinerwandkreuz	1775	NW	10	15	100	0	0	NA	NA	15.720030E	47.703821E	1000
2206	Zwischen Hoher Kanzel und Preinerwand	1775	S	35	20	60	0	0	NA	NA	15.720030E	47.703821E	1000
2207	Südl. vom Weißkogel, 5m nach der Plateaukante	1735	E	40	50	95	0	0	705969	285287	15.745486E	47.704821E	20
2208	100m südl. des Weißkogelgipfels	1755	WNW	5	10	85	0	0	705939	285413	15.745074E	47.705952E	20
2209	Hofhaltalm, 250m sttdöstl. der Hütten	1610	NW	10	35	100	0	0	706308	286806	15.749850E	47.718505E	20
2210	Schuttkegel südl. der Lecnnermauem, 50m ober der Latschengrenze	1700	SE	35	30	90	0	0	704571	286177	15.726766E	47.712728E	20
2211	Schuttkegel südl. der Lecnnermauem, 30m neben Wandfuß	1810	SE	35	25	90	0	0	NA	NA	15.720030E	47.703821E	1000
2212	Gretchensteig, 100m vordem Wandfiiß	1715	S	25	25	80	0	0	NA	NA	15.720030E	47.703821E	1000
2213	Grat südl. Bißkogel zw. kl. und gr. Karstwanne	1915		0	8	100	0	0	703759	286140	15.715950E	47.712337E	20
2214	Weggabelung "Langer Mann"-Bismarcksteig, li. u. Ecke ist Tafel	1830	SE	25	25	100	0	0	702854	283737	15.704152E	47.690660E	20
2215	orogr. re. Hang des "Langen Mann", 40m unter Bismarcksteig	1820	NE	30	25	100	0	0	NA	NA	15.720030E	47.703821E	1000
2216	Verbindungsgraben Trinksteinsattel-Taupentalalm, orogr. re. Einhang	1755	SE	30	20	98	0	0	NA	NA	15.720030E	47.703821E	1000
2217	Taupentalalm, 50m östlich der Htt	1685	W	15	2	100	0	0	702579	284349	15.700422E	47.696144E	20
2218	Am Fuß der Raxmäuer, 20m davor, 150m westl. vor Gretchensteig	1705	S	30	50	95	0	0	702638	283058	15.701349E	47.684537E	20
2219	Heukuppe NO-Hang, 10m vor der Kante zu den Raxmauem	1860	ENO	20	20	60	0	0	702590	283227	15.700691E	47.686054E	20
2220	Bismarcksteig, 20m unter dem Steig	1760	SE	30	25	90	0	0	703989	284882	15.719148E	47.701040E	20
2221	Trinksteinsattel, 200m sw der Htt.	1820	NE	20	35	60	0	0	703717	284958	15.715517E	47.701704E	20
2222	Weg Trinksteinsattel - Bißkogel	1880	S	15	20	100	0	0	703699	285313	15.715239E	47.704895E	20
2223	500m südl. des Bißkogel, NW-Hang der gi. Karstwanne	1910	NW	20	30	90	0	0	703781	285833	15.716276E	47.709578E	20
2224	Fuchslochsteig	1575	S	25	60	100	0	0	NA	NA	15.720030E	47.703821E	1000
2225	Fuchslochsteig-Raxmäuer, 40m vor der Engstelle	1820	SW	30	65	100	0	0	701738	283212	15.689345E	47.685856E	20
2226	Heukuppe, orogr. li. des Weges vom K.-Ludwighaus	1945	NE	10	20	100	0	0	701731	283801	15.689186E	47.691152E	20
2227	Barenlochgraben, re. Hang	1715	SSW	35	60	100	0	0	702942	285332	15.705151E	47.705011E	20
2228	200m no Dreimarckstein	1905		0	8	15	0	0	NA	NA	15.720030E	47.703821E	1000
2229	Oberkante Lechnerwände, 10m unter Weg zur Glggnitzer Htt.	1750	N	25	40	95	0	0	NA	NA	15.720030E	47.703821E	1000
2230	oberer Waxriegelkamm bei Weggabelung Bismarcksteig	1890	ESE	15	25	NA	NA	NA	703509	284456	15.712799E	47.697174E	20
2231	Bismarcksteig, östl. Teil	1810	S	30	80	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2232	Martinsteig	1700	ESE	30	100	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2233	Predigtstuhl-Osthang	1830	E	20	100	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2234	Großer Grieß	1670	N	30	80	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2301	Östliche Rand der Lechner Mauern, 20 m unterhalb der Felsen	1560	SSE	30	40	60	0	0	NA	NA	15.720030E	47.703821E	1000
2302	unterhalb der Lechner Mauern	1550	SSE	30	40	40	0	0	NA	NA	15.720030E	47.703821E	1000
2303	unterhalb Lechner Mauern, 20 m südl. Wandruß	1575	E	35	40	20	0	0	NA	NA	15.720030E	47.703821E	1000
2304	Schuttkegel südl- Lechner Mauem, 15m vor den Latschen	1675	SE	30	50	20	0	0	704560	286131	15.726625E	47.712313E	20
2305	Gretchensteig, 200m südl. der Felswand, orogr. Li. Des Steiges	NA	S	30	20	40	0	0	704560	286131	15.726625E	47.712313E	20
2306	Karlgraben, 30m unterhalb des Sattels	1755	E	33	20	30	0	0	NA	NA	15.720030E	47.703821E	1000
2307	Schneegraben bei K. Ludwighaus, 5m über dem Grabengrund	1800	N	25	4	70	0	0	702615	283543	15.700989E	47.688898E	20
2308	Schneegraben bei K. Ludwighaus	1810	W	35	4	98	0	0	702590	283556	15.700655E	47.689013E	20
2309	Raxmauern, 30m unter der Plateaukante	1865	SE	30	50	15	0	0	702536	283195	15.699975E	47.685762E	20
2310	Bismarcksteig, 10m unter dem Weg im Grabenzentrum	1735	SE	30	6	70	0	0	704131	285013	15.721026E	47.702228E	20
2311	Bismarcksteig, 5m unter dem Steig	1760	SE	35	3	60	0	0	704006	284940	15.719369E	47.701563E	20
2312	Bismarcksteig, 40 m unter Steig	1735	SE	20	10	50	0	0	704021	284890	15.719574E	47.701114E	20
2313	Graben sw von Trinksteinhtt. am Fuß der orogr. re. Felswand	1810	NNE	30	4	50	0	0	NA	NA	15.720030E	47.703821E	1000
2314	östlich Dreimarkstein	1845	SE	25	10	20	0	0	NA	NA	15.720030E	47.703821E	1000
2315	Fuchslochsteig	1820	SSW	30	60	50	0	0	701757	283215	15.689598E	47.685884E	20
2316	Doline am Steilhang der Heukuppe	1885	E	40	6	70	0	0	701930	283325	15.691890E	47.686886E	20
2317	oberer Einhang zur Doline am Heukuppen-Südhang	1910	SE	25	NA	70	0	0	701900	283341	15.691488E	47.687028E	20
2318	Bärenkar-Heukuppe, orogr. li. Hang	1770	E	30	100	65	0	0	701683	284071	15.688517E	47.693577E	20
2319	Bärenkar vor Ebnerhütte	1655	NE	10	10	98	0	0	701874	284176	15.691049E	47.694535E	20
2320	Preinerwandschött, unter Königschuß wand	1390	SSO	30	60	80	0	0	NA	NA	15.720030E	47.703821E	1000
2321	Preinerwandschütt Grat zur Königschußwand	1540	SE	40	45	30	0	0	NA	NA	15.720030E	47.703821E	1000
2322	Scheibwaldhahe, östlich Waxriegel	1875	W	2	35	100	0	0	704132	286751	15.720856E	47.717859E	20
2323	am Hohen Stein, in Wegschleife	1720	W	30	65	60	0	0	NA	NA	15.720030E	47.703821E	1000
2324	Gamsecksteig	1680	NW	70	13	25	0	0	NA	NA	15.720030E	47.703821E	1000
2325	Bismarksteig, erste Schutthalde nach K. Ludwighaus	1790	SE	85	15	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2326	Großer Grieß	1610	N	70	20	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2327	Klobentörl	1600	ESE	80	8	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2328	südlich der Lechnermauem	1670	N	70	3	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2329	Plateaukante Bergstation	1570	S	50	30	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2330	Klobentörl	1600	ESE	40	4	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2331	Großer Grieß	1580	SW	20	8	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2332	Großer Grieß	1580	S	30	100	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2333	Bismarksteig	1780	SE	30	50	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2334	Großer Grieß	1610	W	15	25	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2400	am Weg Hofhalthütte - Seeweg, 20m unterhalb des Weges	1590		20	300	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2401	Törlweg	1460	SSE	25	250	80	10	75	NA	NA	15.720030E	47.703821E	1000
2402	500m sw Jakobskogel	1680	S	30	70	20	100	0	NA	NA	15.720030E	47.703821E	1000
2403	Naßkamm-S-Hang, direkt am Weg 200m westl der Gamseckschütt	1515	WSW	30	300	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2404	Im Gschirr	1545	N	20	150	90	85	0	NA	NA	15.720030E	47.703821E	1000
2405	Verbindungsweg Hoflialt-Seehtt., 20m unterhalb des Weges	1590	NW	20	300	80	0	60	NA	NA	15.720030E	47.703821E	1000
2406	150m nw des Weißkogel	1730	NW	15	200	80	100	0	NA	NA	15.720030E	47.703821E	1000
2407	Klobentörl-Steig, direkt unter Abzweigung Lechnermauem	1530	E	25	250	80	0	60	NA	NA	15.720030E	47.703821E	1000
2408	Gretchensteig vor der Waldgrenze	1555	ESE	30	250	50	0	70	NA	NA	15.720030E	47.703821E	1000
2409	Bismarcksteig, direkt unter dem Weg	1815		0	100	40	100	0	NA	NA	15.720030E	47.703821E	1000
2410	Praterstem-Ottohaus, bei altem Lift	1635	NW	5	150	80	90	0	NA	NA	15.720030E	47.703821E	1000
2411	westlich Klobentörl	1660	NNE	10	100	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2412	südlich Kerschböndl gegen Mulde	1640	NE	10	100	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2413	südlich Lechnermauem, bei der Eishöhle	1640	ESE	20	150	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2414	Preinerwandkreuz	1780	ESE	25	100	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2415	Bergstation	1540	SE	30	150	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2416	bei Abzweigung Gaisloch	1500		25	200	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
2417	westl. der Bergstation	1550	N	15	100	NA	NA	NA	NA	NA	15.720030E	47.703821E	1000
