"Aufahmenummer";"Lokalität";"Höhe";"Exp.";"Neig. in°";"Fläche in m²";"dk";"ds";"db";"GK x-wert";"GK y-Wert"
2203;"Kante zur Preinerwand 20m oberh. des Weges Seehtt.-Jakobskogel";1745;"E";15;;80;0;0;705064;285008
2204;"20m no von Preinerwandkreuz, direkt unter der Plateaukante";1780;"ESE";35;35;90;0;0;;
2205;"30m nw Preinerwandkreuz";1775;"NW";10;15;100;0;0;;
2206;"Zwischen Hoher Kanzel und Preinerwand";1775;"S";35;20;60;0;0;;
2207;"Südl. vom Weißkogel, 5m nach der Plateaukante";1735;"E";40;50;95;0;0;705969;285287
2208;"100m südl. des Weißkogelgipfels";1755;"WNW";5;10;85;0;0;705939;285413
2209;"Hofhaltalm, 250m sttdöstl. der Hütten";1610;"NW";10;35;100;0;0;706308;286806
2210;"Schuttkegel südl. der Lecnnermauem, 50m ober der Latschengrenze";1700;"SE";35;30;90;0;0;704571;286177
2211;"Schuttkegel südl. der Lecnnermauem, 30m neben Wandfuß";1810;"SE";35;25;90;0;0;;
2212;"Gretchensteig, 100m vordem Wandfiiß";1715;"S";25;25;80;0;0;;
2213;"Grat südl. Bißkogel zw. kl. und gr. Karstwanne";1915;;0;8;100;0;0;703759;286140
2214;"Weggabelung ""Langer Mann""-Bismarcksteig, li. u. Ecke ist Tafel";1830;"SE";25;25;100;0;0;702854;283737
2215;"orogr. re. Hang des ""Langen Mann"", 40m unter Bismarcksteig";1820;"NE";30;25;100;0;0;;
2216;"Verbindungsgraben Trinksteinsattel-Taupentalalm, orogr. re. Einhang";1755;"SE";30;20;98;0;0;;
2217;"Taupentalalm, 50m östlich der Htt";1685;"W";15;2;100;0;0;702579;284349
2218;"Am Fuß der Raxmäuer, 20m davor, 150m westl. vor Gretchensteig";1705;"S";30;50;95;0;0;702638;283058
2219;"Heukuppe NO-Hang, 10m vor der Kante zu den Raxmauem";1860;"ENO";20;20;60;0;0;702590;283227
2220;"Bismarcksteig, 20m unter dem Steig";1760;"SE";30;25;90;0;0;703989;284882
2221;"Trinksteinsattel, 200m sw der Htt.";1820;"NE";20;35;60;0;0;703717;284958
2222;"Weg Trinksteinsattel - Bißkogel";1880;"S";15;20;100;0;0;703699;285313
2223;"500m südl. des Bißkogel, NW-Hang der gi. Karstwanne";1910;"NW";20;30;90;0;0;703781;285833
2224;"Fuchslochsteig";1575;"S";25;60;100;0;0;;
2225;"Fuchslochsteig-Raxmäuer, 40m vor der Engstelle";1820;"SW";30;65;100;0;0;701738;283212
2226;"Heukuppe, orogr. li. des Weges vom K.-Ludwighaus";1945;"NE";10;20;100;0;0;701731;283801
2227;"Barenlochgraben, re. Hang";1715;"SSW";35;60;100;0;0;702942;285332
2228;"200m no Dreimarckstein";1905;;0;8;15;0;0;;
2229;"Oberkante Lechnerwände, 10m unter Weg zur Glggnitzer Htt.";1750;"N";25;40;95;0;0;;
2230;"oberer Waxriegelkamm bei Weggabelung Bismarcksteig";1890;"ESE";15;25;;;;703509;284456
2231;"Bismarcksteig, östl. Teil";1810;"S";30;80;;;;;
2232;"Martinsteig";1700;"ESE";30;100;;;;;
2233;"Predigtstuhl-Osthang";1830;"E";20;100;;;;;
2234;"Großer Grieß";1670;"N";30;80;;;;;
2301;"Östliche Rand der Lechner Mauern, 20 m unterhalb der Felsen";1560;"SSE";30;40;60;0;0;;
2302;"unterhalb der Lechner Mauern";1550;"SSE";30;40;40;0;0;;
2303;"unterhalb Lechner Mauern, 20 m südl. Wandruß";1575;"E";35;40;20;0;0;;
2304;"Schuttkegel südl- Lechner Mauem, 15m vor den Latschen";1675;"SE";30;50;20;0;0;704560;286131
2305;"Gretchensteig, 200m südl. der Felswand, orogr. Li. Des Steiges";;"S";30;20;40;0;0;704560;286131
2306;"Karlgraben, 30m unterhalb des Sattels";1755;"E";33;20;30;0;0;;
2307;"Schneegraben bei K. Ludwighaus, 5m über dem Grabengrund";1800;"N";25;4;70;0;0;702615;283543
2308;"Schneegraben bei K. Ludwighaus";1810;"W";35;4;98;0;0;702590;283556
2309;"Raxmauern, 30m unter der Plateaukante";1865;"SE";30;50;15;0;0;702536;283195
2310;"Bismarcksteig, 10m unter dem Weg im Grabenzentrum";1735;"SE";30;6;70;0;0;704131;285013
2311;"Bismarcksteig, 5m unter dem Steig";1760;"SE";35;3;60;0;0;704006;284940
2312;"Bismarcksteig, 40 m unter Steig";1735;"SE";20;10;50;0;0;704021;284890
2313;"Graben sw von Trinksteinhtt. am Fuß der orogr. re. Felswand";1810;"NNE";30;4;50;0;0;;
2314;"östlich Dreimarkstein";1845;"SE";25;10;20;0;0;;
2315;"Fuchslochsteig";1820;"SSW";30;60;50;0;0;701757;283215
2316;"Doline am Steilhang der Heukuppe";1885;"E";40;6;70;0;0;701930;283325
2317;"oberer Einhang zur Doline am Heukuppen-Südhang";1910;"SE";25;;70;0;0;701900;283341
2318;"Bärenkar-Heukuppe, orogr. li. Hang";1770;"E";30;100;65;0;0;701683;284071
2319;"Bärenkar vor Ebnerhütte";1655;"NE";10;10;98;0;0;701874;284176
2320;"Preinerwandschött, unter Königschuß wand";1390;"SSO";30;60;80;0;0;;
2321;"Preinerwandschütt Grat zur Königschußwand";1540;"SE";40;45;30;0;0;;
2322;"Scheibwaldhahe, östlich Waxriegel";1875;"W";2;35;100;0;0;704132;286751
2323;"am Hohen Stein, in Wegschleife";1720;"W";30;65;60;0;0;;
2324;"Gamsecksteig";1680;"NW";70;13;25;0;0;;
2325;"Bismarksteig, erste Schutthalde nach K. Ludwighaus";1790;"SE";85;15;;;;;
2326;"Großer Grieß";1610;"N";70;20;;;;;
2327;"Klobentörl";1600;"ESE";80;8;;;;;
2328;"südlich der Lechnermauem";1670;"N";70;3;;;;;
2329;"Plateaukante Bergstation";1570;"S";50;30;;;;;
2330;"Klobentörl";1600;"ESE";40;4;;;;;
2331;"Großer Grieß";1580;"SW";20;8;;;;;
2332;"Großer Grieß";1580;"S";30;100;;;;;
2333;"Bismarksteig";1780;"SE";30;50;;;;;
2334;"Großer Grieß";1610;"W";15;25;;;;;
2400;"am Weg Hofhalthütte - Seeweg, 20m unterhalb des Weges";1590;;20;300;;;;;
2401;"Törlweg";1460;"SSE";25;250;80;10;75;;
2402;"500m sw Jakobskogel";1680;"S";30;70;20;100;0;;
2403;"Naßkamm-S-Hang, direkt am Weg 200m westl der Gamseckschütt";1515;"WSW";30;300;;;;;
2404;"Im Gschirr";1545;"N";20;150;90;85;0;;
2405;"Verbindungsweg Hoflialt-Seehtt., 20m unterhalb des Weges";1590;"NW";20;300;80;0;60;;
2406;"150m nw des Weißkogel";1730;"NW";15;200;80;100;0;;
2407;"Klobentörl-Steig, direkt unter Abzweigung Lechnermauem";1530;"E";25;250;80;0;60;;
2408;"Gretchensteig vor der Waldgrenze";1555;"ESE";30;250;50;0;70;;
2409;"Bismarcksteig, direkt unter dem Weg";1815;;0;100;40;100;0;;
2410;"Praterstem-Ottohaus, bei altem Lift";1635;"NW";5;150;80;90;0;;
2411;"westlich Klobentörl";1660;"NNE";10;100;;;;;
2412;"südlich Kerschböndl gegen Mulde";1640;"NE";10;100;;;;;
2413;"südlich Lechnermauem, bei der Eishöhle";1640;"ESE";20;150;;;;;
2414;"Preinerwandkreuz";1780;"ESE";25;100;;;;;
2415;"Bergstation";1540;"SE";30;150;;;;;
2416;"bei Abzweigung Gaisloch";1500;;25;200;;;;;
2417;"westl. der Bergstation";1550;"N";15;100;;;;;
