plot,cov,t1cov,t2cov,scov,hcov,mcov,htl1,htl2,hsl,hhl1,hhl2,plsx,plsy,expo,slope,rock,bare,stones,date,comment,soil,location,latitude,longitude,accuracy,elevation,alliance,observer,rope
ws12,95,40,45,80,45,5,13,10,6,0.7,0.2,10,25,S,60,55,0,0,2014-08-10,,Mull-Rendzina,Falkensteinwand,47.757948N,13.398468E,10,,Tilenion platyphylli,R. Kaiser,"rope betray (wsx2-3'): 47.758251N,13.398779E, rope range (wsx2-3'' ±100m): 47.757841N,13.398364E"
ws13,80,0,7,15,65,7,0,7,4,0.8,0.25,8,8,S,30,40,0,0,2014-08-10,starker Wildverbiss,Rendzina,Falkensteinwand,47.758417N,13.398614E,10,,Seslerion coeruleae,R. Kaiser,
ws14,97,30,60,80,80,2,10,6,4,0.6,0.2,16,16,S,50,25,0,0,2014-10-10,unterer Teil des Felshanges,Mull-Rendzina,Bürgelstein,47.724231N,13.478160E,10,,Tilenion platyphylli,R. Kaiser,
ws15,95,15,70,75,80,5,10,7,5,0.7,0.3,10,25,S,70,20,0,0,2014-10-10,an der Felskante,Mull-Rendzina,Bürgelstein,47.724360N,13.477587E,10,,Tilenion platyphylli,R. Kaiser,
ws16,93,30,70,70,75,5,13,9,5,0.6,0.3,16,16,S,55,10,0,0,2014-10-10,,Mull-Rendzina,Bürgelstein,47.724209N,13.477276E,10,,Tilenion platyphylli,R. Kaiser,
ws17,97,25,80,75,90,2,15,13,5,0.8,0.3,16,16,S,60,5,0,0,2014-10-10,leichte Rinne,Mull-Rendzina,Bürgelstein,47.724296N,13.476989E,10,,Tilenion platyphylli,R. Kaiser,
ws18,95,45,80,80,85,10,13,10,5,0.8,0.3,16,16,S,70,15,0,0,2014-10-10,,Mull-Rendzina,Bürgelstein,47.724291N,13.476982E,10,,Tilenion platyphylli,R. Kaiser,
ws19,95,25,70,70,60,20,18,13,5,0.8,0.25,16,16,SW,70,30,0,0,2014-11-11,Fels oberhalb Promenade,Mull-Rendzina,Brunnwinkel,47.769865N,13.382808E,10,,Tilenion platyphylli,R. Kaiser,
ws20,90,40,55,65,65,10,18,15,4,0.7,0.25,25,10,SW,65,20,0,0,2014-11-11,Fels oberhalb Promenade,Mull-Rendzina,Brunnwinkel,47.770888N,13.379534E,10,,Tilenion platyphylli,R. Kaiser,
ws21,99,0,5,65,99,1,0,6,3,1,0.4,13,5,S,35,0,0,0,2015-06-03,Felsband SW Inschrift,Mull-Rendzina,Falkensteinwand,47.758040,13.396480,10,,Berberidion,R. Kaiser,
ws22,70,0,20,25,60,5,0,7,4.5,0.6,0.15,16,16,S,30,40,0,0,2015-06-03,Felskopf unterhalb Inschrift,Rendzina,Falkensteinwand,47.758020,13.396330,10,,Tilenion platyphylli,R. Kaiser,
ws23,60,12,20,50,5,5,9,6,3,0.8,0.2,10,25,S,70,40,0,0,2015-06-03,Uferfels SW Hochzeitskreuz,Rendzina,Hochzeitskreuz,47.759690,13.391070,10,,Cephalanthero-Fagenion,R. Kaiser,
ws24,85,15,10,50,80,5,8,6,3,0.6,0.3,16,16,W,65,25,0,0,2015-06-03,Uferfels SW Ochsenkreuz,Rendzina,Ochsenkreuz,47.762250,13.387120,10,,Cephalanthero-Fagenion,R. Kaiser,
ws25,95,70,30,60,80,3,12,8,6,0.9,0.2,16,16,W,40,5,0,0,2015-06-03,Felskante und Oberhang des Uferfelsens SW Ochsenkreuz,Rendzina,Ochsenkreuz,47.761953,13.387532,10,,Cephalanthero-Fagenion,R. Kaiser,
ws26,80,50,40,20,20,30,21,9,5,0.8,0.2,16,16,S,75,90,0,0,2015-06-04,Felshang E Felskopf südl. der Falkensteinwand,Mull-Rendzina,Falkensteinwand,47.756330,13.402670,10,,Tilenion platyphylli,R. Kaiser,
ws27,97,30,80,20,15,25,24,12,4,0.5,0.15,16,16,S,70,60,0,0,2015-06-04,Felshang E Felskopf südl. der Falkensteinwand,Mull-Rendzina,Falkensteinwand,47.756430,13.402880,10,,Tilenion platyphylli,R. Kaiser,
ws28,95,40,80,20,10,5,13,10,5,0.5,0.2,25,10,S,60,35,0,0,2015-06-04,entlang Felskante des Felshanges E Felskopf südl. der Falkensteinwand,Mull-Rendzina,Falkensteinwand,47.756460,13.402640,10,,Tilenion platyphylli,R. Kaiser,
ws29,60,0,20,20,30,2,0,10,4,0.8,0.15,16,16,S,70,60,0,0,2015-06-04,Felskopf S Falkensteinwand,Rendzina,Falkensteinwand,47.756400,13.402220,10,,Tilenion platyphylli,R. Kaiser,
ws30,95,50,60,3,15,1,28,16,4,0.5,0.15,16,16,SW,30,0,0,0,2015-06-04,unterhalb von Felswand im Wald SW Falkensteinwand,Rendzina,Falkensteinwand,47.756510,13.401580,10,,Cephalanthero-Fagenion,R. Kaiser,
wsx01,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.753437,13.428387,10,,Cephalanthero-Fagenion,R. Kaiser,
wsx02,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.753446,13.428973,10,,Cephalanthero-Fagenion,R. Kaiser,
wsx03,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.753219,13.429023,10,,Cephalanthero-Fagenion,R. Kaiser,
wsx04,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.7537426334,13.4288960704,5,,Cephalanthero-Fagenion,R. Kaiser,
wsx05,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.753882,13.428731,5,,Cephalanthero-Fagenion,R. Kaiser,
wsx06,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.754126,13.428714,10,,Cephalanthero-Fagenion,R. Kaiser,
wsx07,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.755101,13.422640,10,,Tilenion platyphylli,R. Kaiser,
wsx08,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.754981,13.423114,10,,Tilenion platyphylli,R. Kaiser,
wsx09,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.754861,13.423464,10,,Tilenion platyphylli,R. Kaiser,
wsx10,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.754738,13.423714,10,,Tilenion platyphylli,R. Kaiser,
wsx11,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.754483,13.424027,10,,Cephalanthero-Fagenion,R. Kaiser,
wsx12,,,,,,,,,,,,,,,,,,,2017-03-04,planned,,Hochwänd,47.754458,13.423608,10,,Cephalanthero-Fagenion,R. Kaiser,
wsx13,,,,,,,,,,,,,,,,,,,2015-04-16,planned,,Ochsenkreuz,47.762112,13.387312,10,,Tilenion platyphylli,R. Kaiser,
wsx14,,,,,,,,,,,,,,,,,,,2015-04-16,planned,,Ochsenkreuz,47.761303,13.387915,10,,Tilenion platyphylli,R. Kaiser,
wsx15,,,,,,,,,,,,,,,,,,,2015-04-16,planned,,Ochsenkreuz,47.762110,13.387190,10,,Tilenion platyphylli,R. Kaiser,
wsx16,,,,,,,,,,,,,,,,,,,2015-04-16,planned,,Bucht W Falkensteinwand,47.758950,13.392410,10,,Tilenion platyphylli,R. Kaiser,
wsx17,,,,,,,,,,,,,,,,,,,2015-04-16,planned,,Fürberg,47.763894,13.389300,10,,Tilenion platyphylli,R. Kaiser,
