taxon;matched.taxon;abbr
Sorbus aria agg.;Sorbus aria agg.;sorb aria
Stachys recta;Stachys recta s.lat.;stac rect slat
Verbascum lychnitis;Verbascum lychnitis;verb lych
Viscum album ssp. laxum;Viscum album s.str.;visc albu
Cornus sanguinea;Cornus sanguinea s.lat.;corn sang slat
Cotoneaster integerrimus;Cotoneaster integerrimus;coto inte
Cyclamen purpurascens;Cyclamen purpurascens;cycl purp
Daphne mezereum;Daphne mezereum;daph meze
Daphne mezereum;Daphne mezereum;daph meze
Euonymus verrucosus;Euonymus verrucosus;euon verr
Fagus sylvatica;Fagus sylvatica;fagu sylv
Galium sylvaticum;Galium sylvaticum s.str.;gali sylv
Hepatica nobilis;Hepatica nobilis;hepa nobi
Lonicera xylosteum;Lonicera xylosteum;loni xylo
Melica nutans;Melica nutans s.str.;meli nuta
Polygonatum multiflorum;Polygonatum multiflorum;poly mult
Rosa canina s.lat.;Rosa canina s.lat.;rosa cani slat
Sanguisorba minor;Sanguisorba minor s.lat.;sang mino slat
Sorbus aria agg.;Sorbus aria agg.;sorb aria
Tilia platyphyllos;Tilia platyphyllos;tili plat
Viburnum lantana;Viburnum lantana;vibu lant
Campanula rotundifolia agg.;Campanula rotundifolia agg.;camp rotu aggr
Crataegus monogyna;Crataegus monogyna;crat mono
Erysimum odoratum;Erysimum odoratum;erys odor
Pulsatilla pratensis;Pulsatilla pratensis s.lat.;puls prat slat
Salvia pratensis;Salvia pratensis ssp. pratensis;salv prat prat
Sedum sexangulare;Sedum sexangulare;sedu sexa
Tilia platyphyllos;Tilia platyphyllos;tili plat
Asplenium trichomanes;Asplenium trichomanes s.lat.;aspl tric slat
Cladonia chlorophaea;Cladonia chlorophaea;clad chlo
Rhytidiadelphus triquetrus;Rhytidiadelphus triquetrus;rhyt triq
Acer campestre;Acer campestre;acer camp
Astragalus glycyphyllos;Astragalus glycyphyllos;astr glyc
Bromus inermis;Bromus inermis;brom iner
Campanula glomerata;Campanula glomerata;camp glom
Dactylis glomerata agg.;Dactylis glomerata agg.;dact glom aggr
Festuca rupicola;Festuca rupicola;fest rupi cola
Sorbus torminalis;Sorbus torminalis;sorb torm
Taraxacum sect. Ruderalia;Taraxacum sect. Ruderalia;tara sect rude
Viola collina;Viola collina;viol coll
Brachypodium sylvaticum;Brachypodium sylvaticum;brac sylv
Carex michelii;Carex michelii;care mich
Galium pusillum agg.;Galium pusillum agg.;gali pusi aggr
Platanthera chlorantha;Platanthera montana;plat mont
Viola x scabra (V. hirta x odorata);Viola × scabra ;viol ×sca
Elymus repens;Elytrigia repens;elyt repe
Epipactis helleborine;Epipactis helleborine s.lat.;epip hell slat
Festuca rubra agg.;Festuca rubra agg.;fest rubr aggr
Juniperus communis;Juniperus communis s.lat.;juni comm slat
Stipa pennata;Stipa pennata s.str.;stip penn
Amblystegium serpens;Amblystegium serpens;ambl serp
Galium mollugo agg.;Galium mollugo agg.;gali moll aggr
Prunus mahaleb;Prunus mahaleb;prun maha
Rhamnus cathartica;Rhamnus cathartica;rham cath
Acer campestre;Acer campestre;acer camp
Centaurea triumfettii;Cyanus triumfettii;cyan triu
Crepis praemorsa;Crepis praemorsa;crep prae
Orchis ustulata;Orchis ustulata s.lat.;orch ustu slat
Pinus sylvestris;Pinus sylvestris;pinu sylv
Polygala major;Polygala major;poly majo
Populus tremula;Populus tremula;popu trem
Stipa dasyphylla;Stipa dasyphylla;stip dasi
Trifolium montanum;Trifolium montanum ssp. montanum;trif mont mont
Vicia cracca agg.;Vicia cracca agg.;vici crac aggr
Achillea nobilis;Achillea nobilis (s.lat.);achi nobi slat
Anthemis tinctoria;Anthemis tinctoria;anth tinc
Centaurea scabiosa;Centaurea scabiosa s.lat.;cent scab slat
Dictamnus albus;Dictamnus albus;dict albu
Melampyrum cristatum;Melampyrum cristatum;mela cris
Sorbus torminalis;Sorbus torminalis;sorb torm
Stipa capillata;Stipa capillata;stip capi
Valeriana wallrothii;Valeriana officinalis ssp. tenuifolia;vale offi tenu
Homalothecium sericeum;Homalothecium sericeum;homa seri
Lapsana communis;Lapsana communis s.lat.;laps comm slat
Potentilla tabernaemontani;Potentilla neumanniana;pote neum
Thymus pulegioides;Thymus pulegioides s.lat.;thym pule slat
Cornus sanguinea;Cornus sanguinea s.lat.;corn sang slat
Festuca valesiaca;Festuca valesiaca;fest vale
Orchis militaris;Orchis militaris;orch mili
Porella platyphylla;Porella platyphylla;pore plat
Torilis japonica;Torilis japonica s.str.;tori japo
Viola mirabilis;Viola mirabilis;viol mira
Artemisia campestris;Artemisia campestris;arte camp
Carlina acaulis;Carlina acaulis s.lat.;carl acau slat
Luzula campestris agg.;Luzula campestris agg.;luzu camp agg.
Calamagrostis arundinacea;Calamagrostis arundinacea;cala arun
Cladonia furcata;Cladonia furcata ssp. furcata;clad furc furc
Filipendula vulgaris;Filipendula vulgaris;fili vulg
Acer platanoides;Acer platanoides;acer plat
Agrostis vinealis;Agrostis vinealis;agro vine
Carex caryophyllea;Carex caryophyllea;care cary
Dryopteris filix-mas;Dryopteris filix-mas s.str.;dryo fili
Senecio viscosus;Senecio viscosus;sene visc
Parmelia somloensis;Xanthoparmelia stenophylla;xant sten
Potentilla argentea;Potentilla argentea s.lat.;pote arge slat
Scleranthus perennis;Scleranthus perennis;scle pere
Carex supina;Carex supina;care supi
Lophocolea minor;Lophocolea minor;loph mino
Myosotis ramosissima;Myosotis ramosissima ssp. ramosissima;myos ramo ramo
Saxifraga granulata;Saxifraga granulata ssp. granulata;saxi gran gran
Veronica chamaedrys agg.;Veronica chamaedrys s.lat.;vero cham slat
Viola tricolor ssp. saxatilis;Viola tricolor ssp. saxatilis;viol tric saxa
Pleurozium schreberi;Pleurozium schreberi;pleu schr
Pinus nigra;Pinus nigra ssp. nigra;pinu nigr nigr
Hypochaeris maculata;Hypochaeris maculata;hypo macu
Platanthera bifolia;Platanthera bifolia;plat bifo
Pohlia nutans;Pohlia nutans s.lat.;pohl nuta slat
Robinia pseudacacia;Robinia pseudacacia;robi pseu
Arabidopsis thaliana;Arabidopsis thaliana;arab thal
Artemisia absinthium;Artemisia absinthium;arte absi
Betula pendula;Betula pendula;betu pend
Lasallia pustulata;Lasallia pustulata;lasa pust
Myosotis stricta;Myosotis stricta;myos stri
Parmelia loxodes;Parmelia loxodes;parm loxo
Centaurium erythraea;Centaurium erythraea ssp. erythraea;cent eryt eryt
Rumex acetosa;Rumex acetosa;rume acet osa
Silene vulgaris;Silene vulgaris s.lat.;sile vulg slat
Mycelis muralis;Lactuca muralis;lact mura
Consolida regalis;Consolida regalis ssp. regalis;cons rega rega
Galeopsis ladanum;Galeopsis ladanum s.str.;gale lada
Pseudevernia furfuracea;Pseudevernia furfuracea s.lat.;pseu furf slat
Leucobryum glaucum;Leucobryum glaucum;leuc glau
Hieracium bauhinii;Hieracium bauhini;hier bauh
Carex muricata agg.;Carex muricata agg.;care muri aggr
Eryngium campestre;Eryngium campestre;eryn camp
Parmelia sulcata;Parmelia sulcata;parm sulc
Melampyrum pratense;Melampyrum pratense;mela prat
Hylocomium splendens;Hylocomium splendens;hylo sple
Linaria vulgaris;Linaria vulgaris s.str.;lina vulg
Rhamnus cathartica;Rhamnus cathartica;rham cath
Pyrus communis agg.;Pyrus communis agg.;pyru comm aggr
Fraxinus excelsior;Fraxinus excelsior;frax exce
Geranium robertianum;Geranium robertianum s.str.;gera robe
Acer platanoides;Acer platanoides;acer plat
Hypericum montanum;Hypericum montanum;hype mont
Iris variegata;Iris variegata;iris vari
Asarum europaeum;Asarum europaeum;asar euro
Chaerophyllum temulum;Chaerophyllum temulum;chae temu
Pulmonaria officinalis agg.;Pulmonaria officinalis agg.;pulm offi aggr
Lactuca quercina;Lactuca quercina;lact quer
Fallopia dumetorum;Fallopia dumetorum;fall dume
Pinus sylvestris;Pinus sylvestris;pinu sylv
Sorbus aucuparia;Sorbus aucuparia ssp. aucuparia;sorb aucu aucu
Veronica dillenii;Veronica dillenii;vero dill
Filago arvensis;Filago arvensis;fila arve
Cladonia arbuscula;Cladonia arbuscula s.lat.;clad arbu slat
Asparagus officinalis;Asparagus officinalis;aspa offi offi
Ulmus minor;Ulmus minor ssp. minor;ulmu mino mino
Quercus pubescens agg.;Quercus pubescens ssp. pubescens;quer pube pube
Ajuga reptans;Ajuga reptans;ajug rept
Anemone nemorosa;Anemone nemorosa;anem nemo
Frangula alnus;Frangula alnus;fran alnu
Hypnum pallescens;Hypnum pallescens s.lat.;hypn pall slat
Lathyrus vernus;Lathyrus vernus;lath vern
Potentilla alba;Potentilla alba;pote alba
Scrophularia nodosa;Scrophularia nodosa;scro nodo
Serratula tinctoria;Serratula tinctoria s.str.;serr tinc
Symphytum tuberosum auct. medioeur.;Symphytum tuberosum s.lat.;symp tube slat
Vaccinium myrtillus;Vaccinium myrtillus;vacc myrt
Frangula alnus;Frangula alnus;fran alnu
Galium boreale;Galium boreale s.str.;gali bore
Molinia caerulea agg.;Molinia caerulea agg.;moli caer aggr
Urtica dioica;Urtica dioica s.lat.;urti dioc slat
Campanula trachelium;Campanula trachelium;camp trac
Melittis melissophyllum;Melittis melissophyllum;meli meli
Plagiomnium cuspidatum;Plagiomnium cuspidatum;plag cusp
Potentilla erecta;Potentilla erecta;pote erec
Rhizomnium punctatum;Rhizomnium punctatum;rhiz punc
Selinum carvifolia;Selinum carvifolia;seli carv
Vicia sepium;Vicia sepium;vici sepi
Viola riviniana;Viola riviniana;viol rivi
Maianthemum bifolium;Maianthemum bifolium;maia bifo
Quercus robur;Quercus robur;quer robu
Rubus idaeus;Rubus idaeus;rubu idae
Succisa pratensis;Succisa pratensis;succ prat
Aegopodium podagraria;Aegopodium podagraria;aego poda
Alnus glutinosa;Alnus glutinosa;alnu glut
Calamagrostis epigejos;Calamagrostis epigejos;cala epig
Callitriche palustris agg.;Callitriche palustris agg.;call palu aggr
Carex acutiformis;Carex acutiformis;care acut rmis
Carex remota;Carex remota ssp. remota;care remo remo
Carex sylvatica;Carex sylvatica ssp. sylvatica;care sylv
Carex umbrosa;Carex umbrosa ssp. umbrosa;care umbr
Circaea lutetiana;Circaea lutetiana ssp. lutetiana;circ lute lute
Deschampsia cespitosa;Deschampsia cespitosa;desc cesp
Dryopteris carthusiana;Dryopteris carthusiana s.str.;dryo cart
Epilobium roseum;Epilobium roseum;epil rose
Equisetum arvense;Equisetum arvense;equi arve
Equisetum sylvaticum;Equisetum sylvaticum;equi sylv
Euonymus europaeus;Euonymus europaeus;euon euro
Festuca gigantea;Festuca gigantea;fest giga
Filipendula ulmaria;Filipendula ulmaria;fili ulma
Fraxinus excelsior;Fraxinus excelsior;frax exce
Galeobdolon montanum;Galeobdolon montanum;gale mont
Galeopsis speciosa;Galeopsis speciosa;gale spec iosa
Lysimachia nummularia;Lysimachia nummularia;lysi numm
Lysimachia vulgaris;Lysimachia vulgaris;lysi vulg
Myosotis scorpioides;Myosotis scorpioides ssp. scorpioides;myos scor scor
Oxalis acetosella;Oxalis acetosella;oxal acet
Plagiomnium undulatum;Plagiomnium undulatum;plag nium undu
Ranunculus repens;Ranunculus repens;ranu repe
Rubus caesius;Rubus caesius;rubu caes
Solanum dulcamara;Solanum dulcamara;sola dulc
Stachys sylvatica;Stachys sylvatica;stac sylv
Alnus glutinosa;Alnus glutinosa;alnu glut
Cardamine amara;Cardamine amara s.lat.;card amar slat
Carex cespitosa;Carex cespitosa;care cesp
Carex echinata;Carex echinata;care echi
Carex elongata;Carex elongata;care elon
Carex vesicaria;Carex vesicaria;care vesi
Chiloscyphus polyanthos var. pallescens;Chiloscyphus pallescens;chil pall
Chiloscyphus polyanthos var. polyanthos;Chiloscyphus polyanthos;chil poly
Dryopteris dilatata;Dryopteris dilatata;dryo dila
Epilobium ciliatum;Epilobium ciliatum ssp. ciliatum;epil cili cili
Galium palustre;Galium palustre s.lat.;gali palu slat
Herzogiella seligeri;Herzogiella seligeri;herz seli
Humulus lupulus;Humulus lupulus;humu lupu
Juncus effusus;Juncus effusus ssp. effusus;junc effu
Lophocolea heterophylla;Lophocolea heterophylla;lopc hete
Phalaris arundinacea;Phalaris arundinacea;phal arun
Ranunculus flammula;Ranunculus flammula s.str.;ranu flam
Scirpus sylvaticus;Scirpus sylvaticus;scir sylv
Scutellaria galericulata;Scutellaria galericulata;scut gale
Athyrium filix-femina;Athyrium filix-femina;athy fili
Carex pallescens;Carex pallescens;care pall
Eurhynchium hians;Oxyrrhynchium hians var. hians;oxyr hian hian
Lycopus europaeus;Lycopus europaeus s.lat.;lyco euro slat
Mentha aquatica;Mentha aquatica;ment aqua
Moehringia trinervia;Moehringia trinervia;moeh trin
Plagiothecium cavifolium;Plagiothecium cavifolium;plag cavi
Rubus fruticosus agg.;Rubus fruticosus agg.;rubu frut aggr
Caltha palustris;Caltha palustris;calt palu
Carex brizoides;Carex brizoides;care briz
Cirsium oleraceum;Cirsium oleraceum;cirs oler
Crepis paludosa;Crepis paludosa;crep palu
Lychnis flos-cuculi;Lychnis flos-cuculi;lych flos cucu
Lythrum salicaria;Lythrum salicaria;lyth sali
Plagiothecium denticulatum;Plagiothecium denticulatum;plag dent
Poa trivialis;Poa trivialis;poa triv
Ranunculus auricomus s.lat.;Ranunculus auricomus agg.;ranu auri aggr
Ranunculus ficaria ssp. bulbilifer;Ficaria verna ssp. verna;fica vern vern
Sambucus nigra;Sambucus nigra;samb nigr
Stellaria alsine;Stellaria alsine;stel alsi
Alchemilla species;Alchemilla sp.;alch spec ies
Calliergonella cuspidata;Calliergonella cuspidata;call cusp
Cirsium palustre;Cirsium palustre;cirs palu
Galium odoratum;Galium odoratum;gali odor
Paris quadrifolia;Paris quadrifolia;pari quad
Primula elatior;Primula elatior s.str.;prim elat
Ranunculus lanuginosus;Ranunculus lanuginosus;ranu lanu
Rubus idaeus;Rubus idaeus;rubu idae
Sanicula europaea;Sanicula europaea;sani euro
Tephroseris crispa;Tephroseris crispa;teph cris
Valeriana dioica;Valeriana dioica;vale dioi dioi
Veronica beccabunga;Veronica beccabunga;vero becc
Alopecurus pratensis;Alopecurus pratensis;alop prat
Angelica sylvestris;Angelica sylvestris s.lat.;ange sylv slat
Brachythecium species;Brachythecium sp.;brac spec ies
Fraxinus excelsior;Fraxinus excelsior;frax exce
Galeopsis pubescens;Galeopsis pubescens ssp. pubescens;gale pube pube
Galium uliginosum;Galium uliginosum;gali ulig
Geranium palustre;Geranium palustre;gera palu
Glyceria notata;Glyceria notata;glyc nota
Holcus lanatus;Holcus lanatus;holc lana
Impatiens noli-tangere;Impatiens noli-tangere;impa noli
Epilobium montanum;Epilobium montanum;epil mont
Knautia drymeia;Knautia drymeia;knau drym
Lophocolea bidentata;Lophocolea bidentata;loph bide
Equisetum fluviatile;Equisetum fluviatile;equi fluv
Equisetum palustre;Equisetum palustre;equi palu
Impatiens parviflora;Impatiens parviflora;impa parv
Rubus caesius;Rubus caesius;rubu caes
Rumex obtusifolius;Rumex obtusifolius s.lat.;rume obtu slat
Salix cinerea;Salix cinerea s.str.;sali cine
Carex acuta;Carex acuta;care acut a
Carex paniculata;Carex paniculata ssp. paniculata;care pani pani
Persicaria hydropiper;Persicaria hydropiper;pers hydr
Poa palustris;Poa palustris;poa palu
Sanguisorba officinalis;Sanguisorba officinalis;sang offi
Stellaria media agg.;Stellaria media agg.;stel medi aggr
Brachythecium rutabulum;Brachythecium rutabulum;brac ruta
Sambucus nigra;Sambucus nigra;samb nigr
Alnus glutinosa;Alnus glutinosa;alnu glut
Carex flava;Carex flava s.lat.;care flav slat
Carex hartmanii;Carex hartmanii;care hart
Carex canescens;Carex canescens ssp. canescens;care cane cane
Sorbus aucuparia ssp. aucuparia;Sorbus aucuparia ssp. aucuparia;sorb aucu aucu
Sorbus aucuparia ssp. aucuparia;Sorbus aucuparia ssp. aucuparia;sorb aucu aucu
Viola reichenbachiana;Viola reichenbachiana;viol reic
Salix aurita;Salix aurita;sali auri
Eupatorium cannabinum;Eupatorium cannabinum;eupa cann
Sorbus aucuparia ssp. aucuparia;Sorbus aucuparia ssp. aucuparia;sorb aucu aucu
Viburnum opulus;Viburnum opulus;vibu opul
Chelidonium majus;Chelidonium majus;chel maju
Hedera helix;Hedera helix;hede heli
Heracleum sphondylium;Heracleum sphondylium ssp. sphondylium;hera spho spho
Myosoton aquaticum;Stellaria aquatica;stel aqua
Ranunculus sceleratus;Ranunculus sceleratus;ranu scel
Salix fragilis agg.;Salix fragilis agg.;sali frag aggr
Acer pseudoplatanus;Acer pseudoplatanus;acer pseu
Acer pseudoplatanus;Acer pseudoplatanus;acer pseu
Acer pseudoplatanus;Acer pseudoplatanus;acer pseu
Elymus caninus;Elymus caninus;elym cani
Equisetum pratense;Equisetum pratense;equi prat
Lamium maculatum;Lamium maculatum;lami macu
