;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Silene vulgaris glareosa;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Reseda lutea;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Chaenorrhinum minus;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Thymus praecox;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Galium lucidum;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Clematis vitalba;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Taraxacum officinale;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Calamintha nepetoides;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Hieracium piloselloides agg;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Dianthus sylvestris;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Saponaria ocyaioides;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Lappula squarroea;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Buphthalmum aalicifolium;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Leontodon hispidus;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Hieraciuxn murorum/bifiduum;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Tortalla inclinata;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Linum catharticum;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Tortella tortuosa;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Leontodon incanus;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Carex omithopoda;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Polygala chamaebuxus;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Salix appendiculata K;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Carex sempervirens;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
Aecr pseudoplatanus;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;|;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
