"taxon";"matched.taxon";"abbr"
"Thymus praecox ssp. polytrichus";"Thymus praecox ssp. polytrichus";"thym prae poly"
"Euphrasia minima";"Euphrasia minima s.str.";"euph mini"
"Gentiana pannonica";"Gentiana pannonica";"gent pann"
"Prunella vulgaris";"Prunella vulgaris";"prun vulg"
"Bellis perennis";"Bellis perennis";"bell pere"
"Pedicularis rostrato-spicata";"Pedicularis rostratospicata ssp. rostratospicata";"pedi rost cata"
"Festuca pulchella";"Festuca pulchella ssp. pulchella";"fest pulc pulc"
"Agrostis schraderana";"Agrostis agrostiflora";"agro agro"
"Aarostis stolonifera";"Agrostis stolonifera s.str.";"agro stol"
"Coeloglossum viride";"Coeloglossum viride";"coel viri"
"Thesium alpinum";"Thesium alpinum";"thes alpi"
"Carex atrata";"Carex atrata";"care atra"
"Trollius europaeus";"Trollius europaeus";"trol euro"
"Euphrasia salisburgensis";"Euphrasia salisburgensis s.str.";"euph sali"
"Briza media";"Briza media";"briz medi"
"Acinos alpinus";"Clinopodium alpinum ssp. alpinum";"clin alpi alpi"
"Scabiosa lucida";"Scabiosa lucida ssp. lucida";"scab luci luci"
"Polygala alpestris";"Polygala alpestris ssp. alpestris";"poly alpe alpe"
"Festuca pumila";"Festuca pumila";"fest pumi"
"Dryas octopetala";"Dryas octopetala";"drya octo"
"Sesleria varia";"Sesleria caerulea s.str.";"sesl caer"
"Carex sempervirens";"Carex sempervirens ssp. sempervirens";"care semp semp"
"Anthyllis vulneraria";"Anthyllis vulneraria ssp. alpicola";"anth vuln alpi"
"Agrostis alpina";"Agrostis alpina s.str.";"agro alpi"
"Carlina acaulis ssp. acaulis";"Carlina acaulis ssp. acaulis";"carl acau acau"
"Achillea clavaene";"Achillea clavennae";"achi clav"
"Erigeron polymorphus";"Erigeron glabratus ssp. glabratus";"erig glab glab"
"Hieracium villosum";"Hieracium villosum";"hier vill"
"Carex firma";"Carex firma";"care firm"
"Loiseleuria procumbens";"Loiseleuria procumbens";"lois proc"
"Homogyne alpina";"Homogyne alpina";"homo alpi"
"Silene acaulis";"Silene acaulis ssp. longiscapa";"sile acau long"
"Festuca rupicaprina";"Festuca rupicaprina";"fest rupi rina"
"Ranunculus alpestris";"Ranunculus alpestris s.str.";"ranu alpe"
"Tofieldia calyculata";"Tofieldia calyculata";"tofi caly"
"Primula clusiana";"Primula clusiana";"prim clus"
"Bartsia alpina";"Bartsia alpina";"bart alpi"
"Primula minima";"Primula minima";"prim mini"
"Veronica alpina";"Veronica alpina";"vero alpi"
"Veronica fruticans";"Veronica fruticans";"vero frut cans"
"Veronica aphylla";"Veronica aphylla";"vero aphy"
"Gentiana nivalis";"Gentiana nivalis";"gent niva"
"Saxifraga androsaceae";"Saxifraga androsacea";"saxi andr"
"Carex parviflora";"Carex parviflora";"care parv"
"Gentiana bavarica";"Gentiana bavarica s.str.";"gent bava"
"Potentilla brauneana";"Potentilla brauneana";"pote brau"
"Galium noricum";"Galium noricum";"gali nori"
"Sibbaldia procumbens";"Sibbaldia procumbens";"sibb proc"
"Gnaphalium supinum";"Gnaphalium supinum";"gnap supi"
"Festuca nigrescens";"Festuca nigrescens";"fest nigr cens"
"Euphrasia picta";"Euphrasia officinalis ssp. picta";"euph offi pict"
"Geum montanum";"Geum montanum";"geum mont"
"Soldanella pusilla";"Soldanella pusilla ssp. alpicola";"sold pusi alpi"
"Phleum commutatum";"Phleum commutatum";"phle comm"
"Ligusticum mutellina";"Mutellina adonidifolia";"mute adon"
"Rumex alpestris";"Rumex alpestris";"rume alpe"
"Viola biflora";"Viola biflora";"viol bifl"
"Hypericum maculatum";"Hypericum maculatum s.str.";"hype macu"
"Festuca rubra ssp. rubra";"Festuca rubra ssp. rubra";"fest rubr rubr"
"Veratrum album";"Veratrum album ssp. album";"vera albu albu"
"Deschampsia cespitosa";"Deschampsia cespitosa";"desc cesp"
"Aconitum napellus tauricum";"Aconitum tauricum ssp. tauricum";"acon taur taur"
"Geranium sylvaticum";"Geranium sylvaticum";"gera sylv"
"Peucedanum ostruthium";"Peucedanum ostruthium";"peuc ostr"
"Pedicularis recutita";"Pedicularis recutita";"pedi recu"
"Adenostyles alliariae";"Adenostyles alliariae";"aden alli"
"Chaerophyflum hirsutum";"Chaerophyllum hirsutum s.str.";"chae hirs"
"Chrysosplenium alternifolium";"Chrysosplenium alternifolium";"chry alte"
"Rumex alpinus";"Rumex alpinus";"rume alpi"
"Stellaria nemorum nemorum";"Stellaria nemorum s.str.";"stel nemo"
"Cardamine amara";"Cardamine amara ssp. austriaca";"card amar aust"
"Poa supina";"Poa supina";"poa supi"
"Veronica serpyllifolia humifusa";"Veronica serpyllifolia ssp. humifusa";"vero serp humi"
"Ranunculus repens";"Ranunculus repens";"ranu repe"
"Trifolium repens ssp. repens";"Trifolium repens ssp. repens";"trif repe repe"
"Cardamine pratensis";"Cardamine pratensis s.str.";"card prat"
"Veronica urticifolia";"Veronica urticifolia";"vero urti"
"Urtica dioica";"Urtica dioica ssp. dioica";"urti dioi dioi"
"Senecio subalpinus";"Senecio subalpinus";"sene suba"
"Carex flava";"Carex flava s.lat.";"care flav slat"
"Carex nigra";"Carex nigra";"care nigr"
"Epilobium nutans";"Epilobium nutans";"epil nuta"
"Carex rostrata";"Carex rostrata";"care rost"
"Trichophorum cespitosum";"Trichophorum cespitosum ssp. cespitosum";"tric cesp cesp"
"Carex echinata";"Carex echinata";"care echi"
"Eriophorum angustifolium";"Eriophorum angustifolium";"erio angu"
"Calycocorsus stipitatus";"Willemetia stipitata ssp. stipitata";"will stip stip"
"Eriophorum scheuchzeri";"Eriophorum scheuchzeri";"erio sche"
"Juncus filiformis";"Juncus filiformis";"junc fili"
"Achillea atrata";"Achillea atrata";"achi atra"
"Arabis pumila";"Arabis bellidifolia s.str.";"arab bell"
"Cerastium carinthiacum";"Cerastium carinthiacum ssp. carinthiacum";"cera cari cari"
"Campanula pulla";"Campanula pulla";"camp pull"
"Silene vulgaris";"Silene vulgaris ssp. vulgaris";"sile vulg vulg"
"Arabis alpina";"Arabis alpina ssp. alpina";"arab alpi alpi"
"Epilobium anagallidifolium";"Epilobium anagallidifolium";"epil anag"
"Hutchinsia alpina";"Hornungia alpina ssp. alpina";"horn alpi alpi"
"Saxifraga stellaris";"Saxifraga stellaris ssp. robusta";"saxi stel robu"
"Taraxacum alpinum agg.";"Taraxacum sect. Alpina";"tara sect alpi"
"Cystopleris regia";"Cystopteris alpina";"cyst alpi"
"Arabis caerulea";"Arabis caerulea";"arab caer"
"Poa minor";"Poa minor";"poa mino"
"Moehringia ciliata";"Moehringia ciliata";"moeh cili"
