Aufnahme;Aufnahmedatum;Seehöhe;Exposition;Neigung;Lokalität
4066;1996-08-19;2010;N;70;Abzweigung Ochsen reich kar - Edelbodenalm
4067;1996-08-20;2030;KEX;0;Nordwestlich Wetterkogcl
4068;1996-08-20;1925;NE;20;Ochsenreichkar
4069;1996-08-20;1835;SE;15;Ochsenreichkar
4070;1996-08-20;1800;KEX;0;Ochsenreichkar
4071;1996-08-20;1795;KEX;0;Ochsenreichkar
4072;1996-08-20;4072;KEX;0;Ringkamp - Südhang
4073;1996-08-20;2100;S;30;Ringkamp - Südhang
4074;1996-08-22;2090;S;30;Ringkamp - Südhang
4075;1996-08-20;2125;S;30;Ringkamp - Nordhang
4076;1996-08-20;2125;NW;25;Ringkamp - Nordhang
4077;1996-08-20;2145;S;25;Ringkamp Südhang
4078;1996-08-20;1985;KEX;0;Wetterkogel
4079;1996-08-21;2020;KEX;35;Orogr. rechte Rinne des Ringkamp Nordhanges gegen die Edelbodenalm
4080;1996-08-21;1855;N;35;Ringkamp Nordhang
4081;1996-08-21;1805;NE;30;Ringkamp Nordhang
4082;1996-08-21;1650;N;10;Himmelmauer, Almfläche
4083;1996-08-21;1420;KEX;0;Edelbodenalm, Ostseite
4084;1996-08-21;1415;S;20;Edelbodenalm, Ostseite
4085;1996-08-21;1360;NW;5;Edelbodenalm. Zentralbereich
4086;1996-08-22;1585;E;15;Mitterbodenalm
4087;1996-08-22;1715;SW;0;Staritzen Ostgipfel
4088;1996-08-22;1745;W;5;Staritzen, Ostgipfel, Wegweiser Graualm-Seebergsattel
4089;1996-08-22;1770;NW;20;Staritzen Ostgipfel
4090;1996-08-22;1795;SE;5;Staritzen Ostgipfel
4091;1996-08-22;1795;N;10;Staritzen Ostgipfel
4092;1996-08-22;1780;N;10;Staritzen Ostgipfel
4093;1996-08-22;1760;E;25;Staritzen Ostgipfel, Graben gegen Leitneralm
4094;1996-08-22;1510;N;10;Mitterbodenalm
4095;1996-08-23;1390;KEX;2;Untere Dullwitz, Voisthalergasse, unmitelbar bei Aufn 4204
4097;1997-07-09;1430;S;30;ober Nordrand des Sackwiessees
4098;1997-07-09;1470;S;40;ober Nordrand des Sackwiesses
4099;1997-07-09;1720;E;15;Karboden südwestlich vom Öhler
4100;1997-07-09;1790;NE;2;Kar-Hang südwestlich des öhler
4101;1997-07-10;1690;S;35;Hang ober der Hirschgrube, nordwestlich des Zinken
4102;1997-07-10;1700;SSE;35;Nördlicher Rand der Hirschgrube, nördlich des Zinken
4103;1997-07-10;1710;KEX;0;Hirschgrube
4104;1997-07-10;1710;SSW;2;im Hirsch graben
4105;1997-07-10;1710;SW;10;im Hirschgraben
4106;1997-07-10;1850;NW;15;Hanglage südöstlich Hundsböden
4107;1997-07-11;2000;E;25;Westhang Ochsenreichkar
4108;1997-07-14;1705;N;15;Seeleiten
4109;1997-07-14;1690;KEX;0;Seeleiten
4110;1997-07-14;1675;KEX;0;Seelei tcn
4111;1997-07-14;1795;KEX;0;große Dohne westlich Mieserkogel
4112;1997-07-14;1770;KEX;0;Große Doline westlich Mieserkogel
4113;1997-07-14;1785;KEX;0;Westlich Mieserkogel
4114;1997-07-14;1775;W;10;große Doline westlich Mieserkogel
4115;1997-07-14;1905;KEX;0;Rotlacken
4116;1997-07-14;1910;KEX;0;Rotlacken
4117;1997-07-14;1920;KEX;0;
4118;1997-07-14;1945;KEX;0;Dürrwiesen
4119;1997-07-14;1915;KEX;0;Doline südöstlich Dürrwiesen
4120;1997-07-14;2115;KEX;0;Schiestelhaus
4121;1997-07-14;1650;NW;25;Samstatt
4122;1997-07-14;1650;NNE;35;Samstatt
4123;1997-07-14;2050;KEX;2;Weg zur Schiestelhütre, kurz unterhalb der Abzweigung zur Voithstaler Hütte
4124;1997-07-15;2050;N;15;über den Wasserböden
4125;1997-07-15;1980;N;5;Doline westlich Wetterkogel
4126;1997-07-15;2035;KEX;0;Doline westlich Wctterkogel
4127;1997-07-15;1815;N;5;Doline wesltich Wetterkogel
4128;1997-07-16;2105;NNW;28;Gschrödcrer Kar, Nordhang
4129;1997-07-16;2105;NNW;28;Gschröderer Kar, Nordhang
4130;1997-07-16;1990;KEX;0;Übergang zum Trcmel
4131;1997-07-16;1940;SW;5;nordwestlich Siebenbrunnkogel
4132;1997-07-16;1945;SW;10;nordwestlich Sicbenbrunnerkogel
4133;1997-07-16;1935;NW;35;südlich des Tremmel
4134;1997-07-16;1935;W;2;nordöstlich Tremmel
4135;1997-07-16;1835;KEX;0;Am Tremmel
4136;1997-07-16;1850;S;30;Südhang des Tremmel gegen Gschrödererkar
4137;1997-07-16;1990;NW;5;Übergang zum Tremmel
4138;1997-07-17;2050;W;5;Siebenbrunnenkoge, am Grat
4139;1997-07-17;1875;SSW;15;Am Tremmel
4140;1997-07-17;1865;S;30;Tremmel, Südhang
4141;1997-07-17;1855;KEX;0;Am Tremmel
4142;1997-07-17;1855;SWW;5;Tremmel, Ostgrat
4143;1997-07-17;1780;KEX;2;Gschrödererkar
4144;1997-07-17;2120;N;70;Eismauer, oberer Wandabschnitt
4145;1997-07-17;2175;N;30;Eismauer, oberer Wandabschnitt
4146;1997-07-22;1465;E;10;Gschröderer Kar, Unterrand
4147;1997-07-22;1480;NNE;25;Gschröderer Kar
4148;1997-07-22;1660;NWW;17;Gschröderer Kar
4149;1997-07-23;1865;NE;20;Gschröderer Kar
4150;1997-07-22;1715;NE;25;Gschröderer Kar
4151;1997-07-24;1945;NWW;10;Nördlich Schönhaltereck
4152;1997-07-24;1970;NNW;10;nördlich Schönhaltereck
4153;1994-07-24;1850;SW;25;Übergang zum Tremmel
4154;1997-07-24;2120;NW;5;Abzweigung Schiestelhaus - Gschröderer Kar
4155;1997-07-24;2140;W;5;Verebnungen vor dem Schiestelhaus
4156;1997-08-04;1650;KEX;2;Gschröderer Kar
4157;1997-08-05;2170;N;2;nordöstlich Zagelkogel
4158;1997-08-05;2050;KEX;2;westlich Wasserböden
4159;1997-08-05;2170;N;10;nordöstlich Zagelkogel
4160;1997-08-05;2165;NNE;10;nördlich Zagelkogel
4161;1997-07-05;2155;KEX;0;nordöstlich Zagelkogel
4162;1997-08-07;1930;NW;15;Wasserböden
4163;1997-08-07;2195;SWW;5;nördlich G'hacktkogel
4164;1997-08-07;2120;KEX;2;Graben nördlich Fleischer-Biwak
4165;1997-08-07;2190;N;20;Nördlich G'hacktkogel
4166;1997-08-08;2085;NW;25;Abstieg zum Gschrödererkar
4167;1997-08-08;1960;KEX;2;Schönhaltereck, Tremmel nördlich
4168;1997-08-08;1970;KEX;0;westlich Schönhaltereck
4169;1997-08-09;1960;W;5;nordwestlich Schönhaltereck
4170;1997-08-08;1940;NE;30;Tremmel, nordöstlich Schönhaltereck
4171;1997-08-08;1920;KEX;0;Tremmel, Sattel bei Doline
4172;1997-08-08;1965;N;15;am Tremmel, nördlich Schönhaltereck
4174;1997-08-09;2110;NE;30;Weg Schiestelhaus - Ochsenreichkar, kurz nach der Hütte, rechts vom Weg
4175;1997-08-09;2070;SW;25;am Weg Schiestelhaus - Ochsenreichkar
4176;1997-08-11;1960;SW;15;Südhang der Ringkarwand
4177;1997-08-12;2045;SE;10;Abzweigung Schiestelhaus-Voithstaler Hütte
4178;1997-08-17;2000;w;5;westlich Abstieg zur Voithsraler kurz nach Abzweigung zum Ochsenreichkar
4179;1997-08-25;1460;w;2;Murmelboden
4180;1997-08-25;1460;s;5;Murmelboden
4181;1997-08-25;1670;KEX;2;500m nach Schafhalssattel in Richtung Sonnschienhütte
4182;1997-08-25;1670;W;10;Almen beim Schafhalssattel
4183;1997-08-26;1530;SE;35;südlich Sonnschienalm
4184;1997-08-26;1455;KEX;2;Murmelboden
4185;1997-08-26;1455;KEX;0;Murmelboden
4186;1997-08-26;1450;KEX;2;Murmelboden
4187;1997-08-26;1440;N;5;Murmelboden
4188;1997-08-26;1460;NE;30;Murmelboden
4189;1997-08-26;0;9;2;
4190;1997-08-26;1495;S;20;Murmelboden gegen Ebenstem
4191;1997-08-26;1450;SE;20;Murmelboden
4192;1997-08-26;1550;E;30;Murmelboden Hang gegen Norden
4193;1997-08-26;1595;E;35;Osthang des kleinen Ebenstein ober Murmelboden
4194;1997-08-27;1650;W;15;Häuslberg
4195;1997-08-27;1650;NW;15;Häuslberg
4196;1997-08-27;1650;EEN;20;Häuslberg
4197;1997-08-27;1650;MEX;10;Häuslberg
4198;1997-08-27;1630;NWW;15;am Weg zwischen Häuselalm und Hirschboden
4199;1997-08-27;1735;S;25;Nördlich Zinken
4200;1997-08-27;1730;SW;20;Nördlich Zinken
4201;1997-09-14;1475;E;35;Graualm
4202;1997-09-10;1615;N;5;Spitzboden westlich Sonnschienhütte
4203;1997-09-10;1435;S;25;Kuhalm südlich der Androthalm
4204;1996-08-23;1390;KEX;2;Untere Dullwitz gegen Voisthalergasse, unter den Wänden westl. der Höllmauer
4205;1996-08-23;1400;NW;10;Untere Dullwitz in der Voisthalergasse gegen LA-Wald und Latschen
4206;1996-08-23;1650;S;25;Kühreichkar, Muldenboden mit mehreren kleinen Dolinen
4207;1996-08-23;1680;S;25;Kühreichkar, Steig in mittlerer großer Mulde
4208;1996-08-23;1740;E;20;Kühreichkar, über mittlerer, großen Mulde
4209;1996-08-23;1740;SW;30;Kühreichkar, oberste Mulde
4210;1996-08-23;1760;W;20;Kühreichkar, nördl. der Scharte zur oberen großen Mulde
4211;1996-08-23;1790;E;30;Große Schutthalde unter Wetterkogel, gegen oberste Mulde
4212;1996-08-23;1790;E;30;Große Schutthalde unte Wetterkogel, gegen obere Mulde
4213;1996-08-24;1840;SW;20;Südwestlich Hutkogel, erste große Schutthalde ESE Wegkreuzung des Ochscnreichkars
4214;1996-08-24;1840;SW;27;Südwestlich Hutkogel, zweite kleinere Halde ESE Weg-kreuzung Ochsenreichkar
4215;1996-08-24;1850;SW;30;Südlich Hutkogel, breiter Hang
4216;1996-08-24;1850;SW;30;Südlich Hutkogel, breiter Hang, ca 30 m östl. 4215
4217;1996-08-24;1850;w;20;Südlich Hutkogel
4218;1996-08-24;1820;KEX;0;SSE Hutkogel, große Dolinenlandschaft mit einzelnen kleinen Latschen
4219;1996-08-22;1475;NE;5;Graualm Westbereich
4221;1998-06-30;1480;W;25;Sackwiesalm Osteinhang (von der Häuselalm kommend)
4222;1998-06-30;1470;W;15;Sackwiesalm, Osteinhang, etwas unterhalb von 4222
4223;1998-06-30;1460;SW;15;Sackwiesalm, Kuppenrelief ober dem Moor
4224;1998-06-30;1470;N;15;Sackwiesalm, gegenüber der Hütte jenseits des Moores
4225;1998-06-30;1460;NNE;5;Sackwiesalm, gegenüber der Almhütte, jenseits des Moores
4226;1998-06-30;1500;SWW;15;Sackwiesalm, westlich der Hütte, am Sattel oberhalb des Weges zur Sonnschienalm
4227;1998-06-30;1550;KEX;0;Brandwiese, aiuf der südwestlichen Kuppe
4228;1998-07-01;1550;E;15;Brandwiese
4229;1998-07-01;1540;E;3;Brandwiese
4230;1998-07-01;1540;SSE;10;Brand wiese
4231;1998-07-01;1560;SE;20;Fobisalm, ca. 60m westlich der Abzweigung zum Brandstein
4232;1998-07-01;1510;KEX;0;Fobisalm, ca. 200m westlich von 4231
4233;1998-07-01;1530;KEX;0;Fobisalm, 100m westlich 4232, am Weg, kurz vor der ersten höheren Geländestufe
4234;1998-07-01;1510;S;15;Fobisalm, 100m westlich 4233, Südhang zum Weg
4235;1998-07-01;1510;N;25;Fobisalm, 150m südlich 4234 am Gegenhang
4236;1998-07-01;1560;SW;25;Fobisalm, nahe der Abzweigung zum Brandstein
4237;1998-07-02;1510;N;25;zwischen Sonnschien- und Sackwiesalm
4238;1998-07-02;1480;KEX;0;Zwischen Sonnschien- und Sackwiesalm
4239;1998-07-02;1470;N;25;Oberhalb (südlich) Sackwiessee
4240;1998-07-02;1490;NW;15;Oberhalb (südlich) Sackwiessee
4241;1998-07-20;1240;NNW;15;Aufstieg zum Schafhalssattel, unterhalb des Endes der Forststraße
4242;1998-07-20;1240;SSW;30;Am Weg zum Schafhalssattel, unterm Ende der Forststraß, in denSchutthalden am Hangfuß der Griesstein-Westwand
4243;1998-07-20;1260;SSE;15;Am Weg zum Schafhalssattel, ca. 200m nach dem Ende der Forststraße
4244;1998-07-20;1270;W;20;am Weg zum Schafhalssattel unterhalb der Griesstein-Westwände, ca. 30m unterhalb des Wegew
4245;1998-07-21;1640;SSW;10;südlich der südöstlichen Ausläufer der Schaufelwand, kleine Larschenfeldcr ca. 80m oberhalb des Weges zum Schafhalssattcl
4246;1998-07-21;1620;SSE;30;südlich der südöstlichen Ausläufer der Schaufelwand obcrhlalb des Weges zum Schafhalssattel
4247;1998-07-21;1625;SSW;20;südlich der südöstlichen Ausläufer der Schaufelwand
4248;1998-07-21;1640;SWW;5;südlich der südöstlichen Ausläufer der Schaufelwand
4249;1998-07-21;1660;W;15;südlich den südöstlichen Ausläufern der Schaufelwand
4250;1998-07-21;1620;NE;5;ca. 200m südöstlich Schafhalssattel in einer Doline
4251;1998-07-21;1635;SWW;15;unter der Schaufelwand, Westausläufer
4252;1998-07-21;1690;SW;30;Schaufelwand, Südwestendc
4253;1998-07-21;1700;SSW;80;Schaufelwand, Westende, ca. 50m östlich 4252
4254;1998-07-21;1610;S;20;Nordabhang zum Spitzboden
4255;1998-07-21;1580;SSE;5;Spitzboden, am Bach ca. 50m unterhalb des Weges
4256;1998-07-22;1690;SW;30;in der Zumach (oberm Spitzboden), östliche Seitenflanke
4257;1998-07-22;1670;SE;35;erste Doline nach der Zumach (oberm Spitzboden)
4258;1998-07-22;1660;KEX;0;erste Doline hinter der Zumach (oberm Spitzboden), südlich vom Weg
4259;1998-07-22;1690;E;15;oberhalb der ersten Doline hinter der Zumach (oberm Spitzboden) südlich vom Weg in den Latschenfeldern
4260;1998-07-22;1650;NWW;30;In den Latschenfeldern am Spitzkogel
4261;1998-07-22;1650;NNE;10;ln den Latschenfeldern am Spitzkogel, 20m unterhalb von 4260
4262;1998-07-22;1680;KEX;0;In den Latschen oberm Spitzboden
4263;1998-07-22;1690;KEX;0;In den Latschenfeldern am Spitzkogel, ca. 100m östlich von 4264
4264;1998-07-22;1700;N;5;Latschenfelder am Spitzkogel, ca.80m östlich 4263
4265;1998-07-22;1700;NNW;5;Latschenfelder am Spitzkogel, größere Lichtung
4266;1998-07-22;1670;W;2;südlich der Latschenfelder am Spitzkogelplateau
4267;1998-07-23;1525;NNW;30;Brand wiese, Abhang vom Weg
4268;1998-07-23;1540;N;30;oberhalb der Brandwiese, links oberhalb des Weges
4269;1998-07-23;1540;N;15;Brandwiese, Latschenfelder links oberhalb des Weges
4270;1998-07-23;1520;KEX;0;Brandwiese, Vermoorung im Zentrum
4271;1998-07-23;1520;KEX;0;Brandwiese, Vermoorung im Zentrum
4272;1998-07-23;1525;EES;30;hinter der Brandwiese am Steig zu den Brandstein-Süd-Schutthalden
4273;1998-07-23;1650;SE;30;Brandstein-Siidhang, Rasenstreifen unter den Felsen
4274;1998-07-23;1680;SE;30;Brandsteinsüdwand, Rasengirlanden knapp unterhalb der Felswand, ca. 50m oberhalb 4273
4275;1998-07-23;1590;EES;20;"Latschenfelder auf den Schutthalden unter der Brandstein-Südwand; ca. 500m nordöstlich der Brandwiese"
4276;1998-07-23;1555;SSE;30;Brandstein, Schutthalden am Südhang, etwa auf halber Höhe
4277;1998-07-23;1500;NW;15;erste große offene Fläche nordöstlich der Brandwiese, unmittelbar an die Schutthalde grenzend
4278;1998-07-23;1550;NW;10;ca. 300m vor der Brandwiese, rechts unterhalb des Weges (ca. 150m).
4279;1998-07-24;1580;sw;5;Spitzboden, südlich vom Weg
4280;1998-07-24;1585;w;10;Spitzboden, 50m nordwestlich 4279
4281;1998-07-24;1580;NWW;10;Spitzboden, gegenüber dem westlichen Ausläufer der
4282;1998-07-24;1575;NW;15;Schaufelwand im Talboden Latschenfeld im Spitzboden
4283;1998-07-24;1570;KEX;0;Spitzboden, nahe dem Südeinhang
4284;1998-07-24;1570;NE;10;Spitzboden, östlicher Teil
4285;1998-07-24;1560;KEX;0;Spitzboden, nordwestlicher Teil, knapp unterm Weg
4286;1998-07-29;1370;W;15;am Weg zum Schafhalssattel
4287;1998-07-29;1390;W;20;Weg zum Schafhalssattel
4288;1998-07-29;1425;KEX;;Am Weg Siebensee - Schafhalssattel
4289;1998-07-29;1440;NW;30;am Weg zum Schafhalssattel
4290;1998-07-29;1490;NNW;25;Weg zum Schafhalssattel, Kurz vor dem Ende des Lä-Waldes
4291;1998-07-29;1515;NNW;75;Weg vor Schafhalssattel
4292;1998-07-29;1510;NNW;30;Vor Schafhalssattel
4293;1998-07-29;1545;NNE;15;Schafhalssattel
4294;1998-07-29;1555;KEX;25;Schafhalssattel
4295;1998-07-29;1545;;25;Schafhalssattel
4296;1998-07-29;1530;NWW;3;Spitzboden, Westende
4297;1998-07-29;1485;;0;Wasserboden
4298;1998-07-29;1530;KEX;0;Spitzboden, Westende, ca. 60m östlich von 4296
4299;1998-07-29;1545;SW;35;Fobisalm Ostende
4300;1998-07-30;1530;SW;30;Fobisalm, Ostende
4301;1998-07-30;1630;SE;25;
4302;1998-07-30;1670;S;35;Brandstein, Südwest
4303;1998-07-30;1710;KEX;0;westlich Brandstein
4304;1998-07-30;1720;W;5;Weg zum Brandstein, Plateau westlich des Gipfels
4305;1998-07-30;1735;W;10;westlich Brandstein
4309;1998-07-30;1840;w;30;Brandsrein Westhang
4310;1998-07-30;1810;w;35;Brandstein West
4311;1998-07-30;1930;NW;5;Brandstein Westhang
4312;1998-07-30;1935;SWW;20;Brandsrein West
4313;1998-07-30;1920;SW;70;Brandstein Westhang
4314;1998-07-30;1910;W;15;Brandstein West, am Weg
4315;1998-07-30;1870;KEX;0;Brandstein Westhang
4316;1998-07-30;1850;SSE;30;Brandstein-West, am Weg, erstes Plateau
4317;1998-07-31;1670;W;15;Piankogel-Süd
4318;1998-07-31;1600;W;25;Plankogel Westhang
4319;1998-07-31;1650;SW;20;Plankogel Westhang
4320;1998-07-31;1660;E;25;Plankogel
4321;1998-07-31;1625;;5;Plankogel nach Wasserboden
4322;1998-08-04;980;E;35;Lang-Eibl-Schlucht
4323;1998-08-04;990;EEN;35;Lang-Eibel-Schlucht, unterer Teil
4324;1998-08-04;990;NW;15;Lang-Eibl-Schlucht
4325;1998-08-04;990;N;40;Lang-Eibel-Schlucht, unterer Teil
4326;1998-08-04;1330;S;3;Edelbodenalm, unweit südlich der Hütte
4327;1998-08-04;1335;20;180;Edelbodenalm
4328;1998-08-06;2200;W;20;Zaglkogel Westhang
4329;1998-08-06;2140;SWW;10;Zagelkogel, Westabhang
4330;1998-08-06;2170;W;30;Zaglkogel Westhang
4331;1998-08-06;2150;W;25;Zaglkogel Westhang
4332;1998-08-06;2090;W;5;Zagelkogel Westabhang
4333;1998-08-06;2110;KEX;0;Zaglkogel Westhang
4334;1998-08-06;2110;W;5;Zagelkogel, Südwestabhang
4335;1998-08-11;1760;SW;30;Hirschgrube
4336;1998-08-11;1760;SSW;10;Hirschgrube, Osteinhang
4337;1998-08-11;1775;w;3;südlich Karlstein
4338;1998-08-11;1740;NNW;15;Südlich Karlstein
4339;1998-08-11;1740;KEX;0;südlich Karlstein
4340;1998-08-11;1815;SSE;15;Karlstein, Südwestabhang
4341;1998-08-11;1750;S;35;Südlich Karlspitz
4342;1998-08-11;1895;SW;10;Karlstein, Südwestgrat
4343;1998-08-11;1890;NW;5;Karlstein Westhang
4344;1998-08-11;1970;EEN;20;Karlstein Osthang
4345;1998-08-11;1930;NE;10;Karlstein Nord
4346;1998-08-11;;E;10;Karlstein Nordosthang
4347;1998-08-11;1920;NE;10;Karlstein Nord
4348;1998-08-11;1900;NE;25;Karlstein Nordosthang
4349;1998-08-11;1880;EEN;20;Karlstein Ost
4350;1998-08-11;1910;NE;25;Karlstein Nordosthang
4351;1998-08-11;1910;NE;10;Karlstein Ostrücken
4352;1998-08-11;1910;E;3;Karlstein-Ostrücken
4353;1998-08-11;1935;W;15;nordöstlich Karlstein
4354;1998-08-11;1920;sww;10;Kleiner Speikboden
4355;1998-08-11;1950;KEX;0;östlich Karlstein
4356;1998-08-11;1940;NW;5;kleiner Speikboden
4357;1998-08-12;1760;W;20;Hirschgrube
4358;1998-08-12;1800;W;15;ober Hirschgrube
4359;1998-08-12;1880;SWW;15;ober Hirschgrube
4360;1998-08-12;1920;SWW;15;Östlich Zinken
4361;1998-08-12;1920;NNW;10;
4362;1998-08-12;1930;SWW;15;
4363;1998-08-12;1920;SW;5;Westlich Hundsboden
4364;1998-08-12;1900;W;5;Karboden unterm (südlich) Karlstein
4365;1998-08-12;1960;NW;25;nordwestlich Hundsboden
4366;1998-08-12;1950;W;15;Nordwestlich Hundsboden
4367;1998-08-12;2000;KEX;0;nordwestlich Hundsboden
4368;1998-08-12;1950;NW;5;Westlich Hundsboden
4369;1998-08-12;1970;EES;25;östlich Karlstein
4370;1998-08-12;1970;W;;Westlich Hundsboden
4371;1998-08-12;2010;SW;5;nordwestlich Hundsboden
4372;1998-08-12;2015;NW;35;Nordwestlich Hundsboden
4373;1998-08-12;2020;S;20;nordwestlich Hundsboden
4374;1998-08-12;2050;SW;5;Nördlich Hundsboden
4375;1998-08-12;2045;NNE;75;Felsnase im Speikboden
4376;1998-08-12;2070;SW;20;Kleiner Speikboden, östlich
4377;1998-08-12;2060;W;5;Kleiner Speikboden
4380;1998-08-12;2010;SW;15;Kleiner Speikboden
4381;1998-08-12;2010;E;10;Speikboden
4382;1998-08-13;2000;KEX;0;südlich Speikboden, westlich vom Weg
4383;1998-08-13;2000;KEX;0;Hundsboden
4384;1998-08-13;2010;SE;50;Hundsboden
4387;1998-08-13;2060;SSE;3;Speikboden
4388;1998-08-13;2040;SSE;30;Südöstlich Hundsboden - Schönbergkar
4389;1998-08-13;2020;SWW;30;östlich Stangenwand
4390;1998-08-13;2030;NNW;20;Schönbergkar oberer Grabenbereich
4391;1998-08-13;2030;NW;5;oberm Rauchtal, an der Abbruchkante westlich der Stangenwand
4392;1998-08-13;2010;SW;25;Schönbergkar oberer Graben
4393;1998-08-13;2025;NW;5;Grakante oberm Schönkar
4394;1998-08-13;2025;NW;80;Ober Schönkar
4395;1998-08-13;2000;NW;10;Schönbergkar oberer Grabenbereich
4396;1998-08-13;1990;S;25;Schönbergkar oberer Grabenbereich
4397;1998-08-13;1920;S;35;Schönbergkar
4398;1998-08-13;1850;EES;3;nordöstlich unterm Zinken, oberm Eingang zum Schönkar
4399;1998-08-13;1850;S;50;Schönberkar
4400;1998-08-13;1800;S;25;Schönbergkar
4401;1998-08-13;1760;SE;25;Schönkar
4402;1998-08-17;1650;N;80;Felswand im Weihbrunnkessel
4403;1998-08-17;1635;NNE;25;Samstatt
