plot;cov;t1cov;t2cov;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;bare;stones;latitude;longitude;accuracy;date;soil;soil.comment;alliance;alliance.author;association;location;location.comment;observer;rock.type;soil.depth;dung.rupi;dung.ibex
hw30;30;0;0;5;25;5;0;0;3;0,7;0;6;5;SE;40;35;35;0;47.82683N;16.04530E;10;2008-06-12;Rendzina;Felshang, humös, Humuserrosion;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;Steig E Tirolersteig, Freibereich innerhalb Flaumeichenbestand;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw31;65;0;0;1;65;5;0;0;2;0,4;0;3;7;E;30;25;10;0;47.82902N;16.04495E;10;2008-06-12;Rendzina;Renzina;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;direkt rechts (E) Völlerin Steig, danben Halbtrockenrasen durch Verbiss frei;R. Kaiser & T. Eberl;topwall;shallow;yes;yes
hw32;80;0;0;0;80;15;0;0;0;0,1;0;5;4;SE;10;0;5;0;47.82425N;16.04085E;10;2008-06-12;Rendzina;Felshang, Renzina, durchgehend homös;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, E Hochkogelhaus;direkt bei Kreuz am Ende des Eisenbahnersteiges;R. Kaiser & T. Eberl;topwall;deep;yes;yes
hw33;65;0;0;25;60;2;0;0;5;1;0;5;10;SE;65;30;5;0;47.83026N;16.04915E;10;2008-08-03;Rendzina;Felshang, Renzina, homös mit Substrattaschen;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;direkt rechts (NE) Skywalk, ca. 45m unterhalb Oberkante;R. Kaiser & T. Eberl;precipice;deep;no;no
hw34;50;0;0;1;50;2;0;0;5;1;0;5;7;SE;75;40;10;0;47.83020N;16.04914E;10;2008-08-03;Rendzina;Felshang, Renzina, homös mit Substrattaschen;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;10m unterhalb hw33;R. Kaiser & T. Eberl;precipice;deep;no;no
hw35;60;0;0;0;60;1;0;0;0;1;0;5;5;SE;75;35;5;0;47.83017N;16.04915E;10;2008-08-03;Rendzina;Felshang, Renzina, homös mit Substrattaschen;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;8m unterhalb hw34;R. Kaiser & T. Eberl;precipice;deep;no;no
hw36;95;0;0;10;95;5;0;0;5;0,5;0;6;4;SE;10;5;0;0;47.83038N;16.04899E;10;2008-08-03;Rendzina;flachgründig, Bodenauflage nahezu 100 %;Geranion sanguinei;;;Hohewand, Ortler Hütte;Gebüschsaum oberhalb 33 bis 35, direkt Wandabbruch;R. Kaiser & T. Eberl;topwall;shallow;yes;no
hw37;20;0;0;0;20;5;0;0;0;0,3;0;6;5;S;45;45;35;0;47.81099N;16.01463E;10;2008-08-04;Rendzina;offener, stark verbissener Felshang, erdig;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Wilhem-Eichert-Hütte, Große Kanzel;Wagnersteig, 150m E großem Felsaufbau zum Gipfelbereich Felsfuß;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw38;20;0;0;0;20;3;0;0;0;0,3;0;6;5;S;35;30;50;0;47.81085N;16.01408E;10;2008-08-04;Rendzina;Felshang, verbissen, offen, Wandfuß bei Felswand;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Wilhem-Eichert-Hütte, Große Kanzel;ca. 250m westlich hw37, unterhalb Kreuz große Kanzel;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw39;75;0;0;0;75;1;0;0;0;0,2;0;7;4;S;15;5;20;0;47.81100N;16.01368E;10;2008-08-04;Rendzina;Felshang, feinsubstratreich, erodiert, eutroph;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Wilhem-Eichert-Hütte, Große Kanzel;ca. 50m E und 50m unterhalb Kreuz große Kanzel, Absatz am Wandfuß;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw40;50;0;0;3;50;0;0;0;2;0,8;0;2;3;S;90;45;5;0;47.81105N;16.01310E;10;2008-08-04;Rendzina;Rasenband, feinsubstratreich;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Wilhem-Eichert-Hütte, Große Kanzel;;R. Kaiser & T. Eberl;bank;deep;no;no
hw41;50;0;0;0;50;0;0;0;0;0,3;0;5;1,5;S;5;10;40;0;47.81093N;16.01678E;10;2008-08-04;Rendzina;flachgründig über solidem Fels, vollgeschissen;Sisymbrion officinalis;;;Hohewand, Wilhem-Eichert-Hütte, E Große Kanzel;ca. 500m E und 100m unterhalb Kreuz Große Kanzel;R. Kaiser & T. Eberl;balme;shallow;yes;yes
hw42;60;0;0;0;60;1;0;0;0;0,5;0;5;6;S;25;5;35;0;47.81097N;16.01660E;10;2008-08-04;Rendzina;Felshang, Substraterosion;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Wilhem-Eichert-Hütte, E Große Kanzel;neben Balme an Rand verbissene Corylus, Amelanchier, Sorbus, Wildfütterung in der Nähe;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw43;50;0;0;0;45;0;0;0;0;0,8;0;3;7;S;80;45;5;0;47.81116N;16.01661E;10;2008-08-04;Rendzina;Rasenband, getreppt, feinsubstratreich;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Wilhem-Eichert-Hütte, E Große Kanzel;Unterhalb Gedenkkreuz, Große Kanzel;R. Kaiser & T. Eberl;bank;deep;no;no
hw44;60;0;0;0;60;2;0;0;0;0,6;0;2;6;S;10;20;20;0;47.81130N;16.01670E;10;2008-08-04;Rendzina;Felshang, Renzina, feinsubstrat arm;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Wilhem-Eichert-Hütte, E Große Kanzel;breites Felsband (ca. 2-3 m) E Kreuz 20m unterhalb Abseilstand direkt an Kante;R. Kaiser & T. Eberl;bank;shallow;yes;yes
hw45;40;0;0;0;40;2;0;0;0;0,7;0;6;4;S;30;15;45;0;47.82240N;16.03801E;10;2008-08-05;Rendzina;Felshang, Feinsubstratreich, Bodenerrosion;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, E Hochkogelhaus;direkt neben Weg Krumme Rieß;R. Kaiser & T. Eberl;precipice;shallow;yes;no
hw46;75;0;0;10;70;1;0;0;1,2;0,8;0;5;1,5;SE;80;15;5;0;47.82431N;16.04105E;10;2008-08-05;Rendzina;Rasenband, feinsubstratreich, getreppt;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, E Hochkogelhaus;in Wand 100m NE Gipfel Krumme Rieß, ca. 20m unterhalb Wandkante, direkt neben Gebüsch mit Evonymus verrucosa und Fraxinus excelsior;R. Kaiser & T. Eberl;bank;deep;no;no
hw47;75;0;0;5;80;1;0;0;2;0,8;0;3;5;SE;75;20;5;0;47.82434N;16.04105E;10;2008-08-05;Rendzina;Felsnase, feinsubstratreich;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, E Hochkogelhaus;ca. 15m unterhalb hw46, blockartige Felsnase;R. Kaiser & T. Eberl;bank;deep;no;no
hw48;70;0;0;40;50;2;0;0;2,5;0,8;0;10;10;E;85;20;10;0;47.82349N;16.04031E;10;2008-08-05;Mull-Rendzina;Felshang, superhomös;Berberidion;;;Hohewand, E Hochkogelhaus;20m NW hw49;R. Kaiser & T. Eberl;precipice;deep;no;no
hw49;50;0;0;0;50;1;0;0;0;0,8;0;4;5;E;80;45;5;0;47.82349N;16.03986E;10;2008-08-05;Mull-Rendzina;Felshang, superhomös;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, E Hochkogelhaus;Felswand nordwestlich Gipfel krumme Rieß, ca. 50m unter Felsoberkante;R. Kaiser & T. Eberl;precipice;deep;no;no
hw50;20;0;0;0;20;4;0;0;0;0,6;0;10;10;SE;30;40;40;0;47.82388N;16.04092E;10;2008-08-05;Rendzina;Felshang, Substraterosion;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, E Hochkogelhaus;unterhalb Balme in Felswand unterhalb Gipfel Krumme Rieß, Hardcore Verbissfläche;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw51;50;0;0;3;50;0;0;0;1,5;0,8;0;1;2,5;SE;85;40;10;0;47.82307N;16.04031E;10;2008-08-05;Rendzina;Felshang, Feinsubstratreich;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, E Hochkogelhaus;Wand 25m über Wandfußsteig, auf Höhe Maiersdorf;R. Kaiser & T. Eberl;precipice;deep;no;no
hw52;35;0;0;2;35;4;0;0;2,5;0,7;0;6;7;S;25;10;55;0;47.81111N;16.02472E;10;2008-08-06;Rendzina;Felshang;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Gasthof Almfrieden;anbei Steig zum Hubertushaus am Ostende des Wandfuß markante Wand;R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw53;5;0;0;2;5;0;0;0;1,5;0,3;0;4;1,5;S;10;94;1;0;47.81100N;16.02431E;10;2008-08-06;Felshumusboden;Balme;Sisymbrion officinalis;;;Hohewand, Gasthof Almfrieden;30m westlich hw52;R. Kaiser & T. Eberl;balme;shallow;yes;yes
hw54;45;0;0;0;45;2;0;0;0;0,8;0;8;5;SW;40;30;25;0;47.81287N;16.02882E;10;2008-08-06;Rendzina;Felshang, Substraterosion;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, NE Hubertshaus;Felskopf ca. 500m E Hubertushaus, ca 25 m  unterhalb Betonstempen am Felskopf (Gipfel);R. Kaiser & T. Eberl;precipice;shallow;yes;yes
hw55;45;0;0;0;45;2;0;0;0;0,5;0;2;4;S;80;50;5;0;47.81289N;16.02885E;10;2008-08-06;Rendzina;Rasenband, getreppt, aufgelöst, kleine Substrattaschen und Humusploster;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, NE Hubertshaus;;R. Kaiser & T. Eberl;bank;deep;no;no
hw56;65;0;0;0;65;1;0;0;0;0,8;0;5;1;SE;85;15;20;0;47.81311N;16.02903E;10;2008-08-06;Rendzina;Rasenband, feinsubstratreich, kleine Substrattaschen;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, NE Hubertshaus;;R. Kaiser & T. Eberl;bank;deep;no;no
hw57;45;0;0;2;40;10;0;0;2;0,5;0;6;3;SE;30;0;0;55;47.82963N;16.05117E;10;2008-08-20;Skeletthumusboden;Schutt;Stipion calamagrostis;;Rumicetum scutati;Hohewand, Ortler Hütte;direkt oberhalb Weg vom Parkplatz (Landewiese) Richtung NE;R. Kaiser & T. Eberl;scree;shallow;no;no
hw58;85;0;0;60;50;35;0;0;3,5;0,5;1;15;5;SE;30;0;0;15;47.82968N;16.05127E;10;2008-08-20;Skeletthumusboden;Schutt;Berberidion;;;Hohewand, Ortler Hütte;bei hw57;R. Kaiser & T. Eberl;scree;shallow;no;no
hw59;90;0;0;0;85;25;0;0;0;0,3;0;5;6;SE;30;0;10;0;47.82938N;16.04939E;10;2008-08-20;Renzina;sekundärer Trockenrasen, Rendzina, Substrat stabil, freie Bodenstellen;Cirsio-Brachypodion pinnati;;;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;headwall;shallow;no;no
hw60;75;0;0;1;75;10;0;0;0;0,8;0;8;6;SE;35;5;0;20;47.82946N;16.04875E;10;2008-08-20;Skeletthumusboden;Schutt, feinsubstratreich;Stipion calamagrostis;;Rumicetum scutati;Hohewand, Ortler Hütte;unterhalb Skywalk;R. Kaiser & T. Eberl;scree;deep;no;no
hw61;95;5;0;80;75;30;9;0;5;0,3;0,6;15;5;SE;30;0;0;5;47.82856N;16.04765E;10;2008-08-20;Skeletthumusboden;Schutt, gefestigt;Berberidion;;;Hohewand, Ortler Hütte;SW unterhalb Skywalk;R. Kaiser & T. Eberl;scree;shallow;no;no
hw62;95;5;0;90;80;25;9,5;0;5;0,4;0,8;8;15;SE;15;0;0;5;47.82812N;16.04712E;10;2008-08-20;Skeletthumusboden;Schutt, gefestigt;Berberidion;;;Hohewand, Ortler Hütte;Nordöstlich einer markanten Schuttrinne;R. Kaiser & T. Eberl;scree;shallow;no;no
hw63;80;0;0;0;80;5;0;0;0;0,5;0;5;5;SE;30;0;10;10;47.83457N;16.05732E;10;2008-08-20;Skeletthumusboden;Schutt, gefestigt, feinsubstratreich;Geranion sanguinei;;;Hohewand, Gasthof Almfrieden;Am Begin des Weg zm Almfrieden, Überbrückl Steig;R. Kaiser & T. Eberl;headwall;shallow;yes;no
hw64;60;0;0;0;55;2;0;0;0;0,8;0,3;4;4;SW;40;25;2;15;47.82912N;16.04779E;10;2014-07-04;Skeletthumusboden;;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, Ortler Hütte;Auschlussfläche HTL-Steig;R. Kaiser & T. Eberl;scree;;;
hw65;25;0;0;0;22;3;0;0;0;0,3;0,1;4;4;SE;40;40;5;30;47.82200N;16.03825E;10;2014-07-05;Felshumusboden;;Seslerio-Festucion pallentis;Willner 2013;;Hohewand, E Hochkogelhaus;Auschlussfläche Krumme Ries;R. Kaiser & T. Eberl;precipice;;;
hw66;97;50;80;40;7;1;24;18;5;0,3;0,1;16;16;E;35;5;0;0;47.818547N;16.034283E;10;2014-07-05;Mull-Rendzina;sehr lichtarm am Boden, keine Verjüngung der Gehölze, Bestadn 2 bis 3 schichtig, Tilia eher unterständig;Tilenion platyphylli;;;Hohewand, S Hochkogelhaus;;R. Kaiser & T. Eberl;precipice;;;
hw67;97;80;45;15;10;3;22;16;5;0,3;0,1;16;16;E;25;2;0;0;47.818978N;16.034085E;10;2014-07-05;Mull-Rendzina;stark schattender Bestand;Tilenion platyphylli;;;Hohewand, S Hochkogelhaus;;R. Kaiser & T. Eberl;precipice;;;
hw68;85;20;80;40;25;2;16;10;5;0,6;0,25;16;16;SE;35;10;4;0;47.827080N;16.043452E;10;2014-07-06;Mull-Rendzina;von Äsung und Verbiss beeinflusst;Quercion pubescentis-petreae;;;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;precipice;;;
hw69;95;65;45;10;7;2;16;10;4;0,3;0,1;10;25;SE;35;5;0;30;47.827754N;16.044292E;10;2014-07-06;Skeletthumusboden;in Rinne innerhalb der Fesleinfassung oberhalb des Weges;Tilenion platyphylli;;;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;precipice;;;
hw70;90;40;50;25;4;1;14;10;5;0,8;0,15;16;16;SE;45;5;0;0;47.827742N;16.044846E;10;2014-07-06;verbraunte Rendzina;rötlicher Braunlehm und Mull-Rendzina in Rinnen;Quercion pubescentis-petreae;;;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;precipice;;;
hw71;90;35;65;20;5;1;12;9;5;0,5;0,1;16;16;SE;25;0;0;70;47.827488N;16.045296E;10;2014-07-06;Mull-Rendzina;Mull-Rendzina von Schutt überdeckt;Quercion pubescentis-petreae;;;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;precipice;;;
hw72;70;30;40;35;30;2;9;7;4;0,7;0,2;10;25;SE;55;70;0;0;47.827247N;16.045637E;10;2014-07-06;Rendzina;entlang Falllinie der Felsrippe, ca 20m darunter Seilschlinge an P. nigra;Quercion pubescentis-petreae;;;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;precipice;;;
hw73;65;40;40;35;15;1;12;8;4;0,6;0,3;16;16;SE;55;20;0;0;47.827222N;16.045917E;10;2014-07-06;Rendzina;;Quercion pubescentis-petreae;;;Hohewand, Ortler Hütte;;R. Kaiser & T. Eberl;precipice;;;
hw74;98;85;30;10;25;2;16;12;4;0,3;0,15;16;16;N;55;10;0;0;47.834410N;16.055487E;10;2014-07-06;Mull-Rendzina;sehr tiefgründige Mull-Rendzina;Tilenion platyphylli;;;Hohewand, Gasthof Almfrieden;;R. Kaiser & T. Eberl;precipice;;;
