taxon;layer;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54
Tilia platyphyllos;tl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;2a;;3;
Ulmus glabra;tl;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer platanoides;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Acer pseudoplatanus;hl;1;+;+;;+;+;;;;;;;;;+;+;+;1;+;+;;;;;;+;;;1;+;1;+;;+;+;+;;1;;;;;;;;;;;;;;r;+;r
Achillea c.f. clavennae;hl;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Adenostyles glabra;hl;;;r;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;
Aegopodium podagraria;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;
Allium montanum;hl;;;;;+;;;+;;;;;+;;;;;;;;r;r;+;;+;;;;;;;;;;;;;;+;+;+;;;;;;;;;;;;;
Amelanchier ovalis;hl;;;;;;;;2a;;;;;;+;;;;;;;+;r;;+;;;;2a;+;;;;;;;;;;+;;r;+;1;;;;;+;;;;;;
Angelica sylvestris;hl;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;
Anthericum ramosum;hl;;;;;;;;;r;r;r;+;+;;;;;;;2b;2a;1;1;+;1;+;;1;;;;;;+;;;;;1;1;+;1;+;;1;;;;;+;1;+;;1
Aquilegia atrata;hl;;;+;+;+;+;;;;;;;r;;;;;;;+;;;;+;;;;;;;+;;;+;;+;;;;;;;;;;;;;;+;;;;
Arabis alpina;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arabis hirsuta;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aruncus dioicus;hl;;+;+;+;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;
Asplenium ruta-muraria;hl;;;;;;;;r;;r;;r;+;;;;;;;;;;+;;1;;;;r;;;r;+;;;;;;;;+;;;;;;;+;+;+;;;+;+
Asplenium trichomanes subsp. quadrivalens;hl;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;r;;;r;
Asplenium viride;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;r;;;;;
Aster bellidiastrum;hl;;;;;;;;;;;;;;;;;;;;;+;+;;;+;;;2a;;;;;;;;;;;;;+;;;;;;;;;;;;;
Athyrium filix-femina;hl;;;+;;;;;;;;;;;;;;+;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Berberis vulgaris;hl;;;;r;+;r;r;;;;;;;;;;;;;;;;;;;;;;+;;;+;+;+;+;;;+;r;;;;;;1;;;;;;;;;
Brachypodium pinnatum;hl;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;;;;;;;
Buphthalmum salicifolium;hl;;;+;;1;+;+;+;;;+;;;+;+;;;+;;1;;;+;1;;1;1;r;1;1;;1;1;+;1;2a;2a;;;;;;;1;1;;;1;1;+;1;+;+;+
Calamagrostis varia;hl;1;;3;2a;2a;2a;1;;;;;+;;2a;;;;;;;+;2a;+;2a;;3;2a;;;2a;;;;2a;3;1;1;;;1;;;;1;;+;;3;3;1;2m;2m;1;
Campanula persicifolia;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;+;;;;;;
Campanula rapunculoides;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;+;;;+;1;;;;;;;;;;;;;+;;;;;;+
Campanula rotundifolia;hl;;;+;+;+;;;;;;;;1;;1;;1;;;1;;;;;;;+;;2m;1;;;;;;;;;;;;;;;;;;;;;;;;
Cardaminopsis arenosa;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;+
Carduus defloratus subsp. viridis;hl;;;+;r;r;1;1;;;;;r;r;;;;r;;+;+;;;;1;;+;+;;+;+;;+;;+;+;;+;;;;;;;+;;r;;2a;1;r;r;+;+;1
Carex alba;hl;1;2a;1;2a;1;2a;;;;;;;;+;1;2a;;;+;;;;2a;;;2a;2a;1;3;2a;3;;3;2a;2a;;2b;1;2a;;;;2a;2a;;;;3;2b;;;;;1
Carex digitata;hl;;;;;;;;;;;;;;;;;;;;;2a;2a;;;;;;;;;;;;;2b;;;;;;;;;;;+;;+;+;;;;;
Carex firma;hl;;;;;;;;+;;;;;;;;;;;;;1;1;;;;;;+;;;;;;;;;;;1;;;;;;;;;;;;;;;
Carex flacca subsp. flacca;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carex humilis;hl;1;+;+;1;1;1;2a;1;;+;+;1;;;1;2a;1;;2a;2a;;1;;2a;2a;2b;;;2a;2a;;1;2a;1;1;;2a;3;;+;1;1;;2b;;;;;;2a;2a;;1;1
Carex montana;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2m;;2m;1
Carex mucronata;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Carex sylvatica;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;
Clematis alpina;hl;;;;+;+;;+;;;;;;;;+;1;1;;+;;;;;;;+;+;;+;;;;+;;;r;r;r;;;;;;;+;;;;;;;;;
Clematis vitalba;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;+;+;+;;;;;
Clinopodium alpinum subsp. alpinum;hl;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;
Convallaria majalis subsp. majalis;hl;r;1;r;2a;+;+;+;;;;;;;r;+;1;+;+;+;1;;;;;;+;+;;;2m;2a;+;+;;2a;+;+;1;;;;;;;;;;;;;;;;
Cornus mas;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;
Cornus sanguinea subsp. sanguinea;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;+;r;;;;1;
Corylus avellana;hl;;;+;2a;;;r;;;;;;;r;;+;+;;;;;;;;;+;;;+;+;;1;+;;+;;+;;;;;;;;;+;r;;+;;;;;
Cotoneaster tomentosus;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyclamen purpurascens;hl;1;1;+;+;+;r;+;;;;;;;+;+;+;+;1;1;+;;;;+;;+;;;1;+;+;+;+;+;+;;;+;;;;;;+;+;;r;2m;+;+;+;+;+;
Cynanchum hirundinaria;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;;;;;;;
Daphne mezereum;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;;+;;;;;;;;;;;;;r;r;;;;;;
Deschampsia cespitosa;hl;;;2m;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Digitalis grandiflora;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dryopteris filix-mas;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;r;;;;;
Dryopteris villarii;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r
Epipactis atrorubens;hl;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;r;
Erica carnea;hl;;;;2b;1;;;1;1;;r;;;2a;+;;+;;1;1;;;+;1;+;+;+;;2a;+;+;1;;3;2a;;1;2a;+;1;+;;1;2a;+;;;+;;+;2a;2a;1;
Euonymus europaea;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Euonymus latifolia;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;
Eupatorium cannabinum;hl;;;;;;;;;;;;;;;;;;+;;;;;;;;;r;;;;;+;1;;;;;;;;;;;;;;;;r;;;;;
Euphorbia amygdaloides subsp. amygdaloides;hl;;;+;+;+;r;r;;;;;;;;+;+;+;r;1;;;;;;;1;;;1;+;;+;;;+;;+;;;;;;;;+;;;;;;;;;
Euphorbia cyparislias;hl;;;;;;;;1;;;;;r;;;;r;;;;;;;;;;;;;;;;;;;;;;;+;+;;;+;+;;;;;+;+;;;+
Euphrasia officinalis subsp. picta;hl;;;;;;;;r;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fagus sylvatica;hl;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;+;;;;;;;+;;;;;;;;;;;;;;;;
Festuca amethystina;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;
Filipendula ulmaria;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;+;;;;;;;;;;;;;;;;;
Fragaria vesca;hl;;;+;;;;;;;;;;;;;+;;;;;;;;;;;;;;;+;+;;;;;;;;;;;;;;;;+;+;1;;;+;
Frangula alnus;hl;;;;;+;;+;;;;;;;r;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;r
Fraxinus excelsior;hl;r;+;;;;;;;;;;;;;+;+;+;;+;;;;;;;;;;+;+;+;+;+;;+;;;;;;;;;;;+;+;1;1;;2a;+;;r
Galeobdolon luteum;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;+;r;;;;;;
Galium mollugo agg.;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+
Galium odoratum;hl;;;;;;;;;;;;;;;;+;+;;;;;;;;;;;;+;;;;+;;;;;;;;;;;;;;;;;;;;;
Galium sp.;hl;;;;;;;;;;;+;1;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Galium sylvaticum s.str.;hl;;+;+;;;;+;;;;;;;;+;+;+;+;;+;;;;;;;;;1;+;r;+;1;;1;;;;;;;;;;;+;r;1;+;;;;;
Galium truniacum;hl;;;;;+;;;;;;;;;;;;;;;+;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;r;;;;1
Gentiana clusii;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;;;;r;;;;;;;;;;;;;;;;;;
Gentianopsis ciliata;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r
Geranium robertianum s.str.;hl;;;;;;;r;;;;;;;;;;;;+;;;;;;;;;;;;;;1;;;+;1;;;;;;;;;+;;+;;;;;;+
Globularia cordifolia s.str.;hl;;;;;;;+;+;+;+;r;+;+;;;;;;;;3;2a;2a;;2a;;+;1;;;;;;;;+;;;2a;1;2a;r;1;;;;;;;;+;;;1
Globularia nudicaulis;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gymnadenia conopsea subsp. conopsea;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gymnocarpium robertianum;hl;;;+;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gymnocarpium dryopteris;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;
Gypsophila repens;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hedera helix;hl;r;+;+;;+;;;;;;;;;;2a;+;1;1;;;;;;;;;;;1;+;+;;+;;;;;;;;;;;;;;;;;;;;;
Helleborus niger;hl;1;+;+;2a;1;r;+;;;;;;;;+;1;+;1;+;1;;;;+;;+;;;1;+;+;;;+;+;+;+;+;;;;;;;;;;;;;;;;
Hepatica nobilis;hl;1;1;+;+;+;;;;;;;;;2m;+;1;;+;1;+;;;;;;+;;;1;+;+;1;+;+;+;;;1;;;;;;1;;;+;1;1;+;;;+;
Heracleum austriacum;hl;;;;;;;;;;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hieracium bifidum;hl;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;r;;;;
Hieracium bupleuroides;hl;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hieracium glaucum;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hieracium humile;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hippocrepis emerus subsp. emerus;hl;;;;r;;;;+;;;;;;2m;1;1;1;1;;r;;;r;+;;+;+;;+;1;+;1;;1;;;;+;r;;r;+;+;+;;r;r;1;+;3;1;1;;
Ilex aquifolium;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;
Juglans regia ;hl;;;+;r;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;;;;;;;+;;;;;;;;;;;;;;;;
Juniperus sabina;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kernera saxatilis;hl;;;;;;;;+;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Larix decidua;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Laserpitium latifolium subsp. latifolium;hl;;;;;;;;;;;;;;2a;;+;;;;1;;;;;;+;;;1;+;;;;;;;;+;;;;;;+;+;;;+;;1;;r;;
Laserpitium siler subsp. Siler;hl;;;;;;;;+;3;r;1;;;2a;;;;;;;r;+;+;3;2a;+;;;;+;;;;r;r;;;;+;1;1;r;+;1;2b;;;;;2a;+;+;+;
Lathyrus vernus;hl;r;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;
Leontodon incanus;hl;;;;;;;;;;;+;;;;+;;;+;;+;r;;2a;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;
Ligustrum vulgare;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Lilium martagon;hl;r;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Linaria alpina;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+
Lonicera xylosteum;hl;;r;;;+;;+;;;;;;;;;;;;;;;;;;;;;;+;;+;+;+;+;+;;r;;;;;;;;;;;+;;r;;;;+
Lotus corniculatus;hl;;;;;;;;;;;;;;;;;;;;+;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;
Taraxacum officinale;hl;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maianthemum bifolium;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melampyrum sylvaticum s.str.;hl;;;1;+;;+;;;;;;;;;;+;1;+;2a;1;;;;;;1;;;+;1;+;;;+;+;;;;;;;;;+;;;;;;1;;;1;
Melica ciliata;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Melica nutans;hl;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;+;;;;;;
Mercurialis perennis s.str.;hl;1;1;+;+;+;;;;;;;;;;+;+;;;;;;;;;;+;;;;+;;+;;;;;;1;;;;;;;;;;;+;;;;;
Molinia caerulea agg.;hl;;;3;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2b;;;;;;;;;;;;1;1;2a;;2b
Mycellis muralis;hl;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;r;;+;+;;;;;
Origanum vulgare subsp. vulgare;hl;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;;;;;;;;;;;;;;;;;;+;;1;1;r;+;;+;
Oxalis acetosella;hl;;;;;1;1;1;;;;;;;;;+;1;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;
Petasites paradoxus;hl;;;;;;;;;;;;;;;;;;;+;1;;;;+;;;;;;;;+;+;1;+;2a;2a;;;;;;;;;;;;;;;;;
Peucedanum cervaria;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;
Peucedanum oreoselinum;hl;;;;;;;;;r;;+;r;;;;;;;;+;;r;;;;;;;+;;;;;r;;;;;+;;;;;;;;;;;;+;;;r
Phyteuma orbiculare s.str.;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Picea abies;hl;+;r;+;;+;+;+;;;;;;;;+;+;+;;+;+;;r;;;;;;;1;+;+;;;1;+;+;+;;;;;;;;;;;r;r;;;;;+
Pimpinella major;hl;;;;r;;;;;;;;;;;;;;;+;+;;;;;;;;;;+;;;+;;1;;;;;;;;;;;;;;;;;;;
Pimpinella saxifraga;hl;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinus mugo s.str.;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pinus sylvestris;hl;;;;;;+;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polygala amara ;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;+;;;;;;;;;;;;;;;;r
Polygala chamaebuxus;hl;;;+;1;;+;;+;+;;;r;r;1;;;;+;1;1;r;+;+;;+;1;+;;1;+;2a;;;;+;;;+;;+;;;;+;;;;;;1;1;;;+
Polygonatum multiflorum;hl;;;;+;+;;;;;;;;;+;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Polygonatum odoratum;hl;;;;1;+;;;1;+;;;;;;+;;+;;1;;;r;;+;;+;;;1;+;+;+;;;1;+;;+;r;;;;;+;;;;;;2a;;+;+;
Polystichum aculeatum;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Populus nigra;hl;;;;;;;;r;;;r;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Potentilla caulescens;hl;;;;;;;;;;+;;;;;;;;;;;+;r;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;;;;;
Prenanthes purpurea;hl;+;+;+;+;;;+;;;;;;;;1;+;;+;+;+;;;;;;;;;;+;+;+;+;;+;r;;1;;;;;;;;;;+;+;;;;;
Prunella grandiflora;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pteridium aquilinum;hl;;;+;1;;;+;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pulmonaria officinalis;hl;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhamnus cathartica;hl;;;;;;;;;1;;;r;2a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;+;+;;;;;
Rhinanthus glacialis;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhamnus pumila;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rhamnus saxatilis;hl;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;+;;;2a;;;2a;;;;;;;;;
Rhinanthus glacialis;hl;;;;;;;;r;;+;;;;1;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;+
Rhododendron hirsutum;hl;;;;;;;;;;;;;;;;;;;;+;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ribes nigrum;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosa sp.;hl;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosa arvensis;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Rosa canina;hl;;;;;;;;;;;;;;;1;;;;1;;;;;;;r;;;+;;;+;+;+;;;+;;;;;;;;;;;+;;;;;;
Rosa pendulina;hl;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;r;;;;;;;;1;;;;;;
Rosa tomentosa;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r;
Rubus ideaus;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;;;;;;
Rubus Section Rubus;hl;;+;1;;+;;;;;;;;;;;;;;;;;;;;;;;;+;;+;+;+;;;;1;;;;;;;;;;r;1;+;;;;;
Rumex scutatus;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r
Salix appendiculata;hl;;;;;;;;;;;;;;;;;;;;;;;r;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2a;;r
Salix eleagnos;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix purpurea;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salix sp.;hl;;;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Salvia glutinosa;hl;;;+;r;+;;+;;;;;;;;1;;2m;+;+;1;;;;;;;;;1;;;+;2a;;+;;;+;;;;;;;;;;+;;;;;;+
Scabiosa columbaria;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;r
Scabiosa lucida;hl;;;;;;;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;+;+;;r;+
Sedum album;hl;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;+;;;;;;;;;;;;;
Sedum sp.;hl;;;;;;;;+;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sempervivum hirtum;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Senecio abrotanifolius;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Seseli libanotis;hl;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
