plot;species;layer;cov;voucher;comment;history
john102;Vicia sepium;hl;+;;;
john103;Achillea millefolium agg.;hl;+;;;
john103;Agrostis capillaris;hl;5;;;
john103;Ajuga reptans;hl;10;;;
john103;Alchemilla crinita;hl;+;;;
john103;Anemone nemorosa;hl;+;;;
john103;Anthoxanthum alpinum;hl;10;;;
john103;Arnica montana;hl;+;;;
john103;Briza media;hl;3;;;
john103;Calamagrostis villosa;hl;+;;;
john103;Campanula barbata;hl;+;;;
john103;Campanula scheuchzeri;hl;+;;;
john103;Cardaminopsis halleri;hl;+;;;
john103;Carex ornithopoda;hl;+;;;
john103;Carex pallescens;hl;3;;;
john103;Carex sylvatica;hl;+;;;
john103;Carlina acaulis;hl;3;;;
john103;Carum carvi;hl;r;;;
john103;Centaurea pseudophrygia;hl;15;;;
john103;Cerastium arvense;hl;+;;;
john103;Chaerophyllum villarsii;hl;3;;;
john103;Crepis aurea;hl;+;;;
john103;Cruciata laevipes;hl;+;;;
john103;Cynosurus cristatus;hl;2;;;
john103;Dactylis glomerata;hl;+;;;
john103;Dactylorhiza maculata;hl;+;;;
john103;Deschampsia cespitosa;hl;+;;;
john103;Euphorbia austriaca;hl;3;;;
john103;Festuca rubra agg.;hl;20;;;
john103;Galium anisophyllon;hl;r;;;
john103;Geranium phaeum;hl;+;;;
john103;Gnaphalium sylvaticum;hl;2;;;
john103;Gymnadenia conopsea;hl;1;;;
john103;Hieracium pilosella;hl;+;;;
john103;Hieracium sp.;hl;+;;;
john103;Hypericum maculatum;hl;+;;;
john103;Leontodon hispidus;hl;+;;;
john103;Leucanthemum ircutianum;hl;+;;;
john103;Lotus corniculatus;hl;3;;;
john103;Luzula luzulina;hl;r;;;
john103;Luzula multiflora;hl;2;;;
john103;Lychnis flos-cuculi;hl;+;;;
john103;Lysimachia nemorum;hl;+;;;
john103;Nardus stricta;hl;15;;;
john103;Orchis mascula;hl;+;;;
john103;Phleum rhaeticum;hl;10;;;
john103;Pimpinella major;hl;+;;;
john103;Plantago lanceolata;hl;3;;;
john103;Poa annua;hl;+;;;
john103;Poa pratensis;hl;+;;;
john103;Polygala alpestris;hl;1;;;
john103;Potentilla aurea;hl;5;;;
john103;Potentilla erecta;hl;8;;;
john103;Prunella vulgaris;hl;+;;;
john103;Pseudorchis albida;hl;+;;;
john103;Ranunculus acris;hl;3;;;
john103;Ranunculus nemorosus;hl;+;;;
john103;Senecio ovatus;hl;r;;;
john103;Senecio subalpinus;hl;+;;;
john103;Silene dioica;hl;+;;;
john103;Taraxacum officinale agg.;hl;+;;;
john103;Thymus pulegioides;hl;2;;;
john103;Trifolium pratense;hl;5;;;
john103;Trifolium repens;hl;+;;;
john103;Trollius europaeus;hl;+;;;
john103;Veratrum album;hl;20;;;
john103;Veronica chamaedrys;hl;2;;;
john103;Veronica officinalis;hl;+;;;
john103;Veronica serpyllifolia;hl;+;;;
john103;Vicia sepium;hl;+;;;
john104;Achillea millefolium agg.;hl;3;;;
john104;Agrostis capillaris;hl;5;;;
john104;Ajuga reptans;hl;5;;;
john104;Alchemilla crinita;hl;+;;;
john104;Alchemilla monticola;hl;3;;;
john104;Anthoxanthum alpinum;hl;10;;;
john104;Arnica montana;hl;2;;;
john104;Briza media;hl;7;;;
john104;Campanula barbata;hl;+;;;
john104;Campanula scheuchzeri;hl;+;;;
john104;Cardaminopsis halleri;hl;+;;;
john104;Carex ornithopoda;hl;+;;;
john104;Carex pallescens;hl;3;;;
john104;Carex sylvatica;hl;+;;;
john104;Carlina acaulis;hl;3;;;
john104;Carum carvi;hl;+;;;
john104;Centaurea pseudophrygia;hl;15;;;
john104;Cerastium arvense;hl;+;;;
john104;Cerastium holosteoides;hl;+;;;
john104;Chaerophyllum villarsii;hl;3;;;
john104;Crepis aurea;hl;+;;;
john104;Cruciata laevipes;hl;+;;;
john104;Cynosurus cristatus;hl;+;;;
john104;Dactylis glomerata;hl;2;;;
john104;Dactylorhiza maculata;hl;+;;;
john104;Deschampsia cespitosa;hl;+;;;
john104;Euphorbia austriaca;hl;+;;;
john104;Festuca rubra agg.;hl;20;;;
john104;Galium anisophyllon;hl;+;;;
john104;Geranium phaeum;hl;2;;;
john104;Gnaphalium sylvaticum;hl;2;;;
john104;Gymnadenia conopsea;hl;+;;;
john104;Hieracium aurantiacum;hl;+;;;
john104;Hieracium pilosella;hl;2;;;
john104;Hypericum maculatum;hl;3;;;
john104;Leontodon hispidus;hl;3;;;
john104;Leucanthemum ircutianum;hl;+;;;
john104;Lotus corniculatus;hl;+;;;
john104;Luzula multiflora;hl;2;;;
john104;Lychnis flos-cuculi;hl;+;;;
john104;Lysimachia nemorum;hl;+;;;
john104;Myosotis sp.;hl;+;;;
john104;Nardus stricta;hl;15;;;
john104;Orchis mascula;hl;+;;;
john104;Phleum rhaeticum;hl;10;;;
john104;Phyteuma spicatum;hl;+;;;
john104;Pimpinella major;hl;+;;;
john104;Plantago lanceolata;hl;+;;;
john104;Poa alpina;hl;+;;;
john104;Poa annua;hl;+;;;
john104;Poa pratensis;hl;+;;;
john104;Polygala alpestris;hl;+;;;
john104;Potentilla aurea;hl;5;;;
john104;Potentilla erecta;hl;8;;;
john104;Prunella vulgaris;hl;+;;;
john104;Ranunculus acris;hl;+;;;
john104;Ranunculus nemorosus;hl;+;;;
john104;Ranunculus repens;hl;+;;;
john104;Senecio subalpinus;hl;r;;;
john104;Silene dioica;hl;+;;;
john104;Thymus pulegioides;hl;7;;;
john104;Trifolium pratense;hl;10;;;
john104;Trifolium repens;hl;+;;;
john104;Vaccinium myrtillus;hl;+;;;
john104;Veratrum album;hl;30;;;
john104;Veronica chamaedrys;hl;+;;;
john104;Veronica serpyllifolia;hl;+;;;
john104;Vicia sepium;hl;+;;;
john11;Achillea millefolium agg.;hl;2;;;
john11;Agrostis capillaris;hl;5;;;
john11;Alchemilla glabra;hl;+;;;
john11;Alchemilla monticola;hl;10;;;
john11;Anthoxanthum alpinum;hl;5;;;
john11;Anthoxanthum odoratum;hl;5;;;
john11;Bellis perennis;hl;+;;;
john11;Cardaminopsis halleri;hl;+;;;
john11;Centaurea pseudophrygia;hl;+;;;
john11;Cerastium holosteoides;hl;+;;;
john11;Dactylis glomerata;hl;3;;;
john11;Elymus repens;hl;+;;;
john11;Festuca pratensis;hl;1;;;
john11;Festuca rubra agg.;hl;30;;;
john11;Galeopsis sp.;hl;+;;;
john11;Gnaphalium sylvaticum;hl;+;;;
john11;Heracleum sphondylium;hl;+;;;
john11;Hieracium cymosum;hl;+;;;
john11;Holcus mollis;hl;3;;;
john11;Homogyne alpina;hl;+;;;
john11;Hypericum maculatum;hl;+;;;
john11;Leontodon hispidus;hl;+;;;
john11;Leucanthemum sp.;hl;+;;;
john11;Luzula multiflora;hl;+;;;
john11;Lychnis flos-cuculi;hl;+;;;
john11;Lychnis viscaria;hl;+;;;
john11;Phleum pratense;hl;2;;;
john11;Plantago lanceolata;hl;3;;;
john11;Platanthera bifolia;hl;+;;;
john11;Poa annua;hl;2;;;
john11;Poa pratensis;hl;+;;;
john11;Poa trivialis;hl;+;;;
john11;Potentilla erecta;hl;+;;;
john11;Ranunculus acris;hl;5;;;
john11;Ranunculus repens;hl;3;;;
john11;Rhinanthus sp.;hl;3;;;
john11;Rumex acetosa;hl;2;;;
john11;Rumex obtusifolius;hl;+;;;
john11;Taraxacum officinale agg.;hl;2;;;
john11;Trifolium pratense;hl;2;;;
john11;Trifolium repens;hl;10;;;
john11;Trisetum flavescens;hl;+;;;
john11;Veronica chamaedrys;hl;2;;;
john11;Veronica officinalis;hl;5;;;
john11;Vicia cracca;hl;5;;;
john11;Vicia sepium;hl;5;;;
john111;Aconitum tauricum;hl;+;;;
john111;Adenostyles alliariae;hl;10;;;
john111;Agrostis capillaris;hl;5;;;
john111;Alchemilla monticola;hl;5;;;
john111;Anthoxanthum alpinum;hl;5;;;
john111;Asplenium viride;hl;+;;;
john111;Aster bellidiastrum;hl;2;;;
john111;Athyrium filix-femina;hl;+;;;
john111;Calycocorsus stipitatus;hl;5;;;
john111;Campanula scheuchzeri;hl;+;;;
john111;Carex echinata;hl;+;;;
john111;Carex ferruginea;hl;+;;;
john111;Carex nigra;hl;+;;;
john111;Carex sylvatica;hl;+;;;
john111;Chaerophyllum hirsutum;hl;5;;;
john111;Crepis aurea;hl;3;;;
john111;Dactylis glomerata;hl;+;;;
john111;Dactylorhiza maculata;hl;+;;;
john111;Daphne mezereum;hl;+;;;
john111;Deschampsia cespitosa;hl;10;;;
john111;Epilobium alpestre;hl;+;;;
john111;Festuca rubra agg.;hl;+;;;
john111;Gentiana punctata;hl;5;;;
john111;Geranium sylvaticum;hl;+;;;
john111;Geum montanum;hl;+;;;
john111;Geum rivale;hl;+;;;
john111;Gymnadenia conopsea;hl;+;;;
john111;Heracleum austriacum;hl;+;;;
john111;Homogyne alpina;hl;10;;;
john111;Hypochaeris radicata;hl;1;;;
john111;Juncus filiformis;hl;+;;;
john111;Leontodon helveticus;hl;5;;;
john111;Leontodon hispidus;hl;3;;;
john111;Leucanthemum adustum;hl;+;;;
john111;Lotus corniculatus;hl;+;;;
john111;Luzula multiflora;hl;+;;;
john111;Luzula sylvatica;hl;+;;;
john111;Nardus stricta;hl;15;;;
john111;Pedicularis recutita;hl;5;;;
john111;Peucedanum ostruthium;hl;3;;;
john111;Phleum rhaeticum;hl;10;;;
john111;Phyteuma spicatum;hl;3;;;
john111;Pimpinella major;hl;+;;;
john111;Poa alpina;hl;+;;;
john111;Potentilla aurea;hl;5;;;
john111;Primula elatior;hl;+;;;
john111;Ranunculus aconitifolius;hl;+;;;
john111;Ranunculus acris;hl;+;;;
john111;Ranunculus montanus;hl;+;;;
john111;Rhodiola rosea;hl;+;;;
john111;Rumex alpestris;hl;+;;;
john111;Rumex alpinus;hl;5;;;
john111;Saxifraga rotundifolia;hl;+;;;
john111;Senecio subalpinus;hl;+;;;
john111;Soldanella alpina;hl;+;;;
john111;Stellaria nemorum;hl;+;;;
john111;Thymus pulegioides;hl;+;;;
john111;Trifolium badium;hl;+;;;
john111;Trifolium pratense;hl;+;;;
john111;Trollius europaeus;hl;+;;;
john111;Veratrum album;hl;+;;;
john111;Viola biflora;hl;+;;;
john112;Aconitum tauricum;hl;+;;;
john112;Adenostyles alliariae;hl;5;;;
john112;Agrostis capillaris;hl;5;;;
john112;Alchemilla monticola;hl;5;;;
john112;Anthoxanthum alpinum;hl;5;;;
john112;Asplenium viride;hl;+;;;
john112;Aster bellidiastrum;hl;+;;;
john112;Calycocorsus stipitatus;hl;30;;;
john112;Campanula scheuchzeri;hl;+;;;
john112;Carex ferruginea;hl;2;;;
john112;Carex pallescens;hl;2;;;
john112;Carex sylvatica;hl;+;;;
john112;Chaerophyllum hirsutum;hl;5;;;
john112;Coeloglossum viride;hl;+;;;
john112;Crepis aurea;hl;3;;;
john112;Dactylorhiza maculata;hl;+;;;
john112;Daphne mezereum;hl;+;;;
john112;Deschampsia cespitosa;hl;8;;;
john112;Epilobium alpestre;hl;+;;;
john112;Gentiana punctata;hl;+;;;
john112;Geranium sylvaticum;hl;+;;;
john112;Geum montanum;hl;+;;;
john112;Geum rivale;hl;+;;;
john112;Gymnadenia conopsea;hl;+;;;
john112;Heracleum austriacum;hl;+;;;
john112;Homogyne alpina;hl;10;;;
john112;Hypericum maculatum;hl;+;;;
john112;Hypochaeris radicata;hl;+;;;
john112;Juncus filiformis;hl;2;;;
john112;Leontodon helveticus;hl;5;;;
john112;Leontodon hispidus;hl;+;;;
john112;Leucanthemum adustum;hl;+;;;
john112;Lotus corniculatus;hl;3;;;
john112;Luzula multiflora;hl;+;;;
john112;Luzula sylvatica;hl;+;;;
john112;Nardus stricta;hl;5;;;
john112;Pedicularis recutita;hl;5;;;
john112;Peucedanum ostruthium;hl;3;;;
john112;Phleum rhaeticum;hl;10;;;
john112;Phyteuma spicatum;hl;+;;;
john112;Poa alpina;hl;+;;;
john112;Potentilla aurea;hl;5;;;
john112;Primula elatior;hl;+;;;
john112;Ranunculus aconitifolius;hl;+;;;
john112;Ranunculus montanus;hl;+;;;
john112;Rhodiola rosea;hl;+;;;
john112;Rumex alpestris;hl;+;;;
john112;Rumex alpinus;hl;5;;;
john112;Sagina saginoides;hl;+;;;
john112;Saxifraga rotundifolia;hl;+;;;
john112;Senecio subalpinus;hl;+;;;
john112;Silene alpestris;hl;+;;;
john112;Silene dioica;hl;+;;;
john112;Stellaria nemorum;hl;+;;;
john112;Thymus pulegioides;hl;+;;;
john112;Trifolium badium;hl;+;;;
john112;Trifolium pratense;hl;+;;;
john112;Trollius europaeus;hl;+;;;
john112;Vaccinium myrtillus;hl;+;;;
john112;Veratrum album;hl;10;;;
john112;Viola biflora;hl;+;;;
john113;Aconitum tauricum;hl;+;;;
john113;Adenostyles alliariae;hl;10;;;
john113;Agrostis capillaris;hl;5;;;
john113;Alchemilla monticola;hl;5;;;
john113;Anthoxanthum alpinum;hl;5;;;
john113;Asplenium viride;hl;+;;;
john113;Aster bellidiastrum;hl;+;;;
john113;Athyrium filix-femina;hl;+;;;
john113;Calycocorsus stipitatus;hl;20;;;
john113;Campanula barbata;hl;3;;;
john113;Carex ferruginea;hl;2;;;
john113;Carex nigra;hl;+;;;
john113;Carex pallescens;hl;2;;;
john113;Chaerophyllum hirsutum;hl;5;;;
john113;Crepis aurea;hl;3;;;
john113;Dactylorhiza maculata;hl;+;;;
john113;Daphne mezereum;hl;+;;;
john113;Deschampsia cespitosa;hl;10;;;
john113;Festuca pratensis ssp. apennina;hl;+;;;
john113;Gentiana punctata;hl;+;;;
john113;Geranium sylvaticum;hl;+;;;
john113;Geum montanum;hl;+;;;
john113;Gnaphalium norvegicum;hl;+;;;
john113;Gymnadenia conopsea;hl;+;;;
john113;Heracleum austriacum;hl;+;;;
john113;Homogyne alpina;hl;10;;;
john113;Homogyne discolor;hl;+;;;
john113;Hypericum maculatum;hl;5;;;
john113;Juncus filiformis;hl;+;;;
john113;Leontodon helveticus;hl;5;;;
john113;Leontodon hispidus;hl;3;;;
john113;Leucanthemum adustum;hl;+;;;
john113;Lotus corniculatus;hl;+;;;
john113;Luzula multiflora;hl;2;;;
john113;Luzula sylvatica;hl;+;;;
john113;Nardus stricta;hl;5;;;
john113;Parnassia palustris;hl;+;;;
john113;Pedicularis recutita;hl;5;;;
john113;Persicaria vivipara;hl;+;;;
john113;Peucedanum ostruthium;hl;3;;;
john113;Phleum rhaeticum;hl;5;;;
john113;Phyteuma spicatum;hl;+;;;
john113;Poa alpina;hl;3;;;
john113;Poa pratensis;hl;+;;;
john113;Poa supina;hl;+;;;
john113;Potentilla aurea;hl;5;;;
john113;Primula elatior;hl;+;;;
john113;Pseudorchis albida;hl;+;;;
john113;Ranunculus aconitifolius;hl;+;;;
john113;Ranunculus montanus;hl;+;;;
john113;Rhodiola rosea;hl;+;;;
john113;Rumex alpestris;hl;5;;;
john113;Rumex alpinus;hl;5;;;
john113;Saxifraga rotundifolia;hl;+;;;
john113;Senecio subalpinus;hl;5;;;
john113;Silene alpestris;hl;+;;;
john113;Silene dioica;hl;+;;;
john113;Stellaria nemorum;hl;+;;;
john113;Thelypteris limbosperma;hl;+;;;
john113;Thymus pulegioides;hl;+;;;
john113;Trifolium badium;hl;+;;;
john113;Trifolium pratense;hl;+;;;
john113;Trollius europaeus;hl;+;;;
john113;Vaccinium myrtillus;hl;+;;;
john113;Veratrum album;hl;10;;;
john113;Viola biflora;hl;+;;;
john114;Achillea millefolium agg.;hl;+;;;
john114;Aconitum tauricum;hl;+;;;
john114;Adenostyles alliariae;hl;10;;;
john114;Agrostis capillaris;hl;5;;;
john114;Alchemilla glabra;hl;+;;;
john114;Alchemilla monticola;hl;5;;;
john114;Anthoxanthum alpinum;hl;5;;;
john114;Asplenium viride;hl;+;;;
john114;Aster bellidiastrum;hl;+;;;
john114;Athyrium filix-femina;hl;+;;;
john114;Calycocorsus stipitatus;hl;20;;;
john114;Campanula barbata;hl;3;;;
john114;Campanula scheuchzeri;hl;+;;;
john114;Carex ferruginea;hl;2;;;
john114;Carex pallescens;hl;2;;;
john114;Carex pilulifera;hl;+;;;
john114;Chaerophyllum hirsutum;hl;5;;;
john114;Crepis aurea;hl;3;;;
john114;Dactylorhiza maculata;hl;+;;;
john114;Daphne mezereum;hl;+;;;
john114;Deschampsia cespitosa;hl;10;;;
john114;Epilobium alpestre;hl;+;;;
john114;Festuca pratensis ssp. apennina;hl;+;;;
john114;Gentiana punctata;hl;+;;;
john114;Geranium sylvaticum;hl;+;;;
john114;Geum montanum;hl;+;;;
john114;Gnaphalium norvegicum;hl;+;;;
john114;Gymnadenia conopsea;hl;+;;;
john114;Heracleum austriacum;hl;2;;;
john114;Homogyne alpina;hl;10;;;
john114;Homogyne discolor;hl;+;;;
john114;Hypericum maculatum;hl;5;;;
john114;Juncus filiformis;hl;+;;;
john114;Leontodon helveticus;hl;5;;;
john114;Leontodon hispidus;hl;3;;;
john114;Leucanthemum adustum;hl;2;;;
john114;Lotus corniculatus;hl;+;;;
john114;Luzula multiflora;hl;2;;;
john114;Luzula sylvatica;hl;+;;;
john114;Myosotis sp.;hl;+;;;
john114;Nardus stricta;hl;5;;;
john114;Parnassia palustris;hl;+;;;
john114;Pedicularis recutita;hl;5;;;
john114;Persicaria vivipara;hl;+;;;
john114;Peucedanum ostruthium;hl;3;;;
john114;Phleum rhaeticum;hl;5;;;
john114;Phyteuma spicatum;hl;3;;;
john114;Poa alpina;hl;3;;;
john114;Poa supina;hl;+;;;
john114;Potentilla aurea;hl;5;;;
john114;Primula elatior;hl;+;;;
john114;Pseudorchis albida;hl;+;;;
john114;Ranunculus aconitifolius;hl;+;;;
john114;Ranunculus montanus;hl;+;;;
john114;Rhodiola rosea;hl;+;;;
john114;Rumex alpestris;hl;5;;;
john114;Rumex alpinus;hl;5;;;
john114;Saxifraga rotundifolia;hl;+;;;
john114;Senecio subalpinus;hl;5;;;
john114;Silene alpestris;hl;+;;;
john114;Silene dioica;hl;+;;;
john114;Stellaria nemorum;hl;+;;;
john114;Thelypteris limbosperma;hl;+;;;
john114;Thymus pulegioides;hl;1;;;
john114;Tofieldia calyculata;hl;+;;;
john114;Trifolium badium;hl;+;;;
john114;Trifolium pratense;hl;2;;;
john114;Trollius europaeus;hl;+;;;
john114;Vaccinium myrtillus;hl;+;;;
john114;Veratrum album;hl;10;;;
john114;Veronica arvensis;hl;+;;;
john114;Veronica chamaedrys;hl;+;;;
john114;Viola biflora;hl;+;;;
john12;Achillea millefolium agg.;hl;+;;;
john12;Agrostis capillaris;hl;5;;;
john12;Ajuga reptans;hl;2;;;
john12;Alchemilla glabra;hl;+;;;
john12;Alchemilla monticola;hl;10;;;
john12;Anthoxanthum alpinum;hl;5;;;
john12;Anthoxanthum odoratum;hl;5;;;
john12;Cardaminopsis halleri;hl;3;;;
john12;Carex pallescens;hl;+;;;
john12;Carex panicea;hl;+;;;
john12;Centaurea jacea;hl;+;;;
john12;Centaurea pseudophrygia;hl;5;;;
john12;Cerastium holosteoides;hl;+;;;
john12;Crepis aurea;hl;+;;;
john12;Dactylis glomerata;hl;+;;;
john12;Elymus repens;hl;2;;;
john12;Festuca pratensis;hl;+;;;
john12;Festuca rubra agg.;hl;30;;;
john12;Galeopsis sp.;hl;+;;;
john12;Heracleum sphondylium;hl;+;;;
john12;Hieracium cymosum;hl;+;;;
john12;Holcus mollis;hl;3;;;
john12;Hypericum maculatum;hl;3;;;
john12;Lathyrus pratensis;hl;+;;;
john12;Leucanthemum sp.;hl;+;;;
john12;Luzula multiflora;hl;+;;;
john12;Lychnis flos-cuculi;hl;3;;;
john12;Orchis sp.;hl;+;;;
john12;Phleum pratense;hl;+;;;
john12;Plantago lanceolata;hl;3;;;
john12;Platanthera bifolia;hl;+;;;
john12;Poa pratensis;hl;+;;;
john12;Poa trivialis;hl;+;;;
john12;Potentilla erecta;hl;+;;;
john12;Ranunculus acris;hl;5;;;
john12;Ranunculus repens;hl;+;;;
john12;Rhinanthus sp.;hl;+;;;
john12;Rumex acetosa;hl;2;;;
john12;Rumex obtusifolius;hl;+;;;
john12;Sorbus aucuparia;hl;r;;;
john12;Taraxacum officinale agg.;hl;+;;;
john12;Trifolium pratense;hl;+;;;
john12;Trifolium repens;hl;+;;;
john12;Trisetum flavescens;hl;5;;;
john12;Veronica chamaedrys;hl;8;;;
john12;Veronica officinalis;hl;5;;;
john12;Veronica serpyllifolia;hl;3;;;
john12;Vicia cracca;hl;5;;;
john121;Achillea millefolium agg.;hl;+;;;
john121;Adenostyles alliariae;hl;+;;;
john121;Agrostis capillaris;hl;20;;;
john121;Alchemilla straminea;hl;3;;;
john121;Anthoxanthum alpinum;hl;15;;;
john121;Arnica montana;hl;+;;;
john121;Athyrium distentifolium;hl;+;;;
john121;Avenella flexuosa;hl;+;;;
john121;Bellis perennis;hl;+;;;
john121;Calamagrostis villosa;hl;+;;;
john121;Campanula barbata;hl;+;;;
john121;Campanula scheuchzeri;hl;+;;;
john121;Cardaminopsis halleri;hl;+;;;
john121;Carex leporina;hl;+;;;
john121;Carum carvi;hl;+;;;
john121;Cerastium holosteoides;hl;+;;;
john121;Chrysosplenium alternifolium;hl;+;;;
john121;Crepis aurea;hl;+;;;
john121;Dactylis glomerata;hl;+;;;
john121;Deschampsia cespitosa;hl;3;;;
john121;Dryopteris dilatata;hl;+;;;
john121;Epilobium sp.;hl;+;;;
john121;Euphrasia sp.;hl;2;;;
john121;Festuca rubra agg.;hl;15;;;
john121;Gentiana punctata;hl;+;;;
