plot,abbr,layer,cov,height,comment
1048166,betu pend plus pube,hl,+,0,few individuals (r)
1048166,bide cern,hl,+,0,
1048166,call vulg,hl,+,0,few individuals (r)
1048166,pinu sylv,hl,+,0,few individuals (r)
1081164,betu pend plus pube,hl,1a,0,
1081164,cala epig,hl,1a,35,
1081164,cirs palu,hl,+,0,few individuals (r)
1081164,dros inte,hl,+,0,few individuals (r)
1081164,equi palu,hl,1b,30,
1081164,junc arti,hl,+,0,few individuals (r)
1081164,junc effu,hl,1a,0,
1081164,phra aust,hl,2a,100,
1081164,popu trem,hl,+,0,few individuals (r)
1081164,sali cine plus auri,hl,1a,0,
1081164,sali purp,hl,+,0,
1081164,soli giga,hl,+,70,few individuals (r)
1081164,cera purp,ml,1a,0,
1081165,agro stol,hl,1a,0,
1081165,betu pend plus pube,hl,1b,0,
1081165,cala epig,hl,1a,35,
1081165,care pseu,hl,1a,0,
1081165,epil cili cili,hl,+,0,few individuals (r)
1081165,equi palu,hl,2a,30,
1081165,holc lana,hl,+,0,few individuals (r)
1081165,junc effu,hl,1a,0,
1081165,leer oryz,hl,+,0,
1081165,lyco euro euro,hl,2a,0,
1081165,phra aust,hl,1b,50,
1081165,plan lanc,hl,+,0,few individuals (r)
1081165,popu trem,hl,+,0,
1081165,pote norv,hl,1a,0,
1081165,rori sylv,hl,+,0,
1081165,sali cine plus auri,hl,1b,0,
1081165,sali purp,hl,1a,0,
1081165,soli giga,hl,1a,60,
1081165,cera purp,ml,1a,0,
1082164,agro stol,hl,+,0,few individuals (r)
1082164,betu pend plus pube,hl,+,0,
1082164,care pseu,hl,+,0,few individuals (r)
1082164,cirs palu,hl,+,0,few individuals (r)
1082164,dros inte,hl,+,0,few individuals (r)
1082164,equi palu,hl,1a,30,
1082164,eupa cann,hl,1a,0,
1082164,lyco euro euro,hl,+,0,
1082164,phra aust,hl,1a,80,
1082164,popu trem,hl,+,0,few individuals (r)
1082164,pote norv,hl,1a,0,
1082164,rori sylv,hl,+,0,
1082164,sali alba,hl,+,0,
1082164,sali cine plus auri,hl,1a,0,
1082164,soli giga,hl,1a,80,
1082164,tuss farf,hl,+,0,few individuals (r)
1082164,cera purp,ml,1a,0,
1082165,agro stol,hl,+,0,
1082165,betu pend plus pube,hl,1a,0,
1082165,cala epig,hl,1a,25,
1082165,desc cesp,hl,+,0,few individuals (r)
1082165,equi palu,hl,1a,20,
1082165,eupa cann,hl,+,0,few individuals (r)
1082165,junc arti,hl,1a,0,
1082165,lyco euro euro,hl,1a,0,
1082165,phra aust,hl,1a,90,
1082165,rori sylv,hl,+,0,few individuals (r)
1082165,sali cine plus auri,hl,1a,0,
1082165,sali purp,hl,+,0,
1082165,soli giga,hl,1a,80,
1082165,cera purp,ml,1a,0,
1083165,alis plan,hl,+,0,few individuals (r)
1083165,betu pend plus pube,hl,+,0,few individuals (r)
1083165,cala epig,hl,+,20,few individuals (r)
1083165,care cane cane,hl,+,0,few individuals (r)
1083165,care pseu,hl,+,0,
1083165,eleo mami aust,hl,+,0,
1083165,epil cili cili,hl,+,0,few individuals (r)
1083165,junc arti,hl,1a,0,
1083165,junc bufo,hl,1a,0,
1083165,junc effu,hl,+,0,
1083165,leer oryz,hl,+,0,
1083165,lyco euro euro,hl,1b,0,
1083165,phra aust,hl,2b,50,
1083165,popu trem,hl,+,0,few individuals (r)
1083165,pote norv,hl,+,0,few individuals (r)
1083165,sali cine plus auri,hl,1a,0,
1083165,cera purp,ml,+,0,few individuals (r)
1083166,alis plan,hl,+,0,few individuals (r)
1083166,bide cern,hl,+,0,few individuals (r)
1083166,care pseu,hl,+,0,few individuals (r)
1083166,eleo mami aust,hl,1a,0,
1083166,junc arti,hl,+,0,
1083166,leer oryz,hl,1a,0,
1083166,lyco euro euro,hl,+,0,few individuals (r)
1083166,phra aust,hl,+,60,
1083166,cera purp,ml,+,0,few individuals (r)
1084165,agro stol,hl,+,0,few individuals (r)
1084165,betu pend plus pube,hl,+,0,
1084165,bide cern,hl,+,0,few individuals (r)
1084165,cala epig,hl,1a,40,
1084165,care pseu,hl,1a,0,
1084165,eleo mami aust,hl,+,0,few individuals (r)
1084165,epil cili cili,hl,+,0,few individuals (r)
1084165,eupa cann,hl,+,0,
1084165,gnap ulig,hl,+,0,few individuals (r)
1084165,junc arti,hl,+,0,
1084165,junc effu,hl,1a,0,
1084165,leer oryz,hl,1a,0,
1084165,lyco euro euro,hl,1b,0,
1084165,phra aust,hl,2b,70,
1084165,popu trem,hl,+,0,few individuals (r)
1084165,pote norv,hl,+,0,few individuals (r)
1084165,sagi proc,hl,+,0,few individuals (r)
1084165,sali cine plus auri,hl,+,0,
1084165,sali purp,hl,+,0,few individuals (r)
1084165,bryu arge,ml,+,0,few individuals (r)
1084165,cera purp,ml,+,0,
1084166,care pseu,hl,1a,0,
1084166,eleo mami aust,hl,1a,0,
1084166,epil cili cili,hl,+,0,few individuals (r)
1084166,junc arti,hl,+,0,few individuals (r)
1084166,junc bufo,hl,+,0,few individuals (r)
1084166,leer oryz,hl,+,0,
1084166,lyco euro euro,hl,+,0,
1084166,phra aust,hl,2b,70,
1084166,pote norv,hl,+,0,few individuals (r)
1084166,sali purp,hl,+,0,few individuals (r)
1084166,cera purp,ml,+,0,few individuals (r)
1085163,betu pend plus pube,hl,+,0,
1085163,equi palu,hl,+,15,
1085163,junc arti,hl,+,0,few individuals (r)
1085163,junc effu,hl,1a,0,
1085163,moli caer,hl,+,0,few individuals (r)
1085163,phra aust,hl,1a,60,
1085163,popu trem,hl,+,0,few individuals (r)
1085163,sali cine plus auri,hl,+,0,few individuals (r)
1085163,soli giga,hl,+,15,few individuals (r)
1085163,thym pule pule,hl,1a,0,
1085163,camp intr,ml,+,0,few individuals (r)
1085164,cala epig,hl,+,35,few individuals (r)
1085164,desc cesp,hl,+,0,few individuals (r)
1085164,equi palu,hl,+,15,few individuals (r)
1085164,junc arti,hl,+,0,
1085164,junc effu,hl,+,0,few individuals (r)
1085164,phra aust,hl,2a,50,
1085164,soli giga,hl,+,35,few individuals (r)
1085164,thym pule pule,hl,+,0,few individuals (r)
1085164,camp intr,ml,+,0,few individuals (r)
1085164,cera purp,ml,+,0,few individuals (r)
1085166,betu pend plus pube,hl,+,0,
1085166,cala epig,hl,+,45,few individuals (r)
1085166,equi palu,hl,+,40,
1085166,junc effu,hl,+,0,
1085166,pers hydr,hl,+,0,few individuals (r)
1085166,phra aust,hl,3,110,
1085166,popu trem,hl,+,0,few individuals (r)
1085166,sali alba,hl,+,0,few individuals (r)
1085166,sali cine plus auri,hl,+,0,
1085166,sali purp,hl,+,0,few individuals (r)
1085166,soli giga,hl,+,70,
1085166,bryu arge,ml,+,0,few individuals (r)
1085166,cera purp,ml,+,0,
1085167,betu pend plus pube,hl,1a,0,
1085167,cala epig,hl,+,50,few individuals (r)
1085167,care pseu,hl,+,0,
1085167,desc cesp,hl,+,0,few individuals (r)
1085167,eleo mami aust,hl,+,0,few individuals (r)
1085167,junc arti,hl,1a,0,
1085167,junc effu,hl,+,0,few individuals (r)
1085167,leer oryz,hl,+,0,few individuals (r)
1085167,pers hydr,hl,+,0,
1085167,phra aust,hl,2a,120,
1085167,sali cine plus auri,hl,+,0,few individuals (r)
1085167,sali purp,hl,+,0,few individuals (r)
1085167,cera purp,ml,1a,0,
1086163,betu pend plus pube,hl,+,0,few individuals (r)
1086163,cala epig,hl,+,45,few individuals (r)
1086163,equi palu,hl,+,15,
1086163,eupa cann,hl,+,0,few individuals (r)
1086163,junc effu,hl,+,0,few individuals (r)
1086163,phra aust,hl,1a,70,
1086163,popu trem,hl,+,0,few individuals (r)
1086163,rubu sect rubu,hl,+,0,few individuals (r)
1086163,sali cine plus auri,hl,+,0,few individuals (r)
1086163,sali purp,hl,+,0,few individuals (r)
1086163,soli giga,hl,+,60,few individuals (r)
1086163,camp intr,ml,+,0,few individuals (r)
1086163,cera purp,ml,+,0,few individuals (r)
1086164,betu pend plus pube,hl,+,0,few individuals (r)
1086164,cala epig,hl,1b,50,
1086164,desc cesp,hl,+,0,few individuals (r)
1086164,epil cili cili,hl,+,0,few individuals (r)
1086164,equi palu,hl,+,15,
1086164,junc arti,hl,+,0,few individuals (r)
1086164,junc tenu,hl,+,0,few individuals (r)
1086164,lyco euro euro,hl,1a,0,
1086164,phra aust,hl,2a,80,
1086164,popu trem,hl,+,0,few individuals (r)
1086164,soli giga,hl,1b,0,
1086164,camp intr,ml,+,0,few individuals (r)
1086164,cera purp,ml,+,0,
1086166,betu pend plus pube,hl,+,0,few individuals (r)
1086166,cala epig,hl,+,60,
1086166,care pseu,hl,+,0,few individuals (r)
1086166,epil parv,hl,+,0,few individuals (r)
1086166,equi palu,hl,1b,40,
1086166,lyco euro euro,hl,+,0,few individuals (r)
1086166,phra aust,hl,1a,110,
1086166,sali cine plus auri,hl,+,0,few individuals (r)
1086166,sali purp,hl,+,0,few individuals (r)
1086166,scro nodo,hl,+,0,few individuals (r)
1086166,tuss farf,hl,+,0,few individuals (r)
1086166,call cusp,ml,+,0,
1086166,cera purp,ml,+,0,few individuals (r)
1086167,betu pend plus pube,hl,+,0,
1086167,cala epig,hl,1b,65,
1086167,equi palu,hl,1b,40,
1086167,junc effu,hl,+,0,
1086167,junc tenu,hl,1a,0,
1086167,lyco euro euro,hl,1b,0,
1086167,pers hydr,hl,+,0,few individuals (r)
1086167,phra aust,hl,3,110,
1086167,plan majo majo,hl,+,0,few individuals (r)
1086167,rori sylv,hl,+,0,few individuals (r)
1086167,sali cine plus auri,hl,+,0,few individuals (r)
1086167,sali purp,hl,+,0,few individuals (r)
1086167,soli giga,hl,+,90,
1087164,agro stol,hl,+,0,few individuals (r)
1087164,cala epig,hl,+,30,few individuals (r)
1087164,equi palu,hl,+,30,few individuals (r)
1087164,junc arti,hl,+,0,few individuals (r)
1087164,junc effu,hl,+,0,few individuals (r)
1087164,lyco euro euro,hl,+,0,few individuals (r)
1087164,sali myrs,hl,+,0,few individuals (r)
1087164,soli giga,hl,+,0,few individuals (r)
1087165,equi palu,hl,2a,30,
1087165,junc arti,hl,+,0,few individuals (r)
1087165,lepi camp,hl,+,0,few individuals (r)
1087165,lyco euro euro,hl,+,0,few individuals (r)
1087165,pers miti,hl,+,0,few individuals (r)
1087165,phra aust,hl,+,20,few individuals (r)
1087165,sali cine plus auri,hl,+,0,few individuals (r)
1087165,soli giga,hl,+,15,few individuals (r)
1087165,bryu arge,ml,+,0,few individuals (r)
1087165,cera purp,ml,+,0,few individuals (r)
1087167,cala epig,hl,3,120,
1087167,cirs arve,hl,1a,0,
1087167,equi palu,hl,+,50,
1087167,junc effu,hl,+,0,few individuals (r)
1087167,lyco euro euro,hl,+,0,
1087167,phal arun,hl,1a,0,
1087167,phra aust,hl,+,110,
1087167,pote norv,hl,+,0,few individuals (r)
1087167,soli giga,hl,4,100,
1087167,tuss farf,hl,2b,0,
1087168,alis plan,hl,+,0,
1087168,bide cern,hl,1a,0,
1087168,care pseu,hl,+,0,few individuals (r)
1087168,cirs arve,hl,+,0,few individuals (r)
1087168,epil cili cili,hl,+,0,few individuals (r)
1087168,equi palu,hl,+,35,
1087168,gali albu,hl,+,0,
1087168,leer oryz,hl,3,0,
1087168,lyco euro euro,hl,1a,0,
1087168,pers miti,hl,+,0,
1087168,phal arun,hl,+,0,
1087168,phra aust,hl,1b,90,
1087168,plan majo majo,hl,+,0,few individuals (r)
1087168,pote norv,hl,1a,0,
1087168,tuss farf,hl,1a,0,
1088164,cera holo,hl,+,0,few individuals (r)
1088164,dros rotu,hl,+,0,few individuals (r)
1088164,equi palu,hl,+,25,few individuals (r)
1088164,junc arti,hl,+,0,few individuals (r)
1088164,junc effu,hl,+,0,few individuals (r)
1088164,junc tenu,hl,+,0,few individuals (r)
1088164,lyco euro euro,hl,+,0,few individuals (r)
1088164,phra aust,hl,+,45,few individuals (r)
1088164,soli giga,hl,+,15,few individuals (r)
1088165,arab hirs,hl,+,0,few individuals (r)
1088165,epil cili cili,hl,+,0,few individuals (r)
1088165,equi palu,hl,3,40,
1088165,junc arti,hl,+,0,few individuals (r)
1088165,junc tenu,hl,+,0,few individuals (r)
1088165,lyco euro euro,hl,+,0,few individuals (r)
1088165,pers miti,hl,+,0,few individuals (r)
1088165,phra aust,hl,1a,50,
1088165,soli giga,hl,+,40,few individuals (r)
1088165,tuss farf,hl,+,0,few individuals (r)
1088165,bryu arge,ml,+,0,few individuals (r)
1088167,cala epig,hl,1b,100,
1088167,cirs arve,hl,1a,0,
1088167,epil parv,hl,+,0,few individuals (r)
1088167,equi palu,hl,1b,40,
1088167,lyco euro euro,hl,+,0,few individuals (r)
1088167,ment aqua,hl,+,0,few individuals (r)
1088167,phra aust,hl,1a,150,
1088167,soli giga,hl,2a,120,
1088167,tuss farf,hl,3,0,
1088168,alis plan,hl,1b,0,
1088168,cala epig,hl,+,80,
1088168,call palu aggr,hl,2b,0,
1088168,eleo mami aust,hl,+,0,few individuals (r)
1088168,epil parv,hl,+,0,few individuals (r)
1088168,equi palu,hl,1a,70,
1088168,gali palu palu,hl,+,0,few individuals (r)
1088168,hype tetr,hl,+,0,few individuals (r)
1088168,junc bufo,hl,+,0,few individuals (r)
1088168,leer oryz,hl,1a,0,
1088168,lyco euro euro,hl,+,0,
1088168,pers miti,hl,+,0,few individuals (r)
1088168,phra aust,hl,2b,180,
1088168,pota berc,hl,+,0,
1088168,pote norv,hl,+,0,few individuals (r)
1088168,tuss farf,hl,+,0,
1089165,cala epig,hl,1b,130,
1089165,cirs palu,hl,+,0,
1089165,equi palu,hl,4,60,
1089165,eupa cann,hl,+,0,
1089165,hype perf,hl,+,0,few individuals (r)
1089165,junc effu,hl,1a,0,
1089165,luzu mult,hl,+,0,few individuals (r)
1089165,phra aust,hl,2b,130,
1089165,sali cine plus auri,hl,1a,0,
1089165,scir sylv,hl,2a,0,
1089165,soli giga,hl,3,120,
1089165,tuss farf,hl,1b,0,
1089165,call cusp,ml,1b,0,
1089165,cera purp,ml,1a,0,
1089166,cala epig,hl,1b,150,
1089166,care pseu,hl,+,0,
1089166,cirs arve,hl,+,0,few individuals (r)
1089166,desc cesp,hl,2b,0,
1089166,equi palu,hl,2b,60,
1089166,eupa cann,hl,1a,0,
1089166,holc lana,hl,+,0,
1089166,hype perf,hl,1a,0,
1089166,junc effu,hl,1a,0,
1089166,lyco euro euro,hl,+,0,
1089166,phra aust,hl,3,160,
1089166,sali alba,hl,1a,0,
1089166,sali cine plus auri,hl,+,0,
1089166,soli giga,hl,4,140,
1089166,call cusp,ml,+,0,
1090165,cala epig,hl,2a,70,
1090165,cirs arve,hl,+,0,
1090165,cirs palu,hl,+,0,few individuals (r)
1090165,epil cili cili,hl,+,0,
1090165,equi palu,hl,3,60,
1090165,eupa cann,hl,1b,0,
1090165,gale spec iosa,hl,+,0,few individuals (r)
1090165,hype perf,hl,+,0,
1090165,junc effu,hl,1a,0,
1090165,lepi camp,hl,+,0,few individuals (r)
1090165,phra aust,hl,2b,160,
1090165,pote norv,hl,+,0,
1090165,rubu idae,hl,+,0,few individuals (r)
1090165,sali cine plus auri,hl,1a,0,
1090165,sali purp,hl,+,0,few individuals (r)
1090165,soli giga,hl,3,130,
1090165,tuss farf,hl,2b,0,
1090166,cala epig,hl,2b,140,
1090166,cirs arve,hl,1a,0,
1090166,desc cesp,hl,2a,0,
1090166,eupa cann,hl,+,0,
1090166,gali albu,hl,2b,0,
1090166,hype perf,hl,+,0,few individuals (r)
1090166,junc effu,hl,1a,0,
1090166,lepi camp,hl,+,0,few individuals (r)
1090166,phra aust,hl,2a,150,
1090166,sali alba,hl,+,0,few individuals (r)
1090166,sali cine plus auri,hl,+,0,few individuals (r)
1090166,soli giga,hl,3,120,
1090166,tuss farf,hl,2b,0,
1090166,marc poly slat,ml,+,0,
1107106,cala epig,hl,+,25,
1107106,pers hydr,hl,+,0,few individuals (r)
1107106,soli giga,hl,+,5,few individuals (r)
1107107,unde alga,ml,+,,plot bare of vegetation
1108106,alnu glut,hl,+,0,few individuals (r)
1108106,cala epig,hl,+,10,few individuals (r)
1108106,pinu sylv,hl,+,0,few individuals (r)
1108107,alnu glut,hl,+,0,few individuals (r)
1108107,cala epig,hl,+,5,few individuals (r)
1108107,soli giga,hl,+,25,few individuals (r)
1109105,cala epig,hl,+,15,few individuals (r)
1109105,moli caer,hl,+,0,few individuals (r)
1109106,cala epig,hl,+,15,few individuals (r)
1110105,cala epig,hl,+,25,few individuals (r)
1110105,cirs palu,hl,+,0,few individuals (r)
1110105,phra aust,hl,+,20,few individuals (r)
1110106,cala epig,hl,+,20,few individuals (r)
1110106,junc tenu,hl,+,0,few individuals (r)
1110106,sagi proc,hl,+,0,few individuals (r)
1111104,aren serp,hl,+,0,few individuals (r)
1111104,betu pend plus pube,hl,+,0,few individuals (r)
1111104,cera holo,hl,+,0,few individuals (r)
1111104,cirs arve,hl,2a,0,
1111104,desc cesp,hl,2b,0,
1111104,junc tenu,hl,+,0,
1111104,leer oryz,hl,+,10,few individuals (r)
1111104,lepi camp,hl,+,0,few individuals (r)
1111104,pers hydr,hl,+,0,few individuals (r)
1111104,phra aust,hl,4,130,
1111104,poly avic slat,hl,+,0,few individuals (r)
1111104,sper rubr,hl,+,0,few individuals (r)
1111104,bryu arge,ml,+,0,
1111105,alnu glut,hl,+,0,few individuals (r)
1111105,cera holo,hl,+,0,few individuals (r)
1111105,cirs arve,hl,1a,0,
1111105,desc cesp,hl,1b,0,
1111105,eupa cann,hl,1a,0,
1111105,junc tenu,hl,+,0,
1111105,phra aust,hl,5,140,
1111105,pinu sylv,hl,+,0,few individuals (r)
1111105,sagi proc,hl,+,0,
1111105,soli giga,hl,+,120,
1111105,sper rubr,hl,+,0,
1111105,bryu arge,ml,+,0,few individuals (r)
1111105,cera purp,ml,2b,0,
1112104,betu pend plus pube,hl,+,0,few individuals (r)
1112104,cala epig,hl,2a,70,
1112104,care pseu,hl,+,20,few individuals (r)
1112104,cera holo,hl,+,0,few individuals (r)
1112104,cirs arve,hl,1a,0,
1112104,desc cesp,hl,+,0,
1112104,erig cana,hl,+,0,few individuals (r)
1112104,junc arti,hl,+,0,
1112104,junc effu,hl,+,35,few individuals (r)
1112104,pers hydr,hl,+,0,few individuals (r)
