BEGIN HEADER

RELEVE NO.          | 5 . 5 5 5 2 5 . 5 5 . 5 5 2 . 9 | 5 5 5 5 5 5 5 5 5 5 5 5 | . . . | 5 . 5 . | . . | 5 5 5 8 8 5 . 8 7 | 7 5 7 5 9 . . | 9 9 4 7 9 9 9 | 7 7 7 9 9 | . 8 7 7 7 8 7 9 9 | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | 7 7 7 8 . 7 . . | . 7 9 7 7 9 4
                    | 0 0 0 0 0 0 0 5 0 0 0 0 0 5 5 0 | 0 0 0 0 0 0 0 0 0 0 0 0 | 0 0 0 | 0 0 0 0 | 0 0 | 0 0 0 0 0 0 0 0 0 | 0 0 0 0 0 0 0 | 5 0 0 0 . . . | 5 0 5 0 0 | 0 0 0 0 0 0 0 . . | 0 1 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 | 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 | 0 0 0 0 0 0 0 0 0 0 | 0 0 0 0 0 0 0 0 | 0 0 0 0 0 0 0

HANGNEIGUNG (%)     | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . 1 . . . | . . . . 6 8 7 | . . . . . | . . . . . . . 2 6 | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . 3 3 . | . . . . . . . . . . | . . . 1 . . . . | . . . . . . .
                    | 6 8 7 7 7 8 7 5 7 9 5 7 7 3 5 1 | 6 7 4 7 6 4 6 6 6 7 3 6 | 6 6 8 | 6 4 5 8 | 5 6 | 6 8 7 6 6 6 4 4 9 | 4 3 7 0 4 7 4 | 5 4 2 9 0 5 5 | 5 7 5 7 7 | 2 6 5 8 6 2 . 0 5 | 3 2 3 # 3 4 3 3 1 3 4 4 3 3 3 3 2 | 4 2 3 3 3 3 3 4 2 3 3 4 5 3 4 4 0 0 3 | 3 6 8 8 6 5 8 4 5 S | 6 9 6 0 4 9 5 3 | 9 6 4 7 7 1 4
                    | 5 0 0 0 0 1 0 0 0 0 0 5 0 7 0 0 | 0 0 0 5 0 5 0 5 0 0 0 0 | 0 5 0 | 0 0 0 0 | 0 0 | 0 0 5 5 0 5 5 0 0 | 5 0 0 0 0 0 0 | 5 0 0 5 . . . | 5 0 5 0 5 | 5 0 0 0 0 0 5 . . | 5 5 0 # 0 0 0 0 0 0 0 5 5 5 0 0 5 | 0 5 5 5 0 5 0 0 0 5 5 0 5 5 0 0 . . 5 | 5 0 0 0 0 0 0 0 0 0 | 5 5 5 0 5 0 0 0 | 0 5 0 5 0 0 0

EXPOSITION          | N E N N N N N N N S N N N N N N | N N N N W W N N W W N W | N S S | E S E S | S S | N N N S S N N N E | S N N N S N N | N N N E N E E | N N N N N | S S W S S S S S S | N N N # N N W N S S E N W W N N N | S S S S S S S S S S S N S S E E S S S | S S S S S S # # S S | S S S S S S S S | S S S S S N S
                    | . . W E E . W . W . . W W . . . | . . . . . . . . . . . . | . . . | . . . . | . E | . . E . . . . . . | E W . W W . E | W E W . E N N | E E E E E | . E . W . . E S W | . . . # . E E . E . . . . . E . . | . . . . . . . E . . . E . . . . . . W | . . . . . . # # . . | W W . E . W E . | E . W W . E .
END HEADER
BEGIN TABLE
FRAX EXCE       @tl | . . . . . . + . . + . + 1 + 1 . | 1 2 + 1 1 1 1 1 1 2 3 1 | . . . | 1 2 3 1 | 4 4 | + . 3 2 1 1 1 . 1 | 3 3 . 4 3 4 2 | 2 2 2 3 1 . . | . 3 2 . . | . 5 4 3 2 3 2 4 3 | + 3 2 2 2 2 2 1 2 4 2 1 2 2 2 2 + | 1 2 3 1 1 1 + 1 1 1 1 . 1 2 3 1 2 . 2 | 1 1 1 1 + + + 2 2 + | 2 1 2 1 + 3 2 2 | . . . + . . .
ULMU SCAB       @tl | . . + 1 + . + . 2 2 . 2 1 . + . | + + 2 2 + 2 1 2 + + 2 + | . . . | 1 + 1 1 | + + | . 1 . . 2 3 1 4 4 | 3 2 2 2 2 + 2 | + . 1 . 1 4 1 | . 4 3 2 . | 1 + 2 2 3 2 + . . | . + 1 1 1 1 1 + + 2 + 1 + 1 1 1 . | + 1 . 1 + + 1 + . + + + . 2 1 1 1 + + | . . + . . . . . . . | + . . . 1 . 1 . | . . . . . . .
FAGU SILV       @tl | . . 1 + 1 + . 1 . + . . . . + . | + + . 2 1 + + + 4 . + 2 | . . . | . 2 + + | . + | . . . 3 3 . + 1 2 | 3 + 4 + 2 1 . | 4 2 . 1 3 . 2 | 2 . 1 . 3 | 2 . + 1 . . . 1 2 | + 1 + + . 2 1 + 2 + 1 + + + + 1 . | . . . 1 . 2 + . . + + . 3 1 + + . . + | + + + . 2 + + . 1 + | 1 . . + + . . . | + 2 2 + 3 1 +
ACER PSEU       @tl | 3 5 4 2 5 4 4 3 4 4 4 4 4 4 + + | 4 3 4 4 4 2 5 4 2 4 3 4 | + 5 5 | 4 4 4 2 | 3 2 | 4 4 3 4 . 2 . 1 . | . 3 2 2 2 + 1 | + 2 2 5 5 . 4 | 3 3 2 2 . | + . 3 . 3 2 2 . . | + . . + 1 + + + + . . + + 1 + + . | . . . + + . 1 . . . . . + . + . + + . | . . . . . . . . . . | . . . . + . . + | . . . . . . .
TILI CORD       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . 4 1 . | . . . . . + 3 | . . . . . . . | 3 3 2 3 2 | 3 . 3 2 2 2 2 . 2 | 5 4 4 4 5 3 4 5 4 3 4 3 3 4 4 4 4 | 5 3 4 2 5 3 4 5 5 5 5 4 2 3 4 4 2 5 4 | 3 + 2 . 2 4 1 1 1 2 | 2 2 3 + + 3 2 . | . . 2 1 . . .
PICE EXCE       @tl | 2 + + . . . + 2 1 + 2 1 . . 4 2 | . . . . . 2 + . . + + . | 4 + 1 | . . + + | + 4 | . + + 2 2 . . 2 . | . . 3 . 2 + . | 2 2 . . . . . | 2 1 1 2 . | . . . . . . . 1 + | + + . + + + . . . + + + . . . . . | . + + 2 + . . + . . . 1 . . . . . . . | + 2 . . . . . . + . | . . . . . . . . | . + . . 1 + .
ACER PLAT       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . 1 1 1 + . . | 2 . . . 1 + 2 | . 2 1 . . . . | 2 2 2 1 2 | + + 3 3 . 1 2 . . | . + 1 1 + 1 1 + 2 + . + 1 1 + 1 2 | . . . . + + . + + 1 . + . . + + 1 . + | + . . . + . . . . . | 1 . . . . . . . | . . . . . 1 .
SORB ARIA       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | R + | 1 . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | + + + + + . + + + . . + + . . . . | + + + 1 + + 3 . . + + 2 . 1 . . . . . | 1 + + + 1 1 2 + 2 + | 1 2 2 3 1 2 1 + | + 3 1 2 + 1 +
PRUN AVIU       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . R | . . . . . . + . . | . . . . . . . | . . . . . . . | + 2 . + . | + 1 . . . . . . . | . . + + + . + . + . . . . . + . . | + + + . . + . + . + + + . . . + . + . | . + + . . . . . + + | 1 . . + 1 + 1 . | . . 1 + . + 1
QUER PETR       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . 2 . . . . . 2 | + + . . . + . . . . . . . . . . . | + + 1 . . . . . + . . . + . + . + . 2 | 3 3 3 2 2 1 2 3 3 3 | 4 4 4 4 4 4 3 1 | 5 4 5 5 4 4 5
TAXU BACC       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . + + . . | + . . . . . . | . . . . . . . | . . . . . | . . 1 . . . . . . | . + . + + + + 1 + . + . + . . 1 . | + 1 + . . 1 . . + . + 2 . . + . . + . | + . . . + . . . + . | . . . . 1 . + . | . . . . 1 . .
TILI PLAT       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . 2 . . 2 | . . . 1 2 . . | . . 2 . 1 . . | 2 . 2 1 3 | 1 . 2 2 . . 3 2 3 | . . . . . 2 . . 1 . 1 3 + 2 . . . | + 2 . + . + . . . + . . 2 . . . + . . | . . . . 2 . . . . . | 1 . . . . . . . | . . . . . . .
SORB AUCU       @tl | . . . . . . . . . . + . + . . . | . . . . + + + . + . . + | + . . | . . . . | . . | . . . . . . + . . | . . . . . R . | . . . . . . . | . . . . . | . . R . . . . . . | . . . . . + . + + . . + . . + + . | . . . . . . . . . . . . . . . . . . . | + . . . . . . . . . | . . . . . . . . | . + + + + 2 +
QUER ROBU       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . 1 . . . . 1 . . | . 2 + . . . . 1 1 . . + . . . . . | . . . + . 1 . + . + . . . . . + 2 . . | . . . . . . . . . . | . . . . + . . . | . . . . . . .
ABIE ALBA       @tl | . + . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | 2 . . . . . . | . . . 1 . . . | 1 . . 2 . | . . . . . + 1 . . | . . . . . + . + . . . . . . . . . | . . . . + . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
JUGL REGI       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . 1 . . | . . . . . . . . + . . . . . . . . | . . + . . . + + . + . . . + . + . . . | . . . . . . . . . . | . . . . . . . + | . . . . . . .
ALNU INCA       @tl | . . . . . . . . . . . . . . . . | . . . . . + . . . + + . | . + . | . . + . | + . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
CARP BETU       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . + . . 1 . . | . . + . . . . | . . . . . | . . . . 1 . 1 . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
ULMU CARP       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . + . . . . . . | . . . . 1 . + . . 1 | . . . . . . . . | . . . . . . .
LARI DECI       @tl | . . . . . . . . . . + . . . . . | . . . . . . . . . . . . | 1 . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . 2 . . . . . . . . | . . . . . . . . | . . . . . . .
BETU PEND       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | 1 . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . + . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
PINU SYLV       @tl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . 2 . . . . . . . . | . . . . . . . . | . 2 . . . . .

LONI XYLO       @sl | . . . . . . . . . . . . . . + . | . . . . . . . . + . + + | . . . | + . + + | . + | . . . 1 1 + 1 1 . | . + . + + + + | . . + 1 . . . | . . . 1 . | + + + . 2 1 1 . . | + 1 + 1 + 1 1 + 2 + + + 1 2 1 + + | + + 1 1 + + 2 1 + + 1 + + 1 1 1 + 1 2 | 1 + + 2 + 2 1 + + 1 | 2 + . 2 + 2 + + | + . . + . . +
CORY AVEL       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . + . | . . . | 1 . 2 + | + 3 | . . + . . + + 1 . | + . . + 2 + 1 | . . . . . . + | + 2 2 2 . | + + 1 + 2 2 1 2 1 | + + 1 2 3 + + . + 2 . + + + + + + | + 2 3 1 + + 1 4 + . 2 + + 1 3 1 3 2 1 | . 1 . . + 1 . . 1 2 | 1 . . . . . 1 4 | . . + . . . .
ACER CAMP       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . R | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | 1 + + 4 2 . . 1 . | + . 4 . 1 + + + 2 + . + + . + . . | + + + + 1 + + 1 + + 1 + . 1 + 1 1 1 + | + + 1 1 + 1 1 2 1 2 | 1 . . 2 . 2 + + | . . . . . . .
ROSA ARVE       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . + . . . . | . . . + . | . 1 + . . 1 4 . . | + 1 1 . + + + 2 1 1 . . + . + . . | 1 2 2 1 + + + 1 1 + 1 . + 2 + + + 1 2 | . + + + 1 2 1 1 1 2 | . + + 1 . 2 . . | . . . . . 1 .
CORN SANG       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . + | + . | . . . . . . . + . | . . . . . . . | . . 1 . . . . | . . . . . | . . . . . . . . . | 1 . 1 + 1 + 1 + 1 1 . . . + . . . | 1 2 1 + + 1 + . + + 2 2 + + 2 1 3 + + | . + + 1 + 2 1 1 + + | . + + 1 2 2 1 + | . . . . . . .
LIGU VULG       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . + 1 . . . . . . | . . + . + . . . 1 + . . + . + . . | + . + + + 1 1 2 + 1 + . . 1 + + + 4 1 | + . + 1 + 2 + 2 + + | 2 1 1 2 1 3 1 2 | . . . . . + +
CRAT MONO       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . + | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . 1 + . . . | + . . . . . . . + . . . + + . + . | + 1 + . + + + 1 + + . 1 + 1 + + 1 + + | + 1 . 1 + . + 1 1 1 | 1 + 1 2 1 2 1 1 | . . . . . 1 +
RUBU FRUT       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . R . . . | . . . | . . + + | + 1 | . . . . . + . . 1 | + + . . + . . | . . . . . . . | . . . . . | . . . . . . . . . | . 1 + . + . . + . . . 1 + . . . . | + . + . + . 1 + + + . . + . + + 2 . + | + + + . . + . + . . | + + . . 1 . 1 . | . + . . . + 1
VIBU LANT       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . 1 . . | + + + + + . + + . . . + + + . + . | . + + . + + + + + + . + . + + + + . + | . + . + + + . + . + | . + . + + 1 1 + | . . . . . . +
VIBU OPUL       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . + | . . | . . . . . . + . . | . . . + . . . | . . . . . . . | . . . + . | + . . . + + 1 . + | + + + + + + + + + + . . . + . . . | + . . + + + + . . . + + + + + + + + 1 | . . + . . . . . . + | + . . . . . . . | . . . . . . .
EVON EURO       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . + + . | . . . . . R . | . . + . . . . | . . . + . | + + + 1 . + 1 . + | . . . . . . . . + . . . + . + . . | + . + . . + . + + 1 + . . 1 + + + . 1 | . + . . . + . . . + | + . . . . . . . | . . . . . . .
CRAT OXAC       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . + + . | . + . . . + . | . . . . . . . | . . . . . | . + 2 + . . 1 + . | . + . + + + + + 1 1 . + + + . . . | . . . . . + . . . + . . + 1 + + . . 1 | . . + . . . . . . . | 1 . . . . . + . | . . . . . . .
LONI ALPI       @sl | + . . . . . . . . . . 1 + . . . | + 1 . + 3 . + + + . . + | + + + | + + . . | + . | . + . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . 1 . . | . . . . . . . 1 . + . . + 1 + + . | + . . 1 . . . . . . . . . . . . . . . | . . . . . . + . . . | . 1 + . . . . . | + . + + + + +
RUBU CAES       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . + . | . . . | . . . . | 1 . | . . . . . . . . . | . . . . . + . | . . . . . . . | . . . . . | 2 + . + . . 1 + . | . . . 1 . 1 . . 1 1 . . . 2 . . . | . 1 . + + . + 1 1 + 1 . . . . . . 1 1 | . . . . . . . . + . | . . . . . + . 1 | . . . . . . .
RUBU IDAE       @sl | . . . + . R 1 . + . . 2 + . . . | R + R . 2 1 . . 1 + + 1 | . R + | + . + . | . . | . R . . . . . . . | R . . . . . . | . . . . . + . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . + . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
SAMB NIGR       @sl | + . . . . . . . . . . . . . 1 . | . . . . . . . . . . . . | . . . | . + . . | . . | . . . 1 . . . . 1 | + 2 2 1 + + . | + 1 . 1 2 1 . | . 2 . . . | . . . + . . . + + | . . . . . . . . . + . . . + + . . | . . . . . . . . . . + . . 1 . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
BERB VULG       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . + + . . . . . . . . . . . . | . + . + + + . . . . . . . . . + . . . | . . + + . + + + . . | + . . + . + + + | R . . . + . .
ILEX AQUI       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . + . . | . 1 . . . . . | . . . . . . . | . . . . . | . . 1 . . . 2 . . | . . . . + . . + . . . . . . . . . | . + . . . + . . . 1 . + . . . + . . 2 | . 2 1 . . . . . . + | . . . . . . + . | . . . . . . .
EUON LATI       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . R 1 . . | . . . . . . 1 | . . . . . . . | . . . + + | . . + . 1 . . + + | 1 1 2 . . 1 1 . . . . . . . 1 + . | . . . . . . . . . . . 1 . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
RHAM CATH       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . + . . . . 1 . . . . . . . . | + + + . + + + . . + . . . . . + . . + | . . . . . . . . . . | . + . . . . + + | . . . . . . .
DAPH MEZE       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . R | R . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . + . . . . . | . . . + . . . . . . . . . . + + . . + | + . . . . . . . . . | . . . . . . . . | . . . . . . .
ROSA SPEC       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . + . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | + . . . . . . . . . | . . + . 2 . 2 + | R . . . . . +
PRUN MAHA       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . + . . . . . . . . . . . . . . . . . | . + . 1 . + 1 + + + | . . . . . . . . | . . . . . . .
PIRU MALU       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . R . | . . . . . . . | . . . . . | . + . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . + . . . . . | . . . 1 . . + . . . | 1 . . 1 . . . . | . . . . . . .
AMEL OVAL       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . + . 1 . . + . . . | . . . + . . . . | . + . + . . .
JUNI COMM       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . 1 . . . R . + | . . . . + . . . | + . . . . . .
RIBE ALPI       @sl | . . . . . . . . . . . . . . . . | . . . . R . . . . . . . | . . . | R + . . | . . | . . . . . . . . . | . . . . . . . | . . . 1 . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
FRAN ALNU       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | 1 . . . . + . . . . | . . . . . + . + | . . . . . . .
PRUN SPIN       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . + . . . . . . | . . . . . . . . . . . . . . . . . | . . . . + . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . + | . . . . . . .
COTO TOME       @sl | . . . . . . . . . . . . . . . . | . . . . . . . . . . . . | . . . | . . . . | . . | . . . . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | + . . . . . . . | + . . . . . .
ROSA PEND       @sl | . . . . . . . . . . . . . . . . | . . . . + . . . . . . . | . . . | . . . . | . . | . . + . . . . . . | . . . . . . . | . . . . . . . | . . . . . | . . . . . . . . . | . . . . . . . . . . . . . . . . . | . . . . . . . . . . . . . . . . . . . | . . . . . . . . . . | . . . . . . . . | . . . . . . .
